week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-39,hx6bbfa9feb27746616afecef44b78dcf97566dd24,1649.0646000000013,100,10,16.49059999999986,16.4908,16.4906,16.490646000000012,1.00000%,1.00001%,1.00000%,1.00000%
2020-39,hxb0d886f01ca2697ce9961232a754bb3923142128,15901.71320000001,100,10,53.7996999999998,255.08670000000006,157.7947,159.0171320000001,0.33833%,1.60415%,0.99231%,1.00000%
2020-39,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2019.9360000000004,100,10,9.5978,61.4844,20.244149999999998,20.199360000000002,0.47515%,3.04388%,1.00222%,1.00000%
2020-39,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,53693.6042,47,4,336.6967,8685.4724,426.0007,1142.4171106382978,0.62707%,16.17599%,0.79339%,2.12766%
2020-39,hx463b1ee3016d7244516413acc69de2f1cdb268fd,6424.298599999998,40,4,64.3971,266.9233,160.30225000000002,160.60746499999996,1.00240%,4.15490%,2.49525%,2.50000%
2020-39,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,240063.2381,34,3,2153.4006,10070.255799999999,7212.39985,7060.6834735294115,0.89701%,4.19483%,3.00437%,2.94118%
2020-39,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,6029.3573,31,3,60.3395,809.1919,120.6791,194.49539677419355,1.00076%,13.42086%,2.00153%,3.22581%
2020-39,hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,46862.6048,28,2,1379.652799999999,1933.9939,1691.8184500000002,1673.6644571428571,2.94404%,4.12694%,3.61017%,3.57143%
2020-39,hxf159b2029f3d6e8823157033ada47b76e8903a4f,615.5055164379517,25,2,1.371961950484824,64.93149732357978,20.76282793422435,24.620220657518065,0.22290%,10.54930%,3.37330%,4.00000%
2020-39,hx1ef3d6019d3f815e2cfb53dd52fa9a38975c9da0,678.0,24,2,28.249999999999993,28.25,28.249999999999996,28.25,4.16667%,4.16667%,4.16667%,4.16667%
2020-39,hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,478.04330000000004,23,2,6.2176,86.089,20.0,20.784491304347828,1.30064%,18.00862%,4.18372%,4.34783%
2020-39,hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,9837.494099999998,23,2,196.18959999999998,810.0657,392.2957,427.71713478260864,1.99430%,8.23447%,3.98776%,4.34783%
2020-39,hx171a92e51f8f199d509c61699897bdc93f265761,2529.044,23,2,50.5808,379.3566,75.8713,109.95843478260869,2.00000%,15.00000%,3.00000%,4.34783%
2020-39,hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,1017.9877,22,2,45.9877,49.0,46.0,46.27216818181818,4.51751%,4.81342%,4.51872%,4.54545%
2020-39,hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,37452.21890000001,22,2,745.6016,3807.4334,1864.0039,1702.3735863636366,1.99081%,10.16611%,4.97702%,4.54545%
2020-39,hx284251e89505004dc28771575fd2199281cd3b35,21406.773400000002,21,2,411.2316999999996,2998.8331,423.22450000000003,1019.370161904762,1.92104%,14.00880%,1.97706%,4.76190%
2020-39,hx9a50175b8990abf883182baf0a97bf28191d6435,25131.397399999998,21,2,503.3545999999999,2017.8633,1010.4797000000001,1196.7332095238094,2.00289%,8.02925%,4.02079%,4.76190%
2020-39,hx3c117f6c88806a9a37f5602ab884568d71138239,8664.3614,21,2,350.8427,524.2645000000001,350.8427,412.5886380952381,4.04926%,6.05082%,4.04926%,4.76190%
2020-39,hx7fb6c93dc1f87902b23921b985f57988383846a5,1892.2913999999998,20,2,73.94890000000001,103.434,100.5009,94.61456999999999,3.90790%,5.46607%,5.31107%,5.00000%
2020-39,hx99e3d951340ad78f48437eae250cb05f9f4d0284,21617.237999999998,20,2,216.35529999999977,2646.6874999999995,433.77700000000004,1080.8618999999999,1.00085%,12.24341%,2.00663%,5.00000%
2020-39,hxac10537896b44850e68db5d5ef50d57af82953da,2714.8081,20,2,20.0,300.0,100.0,135.740405,0.73670%,11.05050%,3.68350%,5.00000%
2020-39,hx857353391e454d7fc60f4879224aade697602877,335.15999999999997,20,2,6.7032,23.4613,16.758,16.758,2.00000%,7.00003%,5.00000%,5.00000%
2020-39,hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,848272.0012999999,20,2,100.0,55718.623100000004,50632.6541,42413.60006499999,0.01179%,6.56849%,5.96892%,5.00000%
2020-39,hxe67b818b6ab2967afc6ede848658c66802b8ab9c,460.0,20,2,23.0,23.0,23.0,23.0,5.00000%,5.00000%,5.00000%,5.00000%
2020-39,hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,10373.1813,20,2,0.0,873.1813000000001,500.0,493.96101428571427,0.00000%,8.41768%,4.82012%,4.76190%
2020-39,hx6df7bc87eb3a0a7c38ec7edca32d82a3595071d9,1248.1359000000002,20,2,26.7933,397.0403,44.6556,62.40679500000001,2.14667%,31.81066%,3.57778%,5.00000%
