biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2020-49 & 2020-50,hxc35919c430476b095652bc91056ba1baf0420f9e,4400,100,10,0,400,33,42.30769231,0.00%,9.09%,0.75%,0.96%,1
2020-49 & 2020-50,hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,271.2119,100,10,0,3.5615,2.714,2.685266337,0.00%,1.31%,1.00%,0.99%,1
2020-49 & 2020-50,hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,5000.7508,100,10,20,1096.4992,54.3088,50.007508,0.40%,21.93%,1.09%,1.00%,1
2020-49 & 2020-50,hxb0d886f01ca2697ce9961232a754bb3923142128,16002.1117,100,10,88.7016,255.0867,157.7947,160.021117,0.55%,1.59%,0.99%,1.00%,1
2020-49 & 2020-50,hx613b8c58b274bb7c9579ddc3a1a11a5bc1e02c58,16262.74628,100,10,1,15130.74628,1,162.6274628,0.01%,93.04%,0.01%,1.00%,0
2020-49 & 2020-50,hx114049660809114582bfc83f66833560544bf877,1919.6964,79,7,19.1635,424.5507,19.171,24.29995443,1.00%,22.12%,1.00%,1.27%,1
2020-49 & 2020-50,hx049eec5560f8518cffce2ab74fce56ad31fc79c6,7323.8802,56,5,1.6433,1071.6487,89.49415,130.783575,0.02%,14.63%,1.22%,1.79%,1
2020-49 & 2020-50,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,534.3736,52,5,1.7234,27.5024,9.5833,10.27641538,0.32%,5.15%,1.79%,1.92%,1
2020-49 & 2020-50,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,54639.7351,47,4,343.533,8685.4724,463.9852,1162.547555,0.63%,15.90%,0.85%,2.13%,1
2020-49 & 2020-50,hxd2fe38548f3f4a8c545112582c668913a85d4b93,83018.5333,43,4,27.4703,3055.8755,2000,1930.663565,0.03%,3.68%,2.41%,2.33%,1
2020-49 & 2020-50,hxa5fec8185972595f174e57e41774c28559408a28,318.6976744,43,4,2,7.651162791,7.651162791,7.411573824,0.63%,2.40%,2.40%,2.33%,1
2020-49 & 2020-50,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2210.8406,42,4,19.9258,131.6602,44.2792,52.6390619,0.90%,5.96%,2.00%,2.38%,1
2020-49 & 2020-50,hxaf0882e1856ba71a69408edea4c244f706ac622e,13326.3747,37,3,72.3359,397.3499,397.3498,360.1722892,0.54%,2.98%,2.98%,2.70%,1
2020-49 & 2020-50,hxf7680b84aed887350194c26bd98996312020379f,51577,37,3,1393.972973,1393.972973,1393.972973,1393.972973,2.70%,2.70%,2.70%,2.70%,1
2020-49 & 2020-50,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,244669.5415,34,3,2325.0738,10793.3466,7469.42125,7196.162985,0.95%,4.41%,3.05%,2.94%,1
2020-49 & 2020-50,hx42967fdffaacf8b41362b3574d631a17c320ff49,1142.0895,33,3,34.5,38.0895,34.5,34.60877273,3.02%,3.34%,3.02%,3.03%,1
2020-49 & 2020-50,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,6187.3274,31,3,60.3395,809.1919,120.6791,199.5912065,0.98%,13.08%,1.95%,3.23%,1
