delegator,biweek,how_many_prep_voted,raffle_tickets
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-45 & 2020-46,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-45 & 2020-46,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-45 & 2020-46,47,4
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-45 & 2020-46,47,4
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-45 & 2020-46,47,4
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-45 & 2020-46,47,4
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2020-45 & 2020-46,43,4
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2020-45 & 2020-46,43,4
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2020-45 & 2020-46,43,4
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2020-45 & 2020-46,43,4
hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2020-45 & 2020-46,42,4
hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2020-45 & 2020-46,42,4
hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2020-45 & 2020-46,42,4
hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2020-45 & 2020-46,42,4
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-45 & 2020-46,34,3
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-45 & 2020-46,34,3
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-45 & 2020-46,34,3
hxd2fe38548f3f4a8c545112582c668913a85d4b93,2020-45 & 2020-46,32,3
hxd2fe38548f3f4a8c545112582c668913a85d4b93,2020-45 & 2020-46,32,3
hxd2fe38548f3f4a8c545112582c668913a85d4b93,2020-45 & 2020-46,32,3
hxd2b801100a49fb8cdca2df399e14f06b96acafa8,2020-45 & 2020-46,31,3
hxd2b801100a49fb8cdca2df399e14f06b96acafa8,2020-45 & 2020-46,31,3
hxd2b801100a49fb8cdca2df399e14f06b96acafa8,2020-45 & 2020-46,31,3
hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,2020-45 & 2020-46,28,2
hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,2020-45 & 2020-46,28,2
hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,2020-45 & 2020-46,26,2
hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,2020-45 & 2020-46,26,2
hxf159b2029f3d6e8823157033ada47b76e8903a4f,2020-45 & 2020-46,25,2
hx7301714168f31c464fd766bad237b9a99c14824c,2020-45 & 2020-46,25,2
hxf159b2029f3d6e8823157033ada47b76e8903a4f,2020-45 & 2020-46,25,2
hx7301714168f31c464fd766bad237b9a99c14824c,2020-45 & 2020-46,25,2
hxcaf3a1285478520ad520d34d470aed54d49c4774,2020-45 & 2020-46,24,2
hxcaf3a1285478520ad520d34d470aed54d49c4774,2020-45 & 2020-46,24,2
hx171a92e51f8f199d509c61699897bdc93f265761,2020-45 & 2020-46,23,2
hx6f14ffadd92861068f841977cbff6264e9d5b065,2020-45 & 2020-46,23,2
hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,2020-45 & 2020-46,23,2
hx6aee4d81a36e730ef217616542ed7c654829ead2,2020-45 & 2020-46,23,2
hxece32238259e951b9931aee279d0d81e43a26990,2020-45 & 2020-46,23,2
hx6aee4d81a36e730ef217616542ed7c654829ead2,2020-45 & 2020-46,23,2
hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,2020-45 & 2020-46,23,2
hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,2020-45 & 2020-46,23,2
hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,2020-45 & 2020-46,23,2
hx6f14ffadd92861068f841977cbff6264e9d5b065,2020-45 & 2020-46,23,2
hxece32238259e951b9931aee279d0d81e43a26990,2020-45 & 2020-46,23,2
hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,2020-45 & 2020-46,23,2
hx171a92e51f8f199d509c61699897bdc93f265761,2020-45 & 2020-46,23,2
hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,2020-45 & 2020-46,23,2
hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,2020-45 & 2020-46,23,2
hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,2020-45 & 2020-46,23,2
hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,2020-45 & 2020-46,22,2
hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,2020-45 & 2020-46,22,2
hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,2020-45 & 2020-46,22,2
hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,2020-45 & 2020-46,22,2
hx3c117f6c88806a9a37f5602ab884568d71138239,2020-45 & 2020-46,21,2
hx624cc71bdd83371ed6ed32ba06c705e8d586244c,2020-45 & 2020-46,21,2
hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,2020-45 & 2020-46,21,2
hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,2020-45 & 2020-46,21,2
hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,2020-45 & 2020-46,21,2
hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,2020-45 & 2020-46,21,2
hx9a50175b8990abf883182baf0a97bf28191d6435,2020-45 & 2020-46,21,2
hx9a50175b8990abf883182baf0a97bf28191d6435,2020-45 & 2020-46,21,2
hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2020-45 & 2020-46,21,2
hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2020-45 & 2020-46,21,2
hx3c117f6c88806a9a37f5602ab884568d71138239,2020-45 & 2020-46,21,2
hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,2020-45 & 2020-46,21,2
hx77035912d806f04dad1a0d33ba6014effcc7fbc0,2020-45 & 2020-46,21,2
hx624cc71bdd83371ed6ed32ba06c705e8d586244c,2020-45 & 2020-46,21,2
hxac10537896b44850e68db5d5ef50d57af82953da,2020-45 & 2020-46,21,2
hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,2020-45 & 2020-46,21,2
hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,2020-45 & 2020-46,21,2
hxac10537896b44850e68db5d5ef50d57af82953da,2020-45 & 2020-46,21,2
hx77035912d806f04dad1a0d33ba6014effcc7fbc0,2020-45 & 2020-46,21,2
hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,2020-45 & 2020-46,21,2
hx6c4f4f44ae546e57eac829897ed94337fdad47af,2020-45 & 2020-46,20,2
hx6017e7e70f316db3dc5eeeb955fc9fe9713a4bb2,2020-45 & 2020-46,20,2
hx6df7bc87eb3a0a7c38ec7edca32d82a3595071d9,2020-45 & 2020-46,20,2
hx857353391e454d7fc60f4879224aade697602877,2020-45 & 2020-46,20,2
