delegator,biweek,how_many_prep_voted,raffle_tickets,prize_type,turn,winnings ($ICX),tx
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2021-01 & 2021-02,96,9,grand_prize,grand,412.5,https://tracker.icon.foundation/transaction/0xf541b3d9e699e3b7951cab0f594ad627072e0e203a35cb6d5fe781e008aed3f4
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-01 & 2021-02,100,10,small_prize,first,66,https://tracker.icon.foundation/transaction/0x922307875f64e4beed86f8bd321115ab0b22f6a80afdf702523182bfdbf64392
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-01 & 2021-02,100,10,small_prize,first,61.88,https://tracker.icon.foundation/transaction/0xee7bb9504b36c2b9e623b9e2fb6a15b1df85830649d23ce9b58ee07f2b0718fc
hx114049660809114582bfc83f66833560544bf877,2021-01 & 2021-02,83,8,small_prize,first,57.75,https://tracker.icon.foundation/transaction/0x1d895a2386befdef5eb459d4a20e65f6b555e080c89ca56b1566a991195da202
hx049eec5560f8518cffce2ab74fce56ad31fc79c6,2021-01 & 2021-02,56,5,small_prize,first,53.62,https://tracker.icon.foundation/transaction/0xc2e70f7580c21fcf40f3e480ddf0de0ea57080b80017bccc8b9243e423a42fa2
hxd2fe38548f3f4a8c545112582c668913a85d4b93,2021-01 & 2021-02,52,5,small_prize,first,45.38,https://tracker.icon.foundation/transaction/0x82b45fd36c6c8b7853a3d2bdbc8fbfb0364a9f8d7f1b7152d330a26b41ce8d51
hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2021-01 & 2021-02,42,4,small_prize,first,37.12,https://tracker.icon.foundation/transaction/0xc382ed92e595ae9e2449c19320ae841d56956dd9c0b78e0b7753959031d98600
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-01 & 2021-02,34,3,small_prize,first,28.88,https://tracker.icon.foundation/transaction/0x2c61a90082fab70e295e55db80a4f6ff67f73d736d362f09490bb5d3e4ce1024
hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,2021-01 & 2021-02,23,2,small_prize,first,24.75,https://tracker.icon.foundation/transaction/0x2b81542163db0a8f4d49f4cf2d5ee58e855dedd9293386d3a01d6b456f751934
hx171d08d1081c49e284a719ff2de6f4570a0ab75b,2021-01 & 2021-02,20,2,small_prize,second,20.62,https://tracker.icon.foundation/transaction/0x72f0081600cb5879f01af136ceb0215e7d9448fd995859dead535fb306070aea
hxdeb908625fcab32473b9ab4798fb140bdd290324,2021-01 & 2021-02,17,1,small_prize,first,16.5,https://tracker.icon.foundation/transaction/0x2ebd5a538fdcba013a39c4892de6fd491e98b9d6860012449d6a0b2cb8761390
