delegator,biweek,how_many_prep_voted,raffle_tickets,prize_type,turn,winnings ($ICX)
hxf00f5476dbe5a4ae78cdc5d0f50fa6f4a372c32e,2021-05 & 2021-06,58,5,grand_prize,grand,412.5
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10,small_prize,first,66
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10,small_prize,first,61.88
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2021-05 & 2021-06,96,9,small_prize,first,57.75
hx114049660809114582bfc83f66833560544bf877,2021-05 & 2021-06,84,8,small_prize,first,53.62
hx5716f65dd34cbde2f973909ee346cdbbc7bd9f8e,2021-05 & 2021-06,74,7,small_prize,first,45.38
hx28ac43dfe8fc5cc27305d1962e5eb575d3a1059b,2021-05 & 2021-06,58,5,small_prize,first,37.12
hxaf0882e1856ba71a69408edea4c244f706ac622e,2021-05 & 2021-06,40,4,small_prize,first,28.88
hxfb8a5a7db0c4dd79e606b6a776e28be03f3266ee,2021-05 & 2021-06,30,3,small_prize,first,24.75
hx4b3aec7d9d401557939d392e03721025eee2a6a7,2021-05 & 2021-06,22,2,small_prize,first,20.62
hx5e46559dcbaf2107e562e3e5832ed7b384c8debe,2021-05 & 2021-06,17,1,small_prize,first,16.5
