biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2021-07 & 2021-08,hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,9001.0,100,10,1.0000000000000568,8000.0,9.999999999999996,90.01,0.01111%,88.87901%,0.11110%,1.00000%,dishonest
2021-07 & 2021-08,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,56422.37151091902,100,10,55.02756629856125,3912.2277077999383,409.6999113671302,564.2237151091903,0.09753%,6.93382%,0.72613%,1.00000%,yes
2021-07 & 2021-08,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,247192.1335,100,10,1000.0,52311.1177,2000.0,2471.921335,0.40454%,21.16213%,0.80909%,1.00000%,yes
2021-07 & 2021-08,hx114049660809114582bfc83f66833560544bf877,2272.2261000000003,100,10,0.0,815.5189,10.491549999999998,22.276726470588237,0.00000%,35.89075%,0.46173%,0.98039%,yes
2021-07 & 2021-08,hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,5107.919999999996,100,10,8.999999999999943,2021.5519751921145,9.0,51.079199999999965,0.17620%,39.57681%,0.17620%,1.00000%,yes
2021-07 & 2021-08,hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,1652.193900000001,100,10,1.7,118.2093,1.7,16.52193900000001,0.10289%,7.15469%,0.10289%,1.00000%,dishonest
2021-07 & 2021-08,hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,15.149799999999981,100,10,0.0001,10.0,0.0001,0.1514979999999998,0.00066%,66.00747%,0.00066%,1.00000%,not_enough
2021-07 & 2021-08,hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,1088.0,99,9,0.6807064805250171,39.25570091876562,9.682102581614082,10.98989898989899,0.06256%,3.60806%,0.88990%,1.01010%,yes
2021-07 & 2021-08,hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,5219.356600000001,99,9,1.0,5121.3566,1.0,52.72077373737375,0.01916%,98.12237%,0.01916%,1.01010%,dishonest
2021-07 & 2021-08,hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,53513.8616,99,9,0.0,40163.6679,1.0,535.138616,0.00000%,75.05283%,0.00187%,1.00000%,dishonest
2021-07 & 2021-08,hxc1499833f68583169af4dfa65b3174e7a83f6078,1608.8364999999992,81,8,0.0009999999995216058,1608.7565000000002,0.001,19.86217901234567,0.00006%,99.99503%,0.00006%,1.23457%,dishonest
2021-07 & 2021-08,hxbc783c844eb99bce06b1c1844a9bc684a572df9b,2016.5393999999997,80,8,0.001,2016.4604,0.001,25.206742499999997,0.00005%,99.99608%,0.00005%,1.25000%,dishonest
2021-07 & 2021-08,hx29c25b866304b8dcf430ef721913d8d82375006b,21.510849999999998,77,7,0.2793616883116883,0.2793616883116884,0.2793616883116883,0.2793616883116883,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hx575b4f31e40cb4399ccbd8f69a7cd55d0f22e8ed,80.44857680000003,77,7,1.0447867116883116,1.0447867116883116,1.0447867116883116,1.044786711688312,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hx0beb6f60a1c3132c207fc7eab28f0ea46a6ebd08,479.99999999999994,77,7,6.233766233766234,6.233766233766234,6.233766233766234,6.233766233766233,1.29870%,1.29870%,1.29870%,1.29870%,yes
2021-07 & 2021-08,hx2bde42f320f95ff3fb2bbe767dbf4df26c0a3f2c,19.000000000000025,77,7,0.24675324675324675,0.2467532467532468,0.24675324675324675,0.24675324675324709,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hx8c2b14be00d9f4fbe45a4d3e9182ba6fdf17b773,75.00000000000014,77,7,0.974025974025974,0.9740259740259741,0.9740259740259741,0.9740259740259759,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hx8cd42bdd4d43f0df5c652ae6c15d695a39e059b7,13.980000000000015,77,7,0.18155844155844159,0.1815584415584416,0.18155844155844159,0.18155844155844175,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hx5b342404d31847992c2f2abbf8d7fb409e16f0d8,48.98999999999995,77,7,0.6362337662337663,0.6362337662337663,0.6362337662337663,0.6362337662337656,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hxdde56c760ce0e6de37d436cac9a1ea3058c13f12,75.36811200000001,77,7,0.9788066493506493,0.9788066493506494,0.9788066493506493,0.9788066493506495,1.29870%,1.29870%,1.29870%,1.29870%,not_enough
2021-07 & 2021-08,hx5ec425851e7f636c62f0271098ae90244af4d535,103.79999999999988,77,7,1.348051948051948,1.348051948051948,1.348051948051948,1.3480519480519466,1.29870%,1.29870%,1.29870%,1.29870%,yes
2021-07 & 2021-08,hx89544de3be6943239dbeaa9f02f93c081d2c8262,883.3480708100002,77,7,11.472052867662336,11.472052867662336,11.472052867662336,11.47205286766234,1.29870%,1.29870%,1.29870%,1.29870%,yes
2021-07 & 2021-08,hx8e668003439f2c9cb6a0bea0964b6f7caaf45738,452.5573140900006,77,7,5.877367715454545,5.877367715454545,5.877367715454545,5.877367715454553,1.29870%,1.29870%,1.29870%,1.29870%,yes
2021-07 & 2021-08,hx46587fb61613835e91713daf2e472672d4677598,109.28385917999985,77,7,1.4192708984415583,1.4192708984415585,1.4192708984415583,1.4192708984415565,1.29870%,1.29870%,1.29870%,1.29870%,yes
2021-07 & 2021-08,hx695b282775671ce523762ddba3c4318219bf14fa,29592.49644278002,77,7,384.31813562051946,384.31813562051946,384.31813562051946,384.31813562051974,1.29870%,1.29870%,1.29870%,1.29870%,yes
2021-07 & 2021-08,hx6d90c9f5dcb32b6d85cc80931b49dd6c0d475505,2674.9600000000023,77,7,34.73974025974026,34.73974025974026,34.73974025974026,34.73974025974029,1.29870%,1.29870%,1.29870%,1.29870%,yes
