delegator,week,how_many_prep_voted,raffle_tickets
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hx6bbfa9feb27746616afecef44b78dcf97566dd24,2020-41,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-41,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-41,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-41,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-41,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-41,100,10
