week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-49,hxc35919c430476b095652bc91056ba1baf0420f9e,5005.0,100,10,0.0,505.0,33.0,48.125,0.00000%,10.08991%,0.65934%,0.96154%
2020-49,hxb0d886f01ca2697ce9961232a754bb3923142128,16002.11170000001,100,10,88.7016,255.08670000000006,157.7947,160.02111700000012,0.55431%,1.59408%,0.98609%,1.00000%
2020-49,hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,5425.93729999999,100,10,45.7268,67.2494999999999,54.3088,54.2593729999999,0.84274%,1.23941%,1.00091%,1.00000%
2020-49,hx114049660809114582bfc83f66833560544bf877,1914.9516000000026,79,7,19.1635,419.84700000000004,19.171,24.239893670886108,1.00073%,21.92468%,1.00112%,1.26582%
2020-49,hx049eec5560f8518cffce2ab74fce56ad31fc79c6,7323.8802000000005,56,5,1.6433,1071.6487,89.49414999999999,130.783575,0.02244%,14.63225%,1.22195%,1.78571%
2020-49,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,534.3735999999998,52,5,1.7234,27.5024,9.583300000000001,10.27641538461538,0.32251%,5.14666%,1.79337%,1.92308%
2020-49,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,54639.735100000005,47,4,343.533,8685.4724,463.9852,1162.547555319149,0.62872%,15.89589%,0.84917%,2.12766%
2020-49,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2210.8405999999995,42,4,19.9258,131.6602,44.2792,52.639061904761896,0.90128%,5.95521%,2.00282%,2.38095%
2020-49,hxd2fe38548f3f4a8c545112582c668913a85d4b93,82742.536,42,4,27.9547,3028.3937,2000.0,1970.0603809523807,0.03379%,3.66002%,2.41714%,2.38095%
2020-49,hxaf0882e1856ba71a69408edea4c244f706ac622e,13299.432299999999,37,3,45.393499999999996,397.3499,397.3498,359.4441162162162,0.34132%,2.98772%,2.98772%,2.70270%
2020-49,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,244413.65509999997,34,3,2325.0738,10793.346599999999,7425.4996,7188.636914705881,0.95129%,4.41602%,3.03809%,2.94118%
2020-49,hx42967fdffaacf8b41362b3574d631a17c320ff49,1142.0895,33,3,34.5,38.0895,34.5,34.60877272727273,3.02078%,3.33507%,3.02078%,3.03030%
2020-49,hx00d85a59cfacc2a44e924f4a7892271145747c60,6673.356600000001,33,3,0.0,3620.0000000000005,53.008250000000004,196.2751941176471,0.00000%,54.24557%,0.79433%,2.94118%
2020-49,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,6187.327399999999,31,3,60.3395,809.1919,120.6791,199.5912064516129,0.97521%,13.07821%,1.95042%,3.22581%
2020-49,hxbfa2e0c0454a1d36d1ed8ccc6ac4d3a333366c47,361.8231,30,3,0.0,220.9751,3.6225,9.779002702702703,0.00000%,61.07269%,1.00118%,2.70270%
2020-49,hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,50225.6285,28,2,0.0,5744.059,1517.965900000001,1674.1876166666666,0.00000%,11.43651%,3.02229%,3.33333%
2020-49,hx9a12c867e8bb3d3e731eec1334bbc43f88ca4fad,35824.26700000001,26,2,660.8872,3476.7897999999996,1033.75335,1377.8564230769234,1.84480%,9.70512%,2.88562%,3.84615%
2020-49,hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,1036.7643,26,2,20.7352,82.9412,41.47055,39.875550000000004,1.99999%,8.00001%,4.00000%,3.84615%
2020-49,hx7301714168f31c464fd766bad237b9a99c14824c,3029.9643,25,2,103.9943,134.3819,134.3819,121.198572,3.43220%,4.43510%,4.43510%,4.00000%
2020-49,hxf159b2029f3d6e8823157033ada47b76e8903a4f,630.4624975297266,25,2,1.371961950484824,64.93149732357978,20.76282793422435,25.218499901189066,0.21761%,10.29903%,3.29327%,4.00000%
2020-49,hxcaf3a1285478520ad520d34d470aed54d49c4774,23363.682999999997,24,2,301.7483,3702.6113,845.68175,973.4867916666666,1.29153%,15.84772%,3.61964%,4.16667%
