P-Reps,prep_total_votes,prep_ranking,total_voter_count,,,,,
ICON Foundation,48569012.84,1,6013,,,,,
ICX_Station,20231695.92,2,4903,,,,,
VELIC,17868119.24,3,3908,,,,,
Ubik Capital,14416613.61,4,3777,,,,,
ICONation,14130040.66,5,4073,,,,,
RHIZOME,12089725.52,6,3130,,,,,
ICON Hyperconnect,11569146.77,7,1347,,,,,
ICONbet Community,9155189.644,8,631,,,,,
Symmetry SLC,9016061.449,9,949,,,,,
NEOPLY,8511408.673,10,228,,,,,
Mineable,7136273.429,11,1733,,,,,
Everstake,6445010.95,12,1039,,,,,
weBloc asia,6347748.384,13,1486,,,,,
ICON DAO,6323041.35,14,907,,,,,
Stakin,5959891.153,15,1137,,,,,
ReliantNode,5367066.882,16,567,,,,,
block42,5267404.79,17,749,,,,,
iBriz - ICONOsphere,5203692.358,18,357,,,,,
ICONVIET,5201283.102,19,993,,,,,
ICONPLUS,5044949.326,20,461,,,,,
Citadel.one,4408987.338,21,1040,,,,,
Blockmove,4255934.368,22,465,,,,,
PARROT9,4219886.206,23,303,,,,,
Icon Pilipinas,3639549.774,24,303,,,,,
InterBlock,3521487.447,25,288,,,,,
Sharpn,3086664.512,26,501,,,,,
Insight,3051970.876,27,396,,,,,
Deblock with STAYGE,3008808.383,28,418,,,,,
ICON Forge,2795726.592,29,139,,,,,
Catalyst,2728805.581,30,177,,,,,
ICONologist,2262936.197,31,179,,,,,
ICONTROL,2157507.95,32,68,,,,,
Transform Group,1969626.708,33,52,,,,,
Bara-Node,1890029.138,34,41,,,,,
MouseBelt | Multi.io,1826899.936,35,189,,,,,
MinerGate,1826247.741,36,160,,,,,
Orangebloc,1778682.086,37,42,,,,,
Midos,1742873.795,38,76,,,,,
Iconoscope,1679646.39,39,95,,,,,
Piconbello,1674390.665,40,170,,,,,
Hourglass,1586350.642,41,46,,,,,
Cardinal,1552845.196,42,47,,,,,
ICON Sweden,1534483.535,43,502,,,,,
DEMOS,1369152.514,44,135,,,,,
OneLife 9to5,1222650.349,45,42,,,,,
Yudus Lab,1192102.494,46,18,,,,,
ICON Labs,1083417.849,47,191,,,,,
StakingTeam,1067209.551,48,184,,,,,
Chainode Tech,1057962.704,49,222,,,,,
Silicon Valley ICON,1048936.31,50,148,,,,,
Newroad,956801.0201,51,265,,,,,
ICONNECT-Global,928674.9706,52,146,,,,,
Metanyx,923010.9421,53,152,,,,,
Blockchain at Berkeley,897354.8448,54,316,,,,,
ICX_Stratos,892591.7931,55,47,,,,,
ICX Australia,865697.4882,56,400,,,,,
HOLA ICON,779646.8503,57,104,,,,,
ICX Belgium,759034.6023,58,111,,,,,
Alice,756490.4042,59,50,,,,,
RHYTHM (Australia),740367.226,60,82,,,,,
iconic innovation,700608.1333,61,94,,,,,
Progression,685068.821,62,54,,,,,
ICON Russia,675443.1526,63,63,,,,,
Signal9,659665.029,64,360,,,,,
ICON Chicago,625363.9304,65,109,,,,,
Hermes Greece,611576.8606,66,64,,,,,
The Iconist,592812.3386,67,218,,,,,
ICX Malta,585207.5837,68,59,,,,,
Foundry Box Media,577280.8367,69,92,,,,,
POCKET / FIGMENT,553890.7293,70,213,,,,,
Espanicon,519111.0765,71,89,,,,,
ICON4Education,495900.4666,72,110,,,,,
ICON Spark,482701.4535,73,92,,,,,
UNBLOCK,454026.6055,74,155,,,,,
Blockheads Development,449544.7922,75,149,,,,,
Transcranial Solutions,427370.0584,76,47,,,,,
ICON Thailand,426011.2802,77,81,,,,,
ICON USA,418071.9192,78,126,,,,,
ICONSG,398099.7709,79,50,,,,,
DRAICON BALL,396902.87,80,110,,,,,
Wetez,395908.0783,81,40,,,,,
ICON Oasis,388136.6352,82,86,,,,,
ICON-NYC,375368.9766,83,95,,,,,
Staked Tech,315543.0452,84,80,,,,,
Staked,312341.558,85,188,,,,,
Iconserve,305755.9242,86,82,,,,,
Plan-P,302934.1697,87,55,,,,,
GagarinCrypto,300954.8898,88,30,,,,,
Icon-4-Business,291507.2996,89,73,,,,,
ICON Guide Star,283508.2537,90,67,,,,,
ICONLEO,281878.0871,91,35,,,,,
ICON Econ,268217.1338,92,76,,,,,
Sunrise,246301.7771,93,66,,,,,
Sicko Node,227543.9434,94,52,,,,,
icon-node-NL,219025.292,95,57,,,,,
DELIGHT,214823.6515,96,77,,,,,
Frontlines Media,206143.3005,97,34,,,,,
ICON BOOM,200316.6964,98,74,,,,,
ICON London,198215.8545,99,134,,,,,
ICONIST VOTE WISELY,174221.1,100,30,,,,,
RemICX,170085.271,101,29,,,,,
Icon Panda,160330.1753,102,42,,,,,
HypoICON,157447.7488,103,61,,,,,
ICX FREEZER,146018.0007,104,75,,,,,
DSNC,142820.3128,105,65,,,,,
InfStones,138724.4641,106,65,,,,,
Gilga Capital,127274.9682,107,83,,,,,
loop57,116562.1989,108,45,,,,,
ICXmerch,87962.44906,109,42,,,,,
A_Block,87223.81478,110,65,,,,,
X-node,74736.63087,111,61,,,,,
FOCUS,66013.29037,112,50,,,,,
mirai,46850.914,113,20,,,,,
manifest-icon,45326.03538,114,47,,,,,
Xangle,43066.72303,115,46,,,,,
HASHRATE PLUS,38808.18084,116,64,,,,,
FOMO MASTERNODE,36742.30577,117,59,,,,,
Nodeasy.com,31773.74569,118,24,,,,,
IFnLIFE,30411.19632,119,37,,,,,
MW node,26967.6854,120,18,,,,,
neo_icon,26245.3009,121,42,,,,,
Noris [New Node],25791.5605,122,35,,,,,
PakChina,23396.304,123,37,,,,,
Bit Cat,22023.31703,124,34,,,,,
nel node,21683.9132,125,26,,,,,
Azabu Research,20420.30841,126,49,,,,,
DFG Crypto,20174.4071,127,30,,,,,
Common Computer Online,14616.51082,128,25,,,,,
Sesameseed,13752.71634,129,21,,,,,
iccc node,12356.1435,130,21,,,,,
Cobo ICON,9351.919783,131,28,,,,,
OZYS node,4436.2635,132,8,,,,,
