P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,3339,6032,30020481.04321155,49202823.71684053,317826173.01422006,317826173.01421994,1,2020-10-29
ICX_Station,2713,4885,9916438.052697083,20388510.468296934,317826173.01422006,317826173.01421994,2,2020-10-29
VELIC,2220,3877,7314627.776340426,18671815.457988255,317826173.01422006,317826173.01421994,3,2020-10-29
ICONation,2247,4062,5848645.6272101635,14502672.236000342,317826173.01422006,317826173.01421994,4,2020-10-29
Ubik Capital,2123,3759,6647516.023031844,14258484.780963277,317826173.01422006,317826173.01421994,5,2020-10-29
RHIZOME,1656,3124,4886397.779854443,12527128.475442562,317826173.01422006,317826173.01421994,6,2020-10-29
ICON Hyperconnect,549,1397,3668135.1720684753,11834516.986402187,317826173.01422006,317826173.01421994,7,2020-10-29
ICONbet Community,257,700,4749283.358330274,9581734.694468727,317826173.01422006,317826173.01421994,8,2020-10-29
Symmetry SLC,513,941,8090361.184526353,9059268.223842274,317826173.01422006,317826173.01421994,9,2020-10-29
NEOPLY,79,258,7989093.748539321,8592039.686194139,317826173.01422006,317826173.01421994,10,2020-10-29
Mineable,847,1731,2922093.304643243,7168841.452215824,317826173.01422006,317826173.01421994,11,2020-10-29
Stakin,692,1167,3054117.035409516,6780809.519395416,317826173.01422006,317826173.01421994,12,2020-10-29
Everstake,567,1065,3828300.0526345414,6552017.364223129,317826173.01422006,317826173.01421994,13,2020-10-29
weBloc asia,782,1484,3511993.1875384194,6310166.196191067,317826173.01422006,317826173.01421994,14,2020-10-29
ICON DAO,435,943,4177611.2190835294,6277083.846148819,317826173.01422006,317826173.01421994,15,2020-10-29
ReliantNode,238,578,3394628.083892001,5474637.519992371,317826173.01422006,317826173.01421994,16,2020-10-29
iBriz - ICONOsphere,165,369,3924816.2865578462,5238582.385271053,317826173.01422006,317826173.01421994,17,2020-10-29
ICONVIET,511,987,1421706.7569941948,5226761.097704231,317826173.01422006,317826173.01421994,18,2020-10-29
block42,369,764,2766088.000876052,5216900.684882736,317826173.01422006,317826173.01421994,19,2020-10-29
ICONPLUS,185,525,2437667.168838406,5193798.498553063,317826173.01422006,317826173.01421994,20,2020-10-29
PARROT9,132,317,2540448.0946846874,4437920.547616402,317826173.01422006,317826173.01421994,21,2020-10-29
ICON Pinas (Pilipinas),100,333,1460415.9706498592,4272014.606723184,317826173.01422006,317826173.01421994,22,2020-10-29
Citadel.one,606,1040,2205610.1798301395,4182221.18727169,317826173.01422006,317826173.01421994,23,2020-10-29
Blockmove,228,455,1341000.0804597063,3532807.494370029,317826173.01422006,317826173.01421994,24,2020-10-29
Sharpn,242,500,1709463.6071449413,3196995.721872047,317826173.01422006,317826173.01421994,25,2020-10-29
InterBlock,158,281,2087197.0052342478,3128196.2195773735,317826173.01422006,317826173.01421994,26,2020-10-29
Deblock with STAYGE,251,418,2076956.162811715,2955036.9691577298,317826173.01422006,317826173.01421994,27,2020-10-29
Catalyst,109,177,104273.88201780415,2726149.649231348,317826173.01422006,317826173.01421994,28,2020-10-29
ICONologist,89,189,826649.8269299889,2288635.4263813323,317826173.01422006,317826173.01421994,29,2020-10-29
Insight,210,394,1188163.2233901164,2119377.2750379476,317826173.01422006,317826173.01421994,30,2020-10-29
ICON Forge,70,143,1242674.3168390205,2109602.371797094,317826173.01422006,317826173.01421994,31,2020-10-29
ICONTROL,31,76,1568677.467694586,2074557.7642391047,317826173.01422006,317826173.01421994,32,2020-10-29
Transform Group,14,54,1545638.44003945,2036383.9066891123,317826173.01422006,317826173.01421994,33,2020-10-29
Bara-Node,23,40,17641.594441719997,1900469.4440928192,317826173.01422006,317826173.01421994,34,2020-10-29
Midos,23,82,342107.80495316925,1820732.3761440052,317826173.01422006,317826173.01421994,35,2020-10-29
Orangebloc,26,40,1770994.0233,1778225.2677984633,317826173.01422006,317826173.01421994,36,2020-10-29
MinerGate,102,159,1465498.9285776748,1712160.0560138302,317826173.01422006,317826173.01421994,37,2020-10-29
ICONoscope,55,93,31101.998175440305,1674507.6297016332,317826173.01422006,317826173.01421994,38,2020-10-29
MouseBelt | Multi.io,108,186,1204922.5046675196,1671027.4466771751,317826173.01422006,317826173.01421994,39,2020-10-29
Hourglass,25,47,1569663.98106655,1575462.9707754264,317826173.01422006,317826173.01421994,40,2020-10-29
Cardinal,32,46,1515176.0709259997,1554184.999745811,317826173.01422006,317826173.01421994,41,2020-10-29
ICON Sweden,322,509,1143722.8547263541,1543004.32326058,317826173.01422006,317826173.01421994,42,2020-10-29
StakingTeam,104,197,452476.5336919367,1527067.5757178047,317826173.01422006,317826173.01421994,43,2020-10-29
DEMOS,75,139,981847.6669,1344504.43104963,317826173.01422006,317826173.01421994,44,2020-10-29
OneLife 9to5,21,44,13349.766890004796,1244405.081218593,317826173.01422006,317826173.01421994,45,2020-10-29
Newroad,146,267,383968.0964524328,1059329.5603746818,317826173.01422006,317826173.01421994,46,2020-10-29
Silicon Valley ICON,70,148,202797.70215869875,1057577.8103577178,317826173.01422006,317826173.01421994,47,2020-10-29
ICON Labs,123,204,416346.61445832276,974211.5746773737,317826173.01422006,317826173.01421994,48,2020-10-29
Chainode Tech,121,225,261199.0059658608,958225.1120736798,317826173.01422006,317826173.01421994,49,2020-10-29
Metanyx,78,153,695516.3660083663,929789.2830596669,317826173.01422006,317826173.01421994,50,2020-10-29
ICONNECT-Global,83,147,736591.050759615,925425.0396862782,317826173.01422006,317826173.01421994,51,2020-10-29
ICX_Stratos,21,47,793926.2701882825,892398.9656743323,317826173.01422006,317826173.01421994,52,2020-10-29
ICX Australia,258,406,498179.46186460095,864698.7066603721,317826173.01422006,317826173.01421994,53,2020-10-29
Blockchain at Berkeley,190,317,393074.59870486683,862118.1432542696,317826173.01422006,317826173.01421994,54,2020-10-29
RHYTHM (Australia),48,90,364504.9630921368,803455.8441648085,317826173.01422006,317826173.01421994,55,2020-10-29
HOLA ICON,45,112,497370.2192903767,790183.9941434948,317826173.01422006,317826173.01421994,56,2020-10-29
ICX Belgium,52,122,59063.67886353498,767873.7313008311,317826173.01422006,317826173.01421994,57,2020-10-29
Alice,32,51,745857.6114084071,756246.043180889,317826173.01422006,317826173.01421994,58,2020-10-29
iconic innovation,53,98,481123.70177082194,705314.6870178691,317826173.01422006,317826173.01421994,59,2020-10-29
Progression,30,56,33325.50951962277,687450.9184079629,317826173.01422006,317826173.01421994,60,2020-10-29
ICON Russia,27,65,106812.91096930014,670714.4708216914,317826173.01422006,317826173.01421994,61,2020-10-29
Signal9,208,361,206561.27987781624,658919.3465519827,317826173.01422006,317826173.01421994,62,2020-10-29
The Iconist,104,234,203877.8645768648,636339.4322510094,317826173.01422006,317826173.01421994,63,2020-10-29
Iconserve,47,90,45514.406969685486,634774.9113306982,317826173.01422006,317826173.01421994,64,2020-10-29
ICON Chicago,65,116,115212.48775549546,625165.3225895243,317826173.01422006,317826173.01421994,65,2020-10-29
Piconbello,85,169,114369.93078092053,612743.993466144,317826173.01422006,317826173.01421994,66,2020-10-29
Foundry Box Media,51,95,373387.6269905231,566391.2593026638,317826173.01422006,317826173.01421994,67,2020-10-29
ICON4Education,59,121,76414.24232579715,562040.1905559176,317826173.01422006,317826173.01421994,68,2020-10-29
Hermes Greece,28,66,464928.678507343,557051.5960504559,317826173.01422006,317826173.01421994,69,2020-10-29
POCKET / FIGMENT,139,211,356561.1675390984,550078.2620176254,317826173.01422006,317826173.01421994,70,2020-10-29
ICX Malta,30,66,19398.203789793362,520232.1477997313,317826173.01422006,317826173.01421994,71,2020-10-29
ICON Spark,50,94,23683.388050498947,517024.26713237714,317826173.01422006,317826173.01421994,72,2020-10-29
Espanicon,44,91,187149.6479659308,513888.8599991801,317826173.01422006,317826173.01421994,73,2020-10-29
Blockheads Development,101,154,233383.0571101236,466596.4595015879,317826173.01422006,317826173.01421994,74,2020-10-29
UNBLOCK,74,164,169468.44688765466,455580.5975584422,317826173.01422006,317826173.01421994,75,2020-10-29
ICON Thailand,47,85,54213.58001917576,434705.04037738894,317826173.01422006,317826173.01421994,76,2020-10-29
ICON USA,78,141,64752.56499858556,423567.36080714205,317826173.01422006,317826173.01421994,77,2020-10-29
Transcranial Solutions,23,53,106958.44740401444,421134.07910306857,317826173.01422006,317826173.01421994,78,2020-10-29
DRAICON BALL,66,119,282665.9883221962,409951.0843491221,317826173.01422006,317826173.01421994,79,2020-10-29
ICON Oasis,50,93,34147.71678668689,408688.79281653464,317826173.01422006,317826173.01421994,80,2020-10-29
Wetez,25,39,385556.0400904761,396912.9030904762,317826173.01422006,317826173.01421994,81,2020-10-29
ICON-NYC,52,100,20392.62557935165,388733.905541966,317826173.01422006,317826173.01421994,82,2020-10-29
ICONSG,27,49,27209.971700000002,347997.68916086457,317826173.01422006,317826173.01421994,83,2020-10-29
ICON London,77,143,104940.8142337123,346695.1854455611,317826173.01422006,317826173.01421994,84,2020-10-29
Icon-4-Business,39,79,78336.2454664789,330496.594709286,317826173.01422006,317826173.01421994,85,2020-10-29
Staked,119,195,207620.75168599977,316876.9352499762,317826173.01422006,317826173.01421994,86,2020-10-29
