P-Reps,prep_ranking,stagnant_votes_30_days,stagnant_votes_60_days,stagnant_votes_90_days
ICON Foundation,1,30020481.04321155,25807648.874064032,21781591.088361636
ICX_Station,2,9916438.052697083,7535479.324201038,5609252.703431796
VELIC,3,7314627.776340426,5655819.345410126,4148565.2099266364
ICONation,4,5848645.6272101635,3563271.5532539375,2117298.170662577
Ubik Capital,5,6647516.023031844,4550320.356804832,2709693.8148509534
RHIZOME,6,4886397.779854443,3256814.263864575,1505267.9324260212
ICON Hyperconnect,7,3668135.1720684753,1113440.7113646101,471634.8509427198
ICONbet Community,8,4749283.358330274,1315054.7531261833,1015517.0541261833
Symmetry SLC,9,8090361.184526353,7745275.000531277,7584293.096739626
NEOPLY,10,7989093.748539321,7823715.4827999985,2.3083
Mineable,11,2922093.304643243,1978337.825383395,1243705.616976759
Stakin,12,3054117.035409516,1696610.5626314487,881680.2080787006
Everstake,13,3828300.0526345414,2938320.609811152,2358595.0709200404
weBloc asia,14,3511993.1875384194,2480609.606292535,1984556.9687054201
ICON DAO,15,4177611.2190835294,1881596.703056483,1536617.2470907327
ReliantNode,16,3394628.083892001,1643189.2014410745,1428542.0236583094
iBriz - ICONOsphere,17,3924816.2865578462,1788256.7526618121,1671534.6950168682
ICONVIET,18,1421706.7569941948,1074829.7737607465,836832.5268643409
block42,19,2766088.000876052,762585.3231072701,470928.5099640945
ICONPLUS,20,2437667.168838406,626515.8740876943,369514.59317765036
PARROT9,21,2540448.0946846874,1373609.9754805926,1174806.227784855
ICON Pinas (Pilipinas),22,1460415.9706498592,296860.18539682444,208105.52775592217
Citadel.one,23,2205610.1798301395,1837615.265286951,1455494.9678489852
Blockmove,24,1341000.0804597063,951372.6525395053,320640.3205864565
Sharpn,25,1709463.6071449413,539616.2432442153,456146.31195248675
InterBlock,26,2087197.0052342478,1756485.672134414,1707605.1450999992
Deblock with STAYGE,27,2076956.162811715,1004962.4596561604,929676.3371980134
Catalyst,28,104273.88201780415,73381.44945723205,41532.63505723204
ICONologist,29,826649.8269299889,107680.00507622176,83786.52480442298
Insight,30,1188163.2233901164,180314.98168170295,88301.46867527823
