Users,Preps,Reasons
@tonoplast,@IconbetP,"First DAO on ICON, great community, produces the highest transactions on ICON network"
@CryptoDoctorMD,@IconbetP,Awesome teams who are working tirelessly for the good of the many and the ICON ecosystem.
@CryptoDoctorMD,@PREP_ICONPLUS,Awesome teams who are working tirelessly for the good of the many and the ICON ecosystem.
@tonoplast,@IconPilipinas,"Great community, responsible for many new wallets created, great outreach"
@husos,@RhizomeICX,i like his way to keep us informed.
@casinillojay,@IconPilipinas,"Coz everyone is welcome. There's always new events, contest and quizzes. We always have fun at same time we learn new things. And most of all, its like my 2nd home, we treat each other like a family."
@animatedAD,@IconbetP,"For nice dApps, biggest TXs on the chain, contests, prizes, great and big community. All funds from P-Rep  rewards goes to grow platform."
@Povilas71115651,@ReliantNode,they all doing great things and projects. Just like them!
@Povilas71115651,@IconPilipinas,they all doing great things and projects. Just like them!
@Povilas71115651,@RhizomeICX,they all doing great things and projects. Just like them!
@Povilas71115651,@PREP_ICONPLUS,they all doing great things and projects. Just like them!
@PhilipVillania,@IconPilipinas,They were very active in promoting ICON not just in the Philippines but also in other countries as well! They also create videos about ICON called ICX News Ngayon check them out on their youtube channel. You can also check ICON Pilipinas telegram group you will see that the community is active there. Thats why they were one of the top groups in the Philippines!! Come join us and lets continue increasing the community members of ICON Network.
@PhilipVillania,@IconbetP,They have new update to Iconbet called Iconbet 2.0 where they introduced a new game called DaoLevels. They also updated the User Interface of the site and they also introduced TAP Tokens staking! Cant wait to try more new games from ICONBet.
@PhilipVillania,@ReliantNode,They were one of the most hardworking i know. They recently released Marvelous Gift Cards where each ICONists can share $ICX with each other by giving gift cards. Keep up the good work @ReliantNode cant wait to try more projects from your team!
@PhilipVillania,@IconMidos,"They have recently launched FutureICX, My experience with the dapp was great, It has a great UI and clearly it was carefully planned and developed. They also update us with the news about FutureICX(especially @coreycosta123)"
@PhilipVillania,@TranscranialSol,"They were one of the best P-reps in analyzing data on the Icon Network. Their medium articles is worth a read and they update everyday. Their data analysis is clear, informative and easy to understand that can be used by every Iconists."
@PhilipVillania,@sharpntech,Their site where you can learn to code smart contracts and IRC-2 token for the Icon Network was informative. I would like to wait for the release of more tutorial lessons. Hopefully it will be released soon.
@mikestonia,@IconbetP,"Hands down the greatest community in crypto, everyone can be a true owner of a casino and receive daily ICX dividends (alot more than staking rewards)!"
@mikestonia,@RhizomeICX,Best marketing content and analysis on ICON ecosystem! MetriCX - must have app for ICX owner!
