Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
43176,0.0,System,13,87073,System
4805,8.672539999999834,governance,2048,0,governance
4377,39.157364999999984,balanced_airdrip,13076,0,Balanced
3355,6.4080499999996565,MyID_1,0,3387,MyID
1783,12.201488250000107,balanced_bnUSD,5741,1162,Balanced
1776,26.368533000000127,Omm Lending Pool,31079,1,Omm
1613,3.4246880000000517,LambdaX,3223,0,LambdaX
1564,16.602499500000103,balanced_sicx,5228,983,Balanced
1441,2.301560000000007,MyID_related,0,0,MyID
1414,12.755142499999799,MyID_2,1426,0,MyID
1313,10.621331000000255,"ICONbet
 Levels",5115,1312,ICONbet
1285,6.510790499999991,balanced_baln,2912,643,Balanced
1122,3.5284344999999693,Metanyx,1933,230,Metanyx
1090,6.2951975000001,Stably_USD,2785,435,Stably_USD
986,8.382730250000018,Omm Token,3564,821,Omm
899,1.9529757500000016,balanced_rewards,1822,0,Balanced
872,21.12938325,balanced_rebalancing,6504,813,Balanced
844,5.6042797500000034,"ICONbet
 Baccarat",3386,3102,ICONbet
664,20.997927750000013,balanced_dividends,12393,0,Balanced
652,2.355377250000004,balanced_dex,1930,0,Balanced
562,4.6490762499999985,ICON USD Coin,3019,344,Omm
530,2.8948099999999948,"ICONbet
 Mini Roulette(new)",1660,1076,ICONbet
505,2.7815550000000013,Relay_1,0,578,Relay
483,0.6037499999999927,3-min_tx_bot_in,0,0,3-min_tx_bot_in
368,2.4189032500000027,balanced_loans,1792,342,Balanced
328,0.9114639999999956,GangstaBet Skill,325,425,GangstaBet
208,0.25999999999999995,binance_hot,0,0,binance
180,0.8395499999999989,balanced_staking,537,0,Balanced
171,1.1416179999999987,"ICONbet
 Blackjack",260,426,ICONbet
164,4.741904999999994,MyID_3,162,0,MyID
162,0.9528322500000004,Craft,154,56,Craft
113,0.2255230000000001,NebulaPlanetToken,126,0,Nebula
106,0.6757002499999999,"ICONbet
 DAOdice(new)",460,320,ICONbet
101,1.2292682500000005,Auction,331,0,Craft
50,0.17152799999999996,unknown_cx,0,0,unknown_cx
43,0.281623,Craft,126,26,Craft
39,0.14811524999999998,TapToken,241,0,ICONbet
36,3.5655577500000004,iAM Div,5518,5527,iAM 
32,0.04000000000000002,funnel_1,0,0,funnel_1
