to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,43166,System,3,43167,System
cx0000000000000000000000000000000000000000,4.049924999999921,2287,governance,873,0,governance
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,2.000656875,974,MyID_1,0,974,MyID
hx11de4e28be4845de3ea392fd8d758655bf766ca7,0.6,480,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,9.707661999999997,477,FRAMD Token,760,75,FRAMD
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,4.344574124999996,462,MyID_2,462,0,MyID
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,1.2937137499999993,327,Relay_4,0,0,Relay
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,47.06776504999999,271,bnUSD,1748,16,bnUSD
cx2609b924e33ef00b648a409245c7ea394c467824,12.678242062499995,133,balanced_sicx,708,13,Balanced
cx66d4d90f5f113eba575bf793570135f9b10cece1,7.467248237499997,118,balanced_loans,388,45,Balanced
cxba62bb61baf8dd8b6a04633fe33806547785a00c,3.5269184374999996,117,MyID_3,116,0,MyID
hxc4193cda4a75526bf50896ec242d6713bb6b02a3,0.1075,86,binance_hot,0,0,binance
cxa0af3165c08318e988cb30993b3048335b94af6c,2.0702564374999985,78,balanced_dex,252,0,Balanced
cxaa99a164586883eed0322d62a31946dfa9491fa6,8.070750649999997,58,optimus_rewards,193,2,Optimus
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,10.071432949999998,52,CraftRewards,412,6,Craft
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,1.4994199249999989,48,balanced_rewards,167,0,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,3.683172037499998,47,balanced_baln,270,25,Balanced
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,2.093218049999999,46,omm_lending,0,0,Omm
cx14002628a4599380f391f708843044bc93dce27d,22.934599125,43,iAM Div,5270,5284,iAM 
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,7.7585237624999985,40,Balanced Router,453,22,Balanced
cx2dc662031f3d62bcdba4f63e9bf827767c847565,0.9344730624999986,39,GangstaBet Skill,449,452,GangstaBet
cx203d9cd2a669be67177e997b8948ce2c35caffae,4.865668274999998,37,balanced_dividends,368,8,Balanced
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,0.2125962624999992,31,NebulaMultiToken,33,0,Nebula
cx334db6519871cb2bfd154cec0905ced4ea142de1,0.1184591249999996,31,unknown_cx,0,0,unknown_cx
cx44250a12074799e26fdeee75648ae47e2cc84219,0.48599293749999867,31,balanced_governance,0,0,Balanced
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,3.5703263,30,Inanis Treasury,2,0,Inanis
cxbb2871f468a3008f80b08fdde5b8b951583acf06,3.0663041124999992,27,Stably_USD,91,0,Stably_USD
cx9c4698411c6d9a780f605685153431dcda04609f,0.1684099999999988,26,Auction,56,0,Craft
cx7b1843b7ef5368a080ccf59c0a9d1bdec474f9f6,0.9894613624999994,24,optimus_dividends,166,0,Optimus
cxcc711062b732ed14954008da8a5b5193b4d48618,0.044399999999997594,24,peek_1,0,0,peek
cx2e6d0fc0eca04965d06038c8406093337f085fcf,2.246613549999999,21,Craft,126,5,Craft
cx8dc674ce709c518bf1a6058a2722a59f94b6fb7f,0.3852796124999992,18,Balanced StakedLP,51,0,Balanced
hx58c8c447e4e9fbcfea8af878260940b83ca9f4cc,0.02125,17,unknown_hx,0,0,unknown_hx
hxa390d24fdcba68515b492ffc553192802706a121,0.02,16,bitvavo_hot,0,0,bitvavo
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,2.5975037999999993,16,Yetis,322,316,FRAMD
cx332ca2fe21607b505d050277039dfd51506b748c,0.060241174999999994,14,AgoraScore,1,0,AgoraScore
cx288d13e1b63563459a2ac6179f237711f6851cb5,0.9511082874999998,14,btp-0x38.bsc-ETH,73,5,BTP
cx82c8c091b41413423579445032281bca5ac14fc0,0.0434546875,13,Craft,13,1,Craft
cx5b5a03cb525a1845d0af3a872d525b18a810acb0,0.7675223874999997,13,btp-0x38.bsc-BTCB,53,6,BTP
cx785d504f44b5d2c8dac04c5a1ecd75f18ee57d16,0.7978736374999994,12,Finance Token,52,5,Optimus
cx57d7acf8b5114b787ecdd99ca460c2272e4d9135,0.0983822749999997,12,NebulaPlanetToken,15,0,Nebula
hx4a01996877ac535a63e0107c926fb60f1d33c532,0.015,12,upbit_hot_03,0,0,upbit
hx8e7185061e1578659e245e1ed8c2b7526d7ff205,0.015,12,unknown_hx,0,0,unknown_hx
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,0.01375,11,bithumb_03,0,0,bithumb
hx85532472e789802a943bd34a8aeb86668bc23265,0.0125,10,unkEx_c_01,0,0,unkEx_c
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,2.3636730249999998,10,gangstabet_token,144,2,GangstaBet
hxfdb57e23c32f9273639d6dda45068d85ee43fe08,0.0125,10,upbit_hot_02,0,0,upbit
cxe0252e6c1fe4040412811d83d13979e335287e45,0.4063740999999995,10,Boosted Baln,37,10,Balanced
hx133323c2e990994816b548a9e7eb080a5eac8031,0.01125,9,unknown_hx,0,0,unknown_hx
hx6332c8a8ce376a5fc7f976d1bc4805a5d8bf1310,0.01125,9,upbit_hot_01,0,0,upbit
hxd9fb974459fe46eb9d5a7c438f17ae6e75c0f2d1,0.01125,9,huobi,0,0,huobi
hxf2b4e7eab4f14f49e5dce378c2a0389c379ac628,0.01,8,upbit_hot_05,0,0,upbit
cxe5c2c460364acc5f8c1d5ca925930043d8d9c9dd,0.0521577874999999,8,GangstaBet Crown,16,0,GangstaBet
cxcaef4255ec5cb784594655fa5ff62ce09a4f8dfa,0.063132,8,peek_3,8,0,peek
hxfcd94d14f47b8fea18baabbb07baaa6f9a1320b6,0.01,8,unknown_hx,0,0,unknown_hx
hx0c65769342c65e2206893f855793d33d0732c5fa,0.00875,7,unknown_hx,0,0,unknown_hx
cxae3034235540b924dfcc1b45836c293dcc82bfb7,0.40270728749999996,7,ICON USD Coin,27,1,ICON USD Coin
hx8d28bc4d785d331eb4e577135701eb388e9a469d,0.00875,7,upbit_hot_04,0,0,upbit
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,0.00875,7,kucoin,0,0,kucoin
hx63853fbea8363397576e8c4a151a395c830c4582,0.00875,7,unknown_hx,0,0,unknown_hx
hx68646780e14ee9097085f7280ab137c3633b4b5f,0.00875,7,kraken_hot,0,0,kraken
cx943cf4a4e4e281d82b15ae0564bbdcbf8114b3ec,0.0416488124999995,7,NebulaSpaceshipToken,7,0,Nebula
cx43e2eec79eb76293c298f2b17aec06097be606e0,0.0311261625,6,balanced_staking,18,0,Balanced
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,1.3031875374999997,6,omm_token,55,4,Omm
hx078d81cce09024f96fd6d358ad1668d55a2ff926,0.0075,6,unknown_hx,0,0,unknown_hx
hx1b152ff2b509449f6ce9f8eaa5cfe676464779f4,0.0075,6,unknown_hx,0,0,unknown_hx
hx4d9ff5963a19a0e2c5beaef1d00c479449fe3983,0.0075,6,unknown_hx,0,0,unknown_hx
hx294c5d0699615fc8d92abfe464a2601612d11bf7,0.00625,5,crypto.com_hot_02,0,0,crypto.com_hot_02
cx6392c0da0edb22c2e09522de0e9f4285df6f6dfc,0.0472605499999999,5,unknown_cx,0,5,unknown_cx
hx9028d6d15952b33c8c2c5b5fd35aeb877e366525,0.00625,5,unknown_hx,0,0,unknown_hx
hx792bf39913a49c0a020edabf499bb41477703b96,0.00625,5,unknown_hx,0,0,unknown_hx
hx3ed425ea0f66899c48c142763d04cd8c6be1e7d0,0.005,4,unknown_hx,0,0,unknown_hx
hxa28bf1566ec82115aa53061508e5a69bcd54ed3a,0.005,4,unknown_hx,0,0,unknown_hx
hx9ba6e717c03207b14fdcd6770cb0945f861bc715,0.005,4,unknown_hx,0,0,unknown_hx
hx3881f2ba4e3265a11cf61dd68a571083c7c7e6a5,0.005,4,coinex,0,0,coinex
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,0.5498990499999998,4,CROWN,41,1,GangstaBet
hxc158af4d58366e0531d4b5e04c48cb3d8d1142d9,0.005,4,unknown_hx,0,0,unknown_hx
cxeaff5a10cb72bf85965b8b4af3e708ab772b7921,1.3685745874999997,4,Boosted OMM Token,170,4,Omm
cx9f4ab72f854d3ccdc59aa6f2c3e2215dd62e879f,0.0672192374999999,4,CPS_Score,1,0,CPS_Score
cx8683d50b9f53275081e13b64fba9d6a56b7c575d,0.0112808749999999,4,gangstabet_trade,2,0,GangstaBet
cxc83f6eaf7e123f656657ebac3b09bc7a38e32314,0.5094441624999998,4,Code Metal Rewards Distribution,139,0,Code Metal Rewards Distribution
hx5159e011f2de5981f703ef84a2f651e74d979f00,0.005,4,unknown_hx,0,0,unknown_hx
hx5f75e7ea5a055f6700716a2487b44261ed02dd72,0.005,4,unknown_hx,0,0,unknown_hx
hx97006255b0a7af612e663e803101cc392cb8a619,0.00375,3,unknown_hx,0,0,unknown_hx
hxba44340c3418f502904edeab57d5ddbf0f5bf986,0.00375,3,unknown_hx,0,0,unknown_hx
hx0e3dc60c3bb8bb87986a5135acf968c8ac0782a6,0.00375,3,unknown_hx,0,0,unknown_hx
hx671470cf35d797bfc810db356d165b761e23d924,0.00375,3,unknown_hx,0,0,unknown_hx
hx81d4f834b91569b43cde903ec241eb1fce64a171,0.00375,3,unknown_hx,0,0,unknown_hx
hx421f624fd856517b4478b169c8849d087110ce93,0.00375,3,unknown_hx,0,0,unknown_hx
hxc147caa988765c13eaa6ca43400c27a0372b9436,0.00375,3,unknown_hx,0,0,unknown_hx
hx73cbd3325173888b3b9c134aeb91da95e3181434,0.00375,3,unknown_hx,0,0,unknown_hx
hx1f52fe9cd8b0dcfd32f499911124fba1f0355a59,0.00375,3,unknown_hx,0,0,unknown_hx
hxb6ff13c0753f52ea84b1d3abfe3203871c0fcb88,0.00375,3,unknown_hx,0,0,unknown_hx
hxb2c6a97dd2cb2c417a0a30539846d95f8eb0667f,0.00375,3,unknown_hx,0,0,unknown_hx
hxabd4c8d944706ca98c6e8f4856208185d893d5a8,0.00375,3,unknown_hx,0,0,unknown_hx
hx73a6435aae430a0b4a0bcb38f0b8eec24e92802e,0.00375,3,unknown_hx,0,0,unknown_hx
hx6b91c8dea3114de74ecfa85908b875778c2b599c,0.00375,3,bybit,0,0,bybit
hxa10445db0a8bf2fbd80111248f42d82fe4e39319,0.00375,3,unknown_hx,0,0,unknown_hx
hx8e957dff0fe7ec7464742f9b3e7b7be5db33a0ff,0.00375,3,unknown_hx,0,0,unknown_hx
hx6b0f294bded619aeaf81ea19edc76dc09663ab0c,0.00375,3,unknown_hx,0,0,unknown_hx
hx38ed9d2fe8899e6f627b038e38a6160d630c4b38,0.00375,3,unknown_hx,0,0,unknown_hx
hx7cf6f812f59931ea8e0ad7b60f8a3e43fd58f1fa,0.00375,3,unknown_hx,0,0,unknown_hx
hx1f378d31025968d5da6f1ba56852de71e3adee2f,0.00375,3,unknown_hx,0,0,unknown_hx
hxfa20b16c346208aae1469a9ed651f1242848b341,0.00375,3,unknown_hx,0,0,unknown_hx
cxed0f02a1a61b483bd366021d68af8469414b7be8,0.9056286124999999,3,unknown_cx,50,0,unknown_cx
cxd1f08a2967de6374f52408396bfe2fe8183b2800,0.3026797624999999,3,CODE METAL CODE Token,15,0,CODE METAL CODE Token
cxfd6f9f61aabc0b8e72f272542711d740fe468819,0.0573375124999998,3,OptimusEarn,16,1,Optimus
cx015c7f8884d43519aa2bcf634140bd7328730cb6,0.1653298874999998,3,Omm Staked Lp,15,0,Omm
hx03a6688ab037e35b5b0f510593da9738e6199e43,0.00375,3,unknown_hx,0,0,unknown_hx
hx045feed804a7df57de76b8faf801bc39482c28dc,0.00375,3,unknown_hx,0,0,unknown_hx
hxf4f5e4736772f36460ffaf67712e21abea0ae5f4,0.00375,3,unknown_hx,0,0,unknown_hx
cx18403e24f5f5f7cf7a7bae8885d3e1d27ce5fd10,0.0210782125,3,OptimusStrategyICXMining,5,1,Optimus
cx841f29ec6ce98b527d49a275e87d427627f1afe5,0.32790462499999967,3,OMM Delegation,0,0,Omm
hx8ac037ad14449b686777b60e84adb2780a69f365,0.0025,2,unknown_hx,0,0,unknown_hx
hx8b417f96106fa225fc39b85868f06f6bea297adb,0.0025,2,unknown_hx,0,0,unknown_hx
hx8d2157ea7d5594fa32d9b3c0bbb75425e5053b38,0.0025,2,unknown_hx,0,0,unknown_hx
hx8c5cc6b806aa640f38561d101caec8bc83f84ddf,0.0025,2,unknown_hx,0,0,unknown_hx
hx8cd9b1967a8646fad7ada9ce09462a5ea3f08804,0.0025,2,unknown_hx,0,0,unknown_hx
hx8cf4caad199391a29ce1f8e8388179582fb05cfa,0.0025,2,unknown_hx,0,0,unknown_hx
hxf39ec72347977b0d0b313eb067353ba32927f51d,0.0025,2,unknown_hx,0,0,unknown_hx
hx8da83de76fcab060f542f25a16ab8561ce0211b7,0.0025,2,unknown_hx,0,0,unknown_hx
hx87b19d20a762d2e82ad727a30871818875f0ee5f,0.0025,2,unknown_hx,0,0,unknown_hx
hxdfd9ad12aa206fba30df133338a16d00f76bc696,0.0025,2,unknown_hx,0,0,unknown_hx
hx875ec972f6b8d2dc3b4148b9fc30d5c137e80980,0.0025,2,unknown_hx,0,0,unknown_hx
hx86ec1e2b3cea626836937168b6a3b15d7dfff057,0.0025,2,unknown_hx,0,0,unknown_hx
hxf36c234a89f476b2512e345101cb6a8dd3845744,0.0025,2,unknown_hx,0,0,unknown_hx
hx8684f18ddab1f2fb08ed58f33457860a3851c268,0.0025,2,unknown_hx,0,0,unknown_hx
hx864aae8a90ed7000cdbfbaf190936c6a29a735d7,0.0025,2,unknown_hx,0,0,unknown_hx
