,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
0,2022-12-16,52947,296.0051613874997,19522,50860,72469,,,,
1,2022-12-17,50127,193.3276240374998,12907,46663,63034,,,,
2,2022-12-18,51952,169.71942287499974,17935,51806,69887,,,,
3,2022-12-19,51019,230.01107386249976,19578,52378,70597,,,,
4,2022-12-20,52320,237.53244668749971,18149,50393,70469,,,,
5,2022-12-21,51419,154.88386156249976,13385,47863,64804,,,,
6,2022-12-22,51733,196.79753991249976,18334,52097,70067,68761.0,,211.18244718928548,
7,2022-12-23,50642,193.8969889999998,15334,49584,65976,67833.42857142857,,196.59556541964258,
8,2022-12-24,49473,140.88312541249982,15511,52191,64984,68112.0,,189.10349418749976,
9,2022-12-25,49932,163.73398673749978,17160,53776,67092,67712.71428571429,,188.24843188214263,
10,2022-12-26,52910,189.87783507499967,21165,54321,74075,68209.57142857143,,182.5151120553569,
11,2022-12-27,51551,246.37047488749977,20482,53940,72033,68433.0,,183.77768751249977,
12,2022-12-28,51901,193.15368024999972,20815,54502,72716,69563.28571428571,,189.2448044678569,
13,2022-12-29,51499,253.80293824999976,18635,54540,70134,69572.85714285714,,197.38843280178548,
14,2022-12-30,52243,192.75687317499975,17373,53230,69616,70092.85714285714,,197.22555911249975,
15,2022-12-31,50174,166.99090107499984,15539,52497,65713,70197.0,,200.95524134999977,
16,2023-01-01,51020,153.72253574999982,17979,52306,68999,70469.42857142857,,199.52503406607119,
17,2023-01-02,51099,227.93462132499985,19328,54236,70427,69948.28571428571,,204.96171781607123,
18,2023-01-03,51559,253.08511018749985,19691,52835,71250,69836.42857142857,,205.92095143035695,
19,2023-01-04,50262,184.56733588749984,17559,52839,67821,69137.14285714286,,204.69433080714268,
20,2023-01-05,50887,157.45411229999988,16281,52565,67168,68713.42857142857,,190.93021281428557,
21,2023-01-06,50284,185.73569947499988,17555,52815,67839,68459.57142857143,,189.92718799999986,
22,2023-01-07,49476,148.65813321249988,15506,51628,64982,68355.14285714286,,187.30822116249988,
23,2023-01-08,37097,152.8537331374999,12859,35626,49956,65634.71428571429,,187.1841065035713,
