,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
0,2023-01-22,57009,367.1901868874995,19138,51043,76147,,,,
1,2023-01-23,50317,268.60835334999985,19039,51810,69356,,,,
2,2023-01-24,59712,729.3115444999997,33265,51861,92977,,,,
3,2023-01-25,52738,272.67189066249983,20423,54670,73161,,,,
4,2023-01-26,51848,175.46434411249984,11937,48042,63785,,,,
5,2023-01-27,51690,209.28751846249983,17969,53598,69659,,,,
6,2023-01-28,54566,164.68673213749975,20461,55636,75027,74301.71428571429,,312.46008144464264,
7,2023-01-29,54314,203.17286292499972,18790,52524,73104,73867.0,,289.0290351642855,
8,2023-01-30,54685,251.8815365999998,19214,54331,73899,74516.0,,286.6394899142855,
9,2023-01-31,52740,197.74919659999983,16375,52433,69115,71107.14285714286,,210.70201164285695,
10,2023-02-01,53898,192.57516537499976,16629,52291,70527,70730.85714285714,,199.25962231607122,
11,2023-02-02,51659,234.60295681249983,15005,50923,66664,71142.14285714286,,207.70799555892836,
12,2023-02-03,51868,142.59930393749983,13449,50765,65317,70521.85714285714,,198.18110776964264,
13,2023-02-04,49910,133.54091688749986,12841,50279,62751,68768.14285714286,,193.7317055910712,
14,2023-02-05,51723,234.85149646249985,17034,50640,68757,68147.14285714286,,198.25722466785695,
15,2023-02-06,52784,267.5653042499998,19535,51303,72319,67921.42857142857,,200.49776290357127,
16,2023-02-07,51265,144.44127828749987,13007,50469,64272,67229.57142857143,,192.88234600178552,
17,2023-02-08,50577,168.38424143749987,13291,50623,63868,66278.28571428571,,189.42649972499984,
18,2023-02-09,50059,167.8427474624999,14441,50203,64500,65969.14285714286,,179.88932696071416,
19,2023-02-10,50659,134.9165342874999,12863,50873,63522,65712.71428571429,,178.79178843928557,
20,2023-02-11,48785,104.3657318624999,10941,49632,59726,65280.57142857143,,174.6239048642856,
21,2023-02-12,50472,154.06200827499987,14004,50334,64476,64669.0,,163.08254940892843,
22,2023-02-13,50222,181.25702786249988,14667,50267,64889,63607.57142857143,,150.75279563928558,
23,2023-02-14,50933,207.12171338749988,15225,51106,66158,63877.0,,159.70714351071416,
24,2023-02-15,51000,224.77405301249988,16310,51226,67310,64368.71428571428,,167.76283087857132,
25,2023-02-16,51086,188.10694788749987,14904,50464,65990,64581.57142857143,,170.6577166535713,
26,2023-02-17,50991,170.3564167249999,14178,50047,65169,64816.857142857145,,175.7205570017856,
27,2023-02-18,49742,153.50898792499987,13375,49721,63117,65301.28571428572,,182.7410221535713,
28,2023-02-19,50325,137.6383828249999,14170,50205,64495,65304.0,,180.39478994642846,
29,2023-02-20,52111,390.5399363374999,18273,51535,70384,66089.0,68348.03333333334,210.2923482999999,219.10251058458317
30,2023-02-21,51378,241.14161494999988,17722,50768,69100,66509.28571428571,68113.13333333333,215.15233423749987,214.90089151999985
31,2023-02-22,50663,183.18067579999985,14189,50699,64852,66158.14285714286,67963.0,209.21042320714272,212.05330226833317
32,2023-02-23,52978,658.2393300124999,26940,50653,79918,68147.85714285714,67527.7,276.37219208214276,209.68422845208318
33,2023-02-24,51322,274.7320771874999,19470,50519,70792,68951.14285714286,67448.73333333334,291.28300071964276,209.75290133624986
34,2023-02-25,50718,258.37632536249987,16933,49814,67651,69598.85714285714,67577.6,306.2640489249999,212.51663404458316
