to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,43148,0.0,System,3,43149,System
cx0000000000000000000000000000000000000000,945,1.6611624999999692,governance,639,0,governance
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,362,1.803731024999996,Relay_4,0,0,Relay
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,284,36.504227624999984,bnUSD,1926,7,bnUSD
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,196,0.7531185999999968,Blobble Stake Token,181,0,Blobble
cxb2f67b60ef68f8f239d247e1f23412c0685d4b9b,191,1.2901031124999944,unknown_cx,0,76,unknown_cx
cx02da5d1c7f21d9d13534b326fa9a5b7234838221,144,7.560288412499996,ICON Pyth verifier,0,0,ICON Pyth verifier
cx2609b924e33ef00b648a409245c7ea394c467824,129,11.835630587499995,sICX,690,1,sICX
hx49b1556654e51f52d59a8222b4737ee7dccc6d1b,115,0.14375000000000002,upbit_cold_02,0,0,upbit
hxb568381d35d3e7a6383200e8a0d30310af20b929,102,0.1275,binance_hot,0,0,binance
hxb747fb83ad93d27ce9cc46538d96fdcc7fd82992,77,0.09625,unknown_hx,0,0,unknown_hx
cx3975b43d260fb8ec802cef6e60c2f4d07486f11d,49,2.9922252874999975,Wrapped ICX,275,18,Wrapped ICX
hx5d0f4ede2653be1128df93b5a896b309dd547a27,47,0.058750000000000004,unknown_hx,0,0,unknown_hx
cx5a0af85407c69945eb318d4ac18e9e842184163c,40,2.3913214999999988,GangWar Simulation,94,31,GangstaBet
cx66d4d90f5f113eba575bf793570135f9b10cece1,39,3.281960912499999,balanced_loans,94,32,Balanced
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,38,1.6049816999999997,Balanced Savings,64,0,Balanced
hx6b91c8dea3114de74ecfa85908b875778c2b599c,38,0.0475,bybit,0,0,bybit
hxa1372bbec1e946dbe7681c28fadaac91b38befd9,34,0.0425,unknown_hx,0,0,unknown_hx
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,31,2.1413736499999994,Injective,160,1,Injective
cx518f64edcd35db9044a2de63fdc10abfd5f7d611,31,5.276159724999997,Stellar,319,0,Stellar
cx1be33c283c7dc7617181d1b21a6a2309e71b1ee7,28,0.5106789499999995,unknown_cx,62,0,unknown_cx
hx33913d2e0418cdbe30dede51188fd24227e424f0,27,0.03375,unknown_hx,0,0,unknown_hx
hx002872c5d6a38a08ff52255af3bd1378c860006d,26,0.0325,unknown_hx,0,0,unknown_hx
hx9f1253a2b91e3f6817116e2a0da3120aeda183d2,26,0.0325,unknown_hx,0,0,unknown_hx
hxfc6e124771c48138f5074bec5a521b5509efbb86,26,0.0325,unknown_hx,0,0,unknown_hx
cxba62bb61baf8dd8b6a04633fe33806547785a00c,25,0.7514941874999996,MyID_3,24,0,MyID
hx0341962988c44dd8a47e419f8eab6bf4383aa23a,24,0.03,unknown_hx,0,0,unknown_hx
hx0e7ce4398a56e5bc7ad49e787556786f00c8ed64,22,0.0275,unknown_hx,0,0,unknown_hx
hx0e573245f59a82ee78e4c2ed84431bd9a4237388,22,0.0275,unknown_hx,0,0,unknown_hx
cxa0af3165c08318e988cb30993b3048335b94af6c,22,0.8871066499999993,balanced_dex,32,40,Balanced
hx94165ff0c4c93a68c8978b83dd97cbc5203ea3e1,20,0.025,unknown_hx,0,0,unknown_hx
hxa565a28c6d34b3f63e57fb8dc15f1905d3c9b985,18,0.0225,unknown_hx,0,0,unknown_hx
hx0817b72a02173b4cdb6132a667965d04c2a59a75,18,0.0225,unknown_hx,0,0,unknown_hx
cx508002ec116fbf3ab406329c0df28e70d7e75fb3,17,1.212578875,Sui,107,0,Sui
hx9ae321ac4887eede3af7c55914c3a603fe1598dc,17,0.02125,unknown_hx,0,0,unknown_hx
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,17,1.359384549999999,balanced_rewards,38,0,Balanced
hxd9f2ce65c22395be4951517afd077eefbf161978,15,0.01875,unknown_hx,0,0,unknown_hx
hxbaffaa15a1005774a7456eac1055c7e68808da64,15,0.01875,unknown_hx,0,0,unknown_hx
cxa07f426062a1384bdd762afa6a87d123fbc81c75,12,1.1413671874999998,xCall,74,47,xCall
cx288d13e1b63563459a2ac6179f237711f6851cb5,12,0.7464968374999997,Ethereum,52,7,Ethereum
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,12,0.2745624874999993,Balanced Asset Manager,48,12,Balanced
hx4dbf66982346c15349e2c76b709448f9f90e04da,11,0.01375,unknown_hx,0,0,unknown_hx
hx4846c4d1e83751f3810fc6b8dabf699cfec5de60,11,0.01375,unknown_hx,0,0,unknown_hx
hxdab2ee75464307b117dc3e078763bf98c4d22762,11,0.01375,unknown_hx,0,0,unknown_hx
cxdbfb9d63e84e6ad6ab301a2f2ef6b6e6e9227cbe,11,0.1618200374999996,unknown_cx,0,11,unknown_cx
hx39b2c92e67dac5f4022e6ee985570d4be84160f5,9,0.01125,unknown_hx,0,0,unknown_hx
hx11aed4300d92342ef4bd7adb760c300858a175bd,9,0.01125,unknown_hx,0,0,unknown_hx
cx43e2eec79eb76293c298f2b17aec06097be606e0,9,0.1054268124999992,balanced_staking,27,0,Balanced
hx65cdf6c76d4f20a433ca22eba8d0f28d4f083a37,8,0.01,unknown_hx,0,0,unknown_hx
hx636d2c0563989185e98395430f28e12fe959ee48,8,0.01,unknown_hx,0,0,unknown_hx
hx0ad8263c9a0676920a16dd7c84f2d2d8195079df,8,0.01,unknown_hx,0,0,unknown_hx
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,8,0.0755627499999998,MyID_2,8,0,MyID
hx10b165eac2645b86fe3d89c05a91827e38cf8cdb,8,0.01,unknown_hx,0,0,unknown_hx
hxc70704ca7f499b9e1c484e1f6c07aa56ed5bba7d,8,0.01,unknown_hx,0,0,unknown_hx
hx5ae3db11596fb6b36287c1759d199fc366992b13,7,0.00875,unknown_hx,0,0,unknown_hx
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,7,0.00875,bithumb_03,0,0,bithumb
hx54e7696311833c9ee5a01a6fcba5faed7ee692d7,7,0.00875,unknown_hx,0,0,unknown_hx
hx569f12a3791c7cd254a7ef52dddfab5aafc1ccf0,6,0.0075,unknown_hx,0,0,unknown_hx
hxfdead187d2a05edbcef9b64c886c6c4292aa1032,6,0.0075,unknown_hx,0,0,unknown_hx
cx66a031cc3bd305c76371fb586e93801b948254f0,6,0.4315306624999999,Avalanche,33,1,Avalanche
hxe8a3e4a99511a574f7be39e4374283eeba2011ad,6,0.0075,unknown_hx,0,0,unknown_hx
hx1865261cc28080f6059c737348e231051214c21c,6,0.0075,unknown_hx,0,0,unknown_hx
hxa390d24fdcba68515b492ffc553192802706a121,6,0.0075,bitvavo_hot,0,0,bitvavo
hx89d87068045378d392e45f6fd03c150d42337d2f,6,0.0075,unknown_hx,0,0,unknown_hx
hx2921be053ec8faab086545961f3a857deef07bc6,5,0.00625,unknown_hx,0,0,unknown_hx
hx3a701d86c3145ced7629429dde84bac8d0a3360f,5,0.00625,unknown_hx,0,0,unknown_hx
hxbcdc37594879c7208313ca6f6fce143ddcd3a697,5,0.00625,unknown_hx,0,0,unknown_hx
hxb435d9d52c0dbd1e2695f07a43d1d06f4189e9d1,5,0.00625,unknown_hx,0,0,unknown_hx
hx39852eea7723e3f61c1c8d4434e31b9cf70b3c6d,5,0.00625,unknown_hx,0,0,unknown_hx
hx3e99155042f80946cc2867d64beb2404ff796cb3,5,0.00625,unknown_hx,0,0,unknown_hx
hx08325e98230833a51f30612c77548a6acdfc7d59,5,0.00625,unknown_hx,0,0,unknown_hx
hx09ac7a3bacc34385632f55c6455fe17c584607a2,5,0.00625,unknown_hx,0,0,unknown_hx
hx5b627aa097af2356794811fcab15b345e915a627,5,0.00625,unknown_hx,0,0,unknown_hx
hx0384c56a749aac59612bc2cce65343eb4f12ccc9,5,0.00625,unknown_hx,0,0,unknown_hx
hx5ab201facadc8efb7e55bf7779d364717f14a0f3,5,0.00625,unknown_hx,0,0,unknown_hx
