date,group,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx)
2021-07-21,3-min_tx_bot_in,478,0.5974999999999928,0,0
2021-07-21,ACT,60,0.118269,54,0
2021-07-21,Balanced,6683,112.63943374999997,21677,2513
2021-07-21,BazaarToken,3,0.00696575,6,0
2021-07-21,CPS_Score,14,0.042112,14,0
2021-07-21,Challenge,19,0.42591475,37,30
2021-07-21,Craft,50,0.594122,69,6
2021-07-21,CryptoDuel,81,1.4949654999999995,45,27
2021-07-21,EPX,4,0.010696,0,0
2021-07-21,Home Ground Pay,1,0.0019245,1,0
2021-07-21,ICONNetBet,4,0.00842,8,0
2021-07-21,ICONbet,4972,59.50181350000009,19087,12531
2021-07-21,ICX_Card,1,0.0023285,1,0
2021-07-21,IWinToken,5135,10.184010000000718,5179,0
2021-07-21,LambdaX,1,0.0022575,3,0
2021-07-21,Lossless Lottery,6,0.0177087499999999,19,0
2021-07-21,Metanyx,862,1.752896499999978,1030,0
2021-07-21,MyID,5980,21.3999459999995,1153,3466
2021-07-21,Nebula,108,0.2224624999999999,210,0
2021-07-21,PGT Distro,2,0.027105,52,0
2021-07-21,PiconbelloGovernanceToken,3,1.96275725,1722,0
2021-07-21,Relay,2824,35.93400299999992,0,9485
2021-07-21,SEED,35,0.09241099999999991,58,4
2021-07-21,Stably_USD,2,0.004173,4,0
2021-07-21,System,42688,0.0,1,86225
2021-07-21,UP,41,0.2529220000000001,489,0
2021-07-21,binance,165,0.20625,0,0
2021-07-21,bithumb,7,0.00875,0,0
2021-07-21,bittrex,2,0.0025,0,0
2021-07-21,bitvavo,24,0.03,0,0
2021-07-21,"broof - we prove, verify and love you.",329,0.5637410000000003,0,0
2021-07-21,circle_arb,67159,195.6748042500806,1492,375
2021-07-21,coinex,2,0.0025,0,0
2021-07-21,funnel_1,16,0.02,0,0
2021-07-21,gov_voting,2,0.0041435,0,2
2021-07-21,governance,3978,27.10641749999908,1669,0
2021-07-21,huobi,10,0.0124999999999999,0,0
2021-07-21,iAM ,46,4.913204749999998,7787,7790
2021-07-21,kraken,17,0.02125,0,0
2021-07-21,peek,63,0.16210875000000002,15,0
2021-07-21,planp,1,0.00125,0,0
2021-07-21,rev_share,2,0.0063125,16,0
2021-07-21,unknown_cx,22,0.0687905,0,0
2021-07-21,unknown_hx,1045,1.306445,0,0
2021-07-21,upbit,55,0.06875,0,0
2021-07-21,velic,2,0.0025,0,0
2021-07-22,3-min_tx_bot_in,483,0.6037499999999927,0,0
2021-07-22,ACT,20,0.0394892499999999,19,0
2021-07-22,Balanced,5370,52.75846824999998,17160,1688
2021-07-22,BazaarToken,6,0.0166362499999999,20,0
2021-07-22,CPS_Score,25,0.07614775,24,0
2021-07-22,Challenge,8,0.13839625,5,4
