to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,1294274,0.0,System,131,1294304,System
cx0000000000000000000000000000000000000000,49136,184.29231207499836,governance,18650,0,governance
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,19157,81.92383143749994,Blobble Stake Token,19641,8,Blobble
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,16456,66.94980684999993,unknown_cx,0,0,Blobble
hx11de4e28be4845de3ea392fd8d758655bf766ca7,14399,17.99875,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,12309,258.7620178374999,FRAMD Token,15493,945,FRAMD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,8738,35.86718929999999,Relay_4,0,0,Relay
cxe5c2c460364acc5f8c1d5ca925930043d8d9c9dd,5310,24.918110662499892,GangstaBet Crown,5569,0,GangstaBet
cx5a0af85407c69945eb318d4ac18e9e842184163c,4294,222.20778288749986,GangWar Simulation,17798,2473,GangWar Simulation
cxba62bb61baf8dd8b6a04633fe33806547785a00c,2454,74.98187299999998,MyID_3,2334,0,MyID
cx9c4698411c6d9a780f605685153431dcda04609f,2388,23.925141687499934,Auction,7433,0,Craft
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,1813,25.358856137499966,GangstaVerse LootBox,7671,0,GangstaVerse LootBox
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,1699,159.54790062499995,CROWN,14611,982,GangstaBet
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,1642,312.69602132499995,bnUSD,13409,838,bnUSD
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,1447,13.643953562499926,MyID_2,1447,0,MyID
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,1421,122.51506471249996,CraftRewards,8763,151,Craft
cx69bcdf1753472c1444188ec3f5188657e30c8322,1389,3.821578812499942,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
cx66d4d90f5f113eba575bf793570135f9b10cece1,1244,88.26635281249996,balanced_loans,3671,303,Balanced
cx2609b924e33ef00b648a409245c7ea394c467824,1233,202.68016049999997,balanced_sicx,6570,159,Balanced
cx2dc662031f3d62bcdba4f63e9bf827767c847565,1113,58.26051747499997,SkillScore,6885,7291,SkillScore
hxb568381d35d3e7a6383200e8a0d30310af20b929,1096,1.37,Swyftx,0,0,Swyftx
cx14002628a4599380f391f708843044bc93dce27d,1043,562.12675065,iAM Div,124752,125088,iAM 
cx2e6d0fc0eca04965d06038c8406093337f085fcf,675,126.97737274999999,Craft,5055,128,Craft
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,633,154.17523806249997,Balanced Router,7730,227,Balanced
cx28497aef34ec44ad2be9249daddfbe34b54f309a,595,10.077029187499985,Balanced Bribe,595,0,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,553,26.47565428749998,balanced_rewards,1782,0,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,511,87.98606283749999,balanced_baln,2983,308,Balanced
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,474,104.71951373749998,Inanis Treasury,1108,129,Inanis
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,424,67.19553733749999,gangstabet_token,3643,112,GangstaBet
cxaa99a164586883eed0322d62a31946dfa9491fa6,409,34.728701024999985,optimus_rewards,1098,58,Optimus
cxa0af3165c08318e988cb30993b3048335b94af6c,396,17.091385937499986,balanced_dex,1210,0,Balanced
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,379,89.02986131249999,omm_lending,6974,0,Omm
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,371,100.14098874999999,omm_token,4310,161,Omm
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,324,2.1795883124999853,NebulaMultiToken,445,0,Nebula
cx203d9cd2a669be67177e997b8948ce2c35caffae,316,57.63245159999999,balanced_dividends,3351,79,Balanced
cx384018e03aa8b739472c7a0645b70df97550e2c2,298,4.103766362499988,GangstaBet,281,0,GangstaBet
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,279,60.90514621249999,Yetis,6578,7032,FRAMD
cx7b1843b7ef5368a080ccf59c0a9d1bdec474f9f6,263,15.403592349999991,optimus_dividends,2761,0,Optimus
hx49b1556654e51f52d59a8222b4737ee7dccc6d1b,239,0.29875,upbit_cold_02,0,0,upbit
cx334db6519871cb2bfd154cec0905ced4ea142de1,233,0.7955752499999924,unknown_cx,0,0,unknown_cx
cx841f29ec6ce98b527d49a275e87d427627f1afe5,168,19.535036974999993,OMM Delegation,1,1,Omm
cx82c8c091b41413423579445032281bca5ac14fc0,164,0.5542399999999988,Craft,163,8,Craft
hx68646780e14ee9097085f7280ab137c3633b4b5f,163,0.20375000000000001,kraken_hot,0,0,kraken
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,142,0.1775,kucoin,0,0,kucoin
