to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,1294275,System,150,1294305,System
hx515dff2d6210e74b0ad595aa02fe6d2ef042b0a6,242.72625,194181,sandwich_guy_2,0,0,sandwich_guy_2
cx0000000000000000000000000000000000000000,168.07420071249837,49287,governance,18736,0,governance
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,79.82336146249993,18887,Blobble Stake Token,19358,2,Blobble
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,65.68945052499993,16141,unknown_cx,0,0,Blobble
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,306.7498635999999,14790,FRAMD Token,18307,1061,FRAMD
hx11de4e28be4845de3ea392fd8d758655bf766ca7,18.0,14400,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,35.950003925,8762,Relay_4,0,0,Relay
cxe5c2c460364acc5f8c1d5ca925930043d8d9c9dd,24.547548162499897,5230,GangstaBet Crown,5477,0,GangstaBet
cx5a0af85407c69945eb318d4ac18e9e842184163c,252.35311487499987,4277,GangWar Simulation,18853,2444,GangWar Simulation
cxba62bb61baf8dd8b6a04633fe33806547785a00c,80.88511793749997,2646,MyID_3,2516,0,MyID
cx9c4698411c6d9a780f605685153431dcda04609f,23.99955991249993,2401,Auction,7351,1,Craft
cx69bcdf1753472c1444188ec3f5188657e30c8322,6.109363749999941,2161,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,24.83883103749997,1811,GangstaVerse LootBox,7755,0,GangstaVerse LootBox
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,164.95051679999995,1772,CROWN,15040,1048,GangstaBet
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,290.88351591249994,1651,bnUSD,13481,902,bnUSD
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,14.435479562499923,1531,MyID_2,1531,0,MyID
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,130.14130311249997,1429,CraftRewards,9070,149,Craft
cx2609b924e33ef00b648a409245c7ea394c467824,211.64956222499995,1269,balanced_sicx,6997,172,Balanced
cx14002628a4599380f391f708843044bc93dce27d,675.0221367375,1253,iAM Div,150704,151110,iAM 
cx2dc662031f3d62bcdba4f63e9bf827767c847565,62.41595474999996,1191,SkillScore,7359,7809,SkillScore
cx66d4d90f5f113eba575bf793570135f9b10cece1,80.82233198749996,1087,balanced_loans,3244,226,Balanced
hxb568381d35d3e7a6383200e8a0d30310af20b929,1.24125,993,Swyftx,0,0,Swyftx
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,174.46356871249998,709,Balanced Router,8464,259,Balanced
cx2e6d0fc0eca04965d06038c8406093337f085fcf,99.56505528749999,639,Craft,4232,118,Craft
cx28497aef34ec44ad2be9249daddfbe34b54f309a,9.866363399999985,582,Balanced Bribe,581,0,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,27.668993962499982,566,balanced_rewards,1854,0,Balanced
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,115.67195179999999,541,Inanis Treasury,1179,135,Inanis
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,87.72802302499998,539,balanced_baln,3374,326,Balanced
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,71.89373103749999,426,gangstabet_token,3908,121,GangstaBet
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,100.31978386249997,425,omm_lending,8007,0,Omm
cxaa99a164586883eed0322d62a31946dfa9491fa6,38.62929052499998,417,optimus_rewards,1207,60,Optimus
cxa0af3165c08318e988cb30993b3048335b94af6c,17.681484512499985,410,balanced_dex,1299,0,Balanced
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,91.60432067499998,384,omm_token,3775,204,Omm
cx203d9cd2a669be67177e997b8948ce2c35caffae,62.93019148749999,344,balanced_dividends,3714,93,Balanced
cx384018e03aa8b739472c7a0645b70df97550e2c2,4.3049889999999875,323,GangstaBet,306,0,GangstaBet
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,89.727589825,320,Yetis,9654,10591,FRAMD
