to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,1293828,0.0,System,178,1293858,System
hx515dff2d6210e74b0ad595aa02fe6d2ef042b0a6,205616,257.02,sandwich_guy_2,0,0,sandwich_guy_2
cx0000000000000000000000000000000000000000,50204,307.95312818749835,governance,19450,0,governance
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,19523,87.52170697499994,Blobble Stake Token,20228,17,Blobble
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,17325,70.59853204999993,unknown_cx,0,0,Blobble
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,14248,232.88333737499954,FRAMD Token,16566,703,FRAMD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,8875,36.246093474999995,Relay_4,0,0,Relay
cxe5c2c460364acc5f8c1d5ca925930043d8d9c9dd,5043,23.621538337499885,GangstaBet Crown,5264,0,GangstaBet
cx5a0af85407c69945eb318d4ac18e9e842184163c,2994,149.65427252499993,GangWar Simulation,9100,2060,GangWar Simulation
cxba62bb61baf8dd8b6a04633fe33806547785a00c,2008,62.750439249999985,MyID_3,1968,0,MyID
hxb568381d35d3e7a6383200e8a0d30310af20b929,1995,2.49375,Swyftx,0,0,Swyftx
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,1962,360.7705745999999,bnUSD,15642,1181,bnUSD
cx69bcdf1753472c1444188ec3f5188657e30c8322,1721,4.8413463749999375,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,1631,47.256007849999975,balanced_rewards,1637,328,Balanced
cx2609b924e33ef00b648a409245c7ea394c467824,1618,266.1265641499999,balanced_sicx,9435,402,Balanced
cx14002628a4599380f391f708843044bc93dce27d,1410,686.5146483249999,iAM Div,131479,131569,iAM 
cx66d4d90f5f113eba575bf793570135f9b10cece1,1392,105.59345071249996,balanced_loans,4210,581,Balanced
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,1013,9.553373937499947,MyID_2,1013,0,MyID
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,909,15.01186151249998,GangstaVerse LootBox,4237,0,GangstaVerse LootBox
cx9c4698411c6d9a780f605685153431dcda04609f,784,8.892746262499982,Auction,3051,3,Craft
cxa0af3165c08318e988cb30993b3048335b94af6c,730,37.067119312499976,balanced_dex,2359,67,Balanced
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,713,182.46689631249998,Balanced Router,8380,362,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,670,143.34816768749997,balanced_baln,4572,548,Balanced
