to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,1293299,System,51,1293325,System
cx0000000000000000000000000000000000000000,53.88492749999901,30753,governance,20918,0,governance
cxb2f67b60ef68f8f239d247e1f23412c0685d4b9b,164.05574314999924,25683,unknown_cx,0,9722,unknown_cx
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,2873.2687881874995,23607,bnUSD,110987,5166,bnUSD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,54.217389674999986,10799,Relay_4,0,0,Relay
cx02da5d1c7f21d9d13534b326fa9a5b7234838221,445.7677566749997,8490,ICON Pyth verifier,0,0,ICON Pyth verifier
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,24.306402587499917,6029,Blobble Stake Token,5702,0,Blobble
cx1be33c283c7dc7617181d1b21a6a2309e71b1ee7,53.592553724999796,2576,unknown_cx,3148,0,unknown_cx
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,164.06454489999996,2046,Injective,12653,35,Injective
cx2609b924e33ef00b648a409245c7ea394c467824,167.45271759999994,1888,sICX,10075,142,sICX
cx508002ec116fbf3ab406329c0df28e70d7e75fb3,130.449722625,1748,Sui,11517,0,Sui
cx5a0af85407c69945eb318d4ac18e9e842184163c,82.79775048749994,1701,GangWar Simulation,3438,1218,GangWar Simulation
cxa07f426062a1384bdd762afa6a87d123fbc81c75,64.17814211249998,1638,xCall,4217,6320,xCall
cx288d13e1b63563459a2ac6179f237711f6851cb5,139.7689225875,1636,Ethereum,10959,0,Ethereum
cxdbfb9d63e84e6ad6ab301a2f2ef6b6e6e9227cbe,24.47417378749994,1632,unknown_cx,0,1618,unknown_cx
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,36.38112409999992,1613,Balanced Asset Manager,6164,1542,Balanced
cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,117.69699752499993,1418,Bitcoin,9216,25,Bitcoin
cxba62bb61baf8dd8b6a04633fe33806547785a00c,43.32980924999999,1366,MyID_3,1358,0,MyID
cx3975b43d260fb8ec802cef6e60c2f4d07486f11d,54.48104377499996,1051,Wrapped ICX,5236,446,Wrapped ICX
cx66a031cc3bd305c76371fb586e93801b948254f0,83.55792897499998,987,Avalanche,6535,0,Avalanche
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,42.144514524999956,939,Balanced Savings,1672,0,Balanced
cx66d4d90f5f113eba575bf793570135f9b10cece1,69.11018491249997,742,balanced_loans,1969,823,Balanced
cx69bcdf1753472c1444188ec3f5188657e30c8322,2.0321295624999913,664,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
hxb568381d35d3e7a6383200e8a0d30310af20b929,0.7837500000000001,627,binance_hot,0,0,binance
cxa0af3165c08318e988cb30993b3048335b94af6c,26.061910649999987,556,balanced_dex,1007,988,Balanced
cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,49.50153784999999,551,Binance Coin,3919,0,binance
