,tx_count,hx_address_count
2024-04-20,12591,4747
2024-04-21,12463,4846
2024-04-22,13653,5394
2024-04-23,18000,4927
2024-04-24,16855,4748
2024-04-25,16171,4845
2024-04-26,14264,4812
2024-04-27,14866,4811
2024-04-28,13749,4770
2024-04-29,14899,5438
2024-04-30,14910,4768
2024-06-01,13006,4699
2024-06-02,13189,4767
2024-06-03,15917,5352
2024-06-04,14533,4771
2024-06-05,14708,4788
2024-06-06,15100,4782
2024-06-07,17850,4761
2024-06-08,15349,4746
2024-06-09,14653,4745
2024-06-10,15567,4836
2024-06-11,17330,5343
2024-06-12,17777,4791
2024-06-13,17027,4702
2024-06-14,17469,4768
2024-06-15,13445,4655
2024-06-16,15067,4757
2024-06-17,18635,2359
2024-06-18,22346,4876
2024-06-19,18135,4731
2024-06-20,17220,4750
2024-06-21,15977,4682
2024-06-22,14588,4694
2024-06-23,15054,4650
2024-06-24,19999,5399
2024-06-25,17650,4737
2024-06-26,17018,4761
2024-06-27,17280,4666
2024-06-28,15330,4621
2024-06-29,16893,4658
2024-06-30,17465,4793
2024-07-01,15822,4728
2024-07-02,17178,4761
2024-07-03,18151,4693
2024-07-04,22184,4784
2024-07-05,29980,4824
2024-07-06,17026,4736
2024-07-07,17651,4639
2024-07-08,19123,4661
2024-07-09,16276,4560
2024-07-10,17248,4610
2024-07-11,17913,4547
2024-07-12,15728,4617
2024-07-13,12381,4484
2024-07-14,13855,4584
2024-07-15,17602,4660
2024-07-16,19085,4658
2024-07-17,15389,4432
2024-07-18,18162,5212
2024-07-19,15295,4595
2024-07-20,15199,4587
,,
Average,16479.4426229508,4739.63934426229
