,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees,is_filled
2025-08-21,8202,4156,41771,514,4391,2433,864,740,59,101.9232956749999,False
2025-08-22,19341,6336,42000,632,8058,8013,2638,792,63,252.89092381249986,False
2025-08-23,8971,3922,42914,517,4395,3036,1023,794,62,112.11584596249992,False
2025-08-24,13191,4767,42925,535,5817,5181,1658,737,56,169.35342261249988,False
2025-08-25,14495,6201,42927,967,7064,4534,1930,851,62,192.08935728749987,False
2025-08-26,13610,4849,42931,745,5995,4970,1900,751,67,240.7589713249999,False
2025-08-27,10353,4521,43028,669,4988,3491,1205,782,64,143.9302199374999,False
2025-08-28,10064,4017,42986,686,4686,3484,1208,738,59,128.6057764499999,False
2025-08-29,11861,4677,42868,1156,5940,3337,1428,1205,64,172.1966727124999,False
2025-08-30,6334,3188,42992,515,3287,1823,709,722,59,83.88938753749993,False
2025-08-31,7500,3461,43100,887,3732,2084,797,771,74,96.10319021249992,False
2025-09-01,11803,4761,43008,557,5535,4182,1529,751,77,153.3801473124999,False
2025-09-02,14966,4600,43071,2108,7079,4266,1513,1784,62,178.49537244999982,False
2025-09-03,8890,4069,43058,629,4419,2816,1026,783,81,190.29671764999992,False
2025-09-04,7930,3896,42987,599,4244,2212,875,754,62,101.42629794999993,False
2025-09-05,8592,3507,42839,473,4152,2889,1078,710,53,113.85781773749993,False
2025-09-06,6367,3531,42922,419,3713,1564,671,733,63,85.16253773749993,False
2025-09-07,7259,3836,42944,847,3836,1858,718,705,57,98.06372151249991,False
2025-09-08,8813,3981,42748,636,4349,2829,999,785,63,112.9841904999999,False
2025-09-09,9807,4184,42755,587,4756,3233,1231,755,76,132.9281649374999,False
2025-09-10,11548,4831,42669,810,5473,3912,1353,804,80,146.8845490999999,False
2025-09-11,9634,4398,42235,595,4871,3048,1120,737,79,132.2974537249999,False
2025-09-12,8781,3994,42387,610,4271,2889,1011,774,60,119.90439371249991,False
2025-09-13,9648,4439,42476,776,4736,3014,1122,741,63,126.37503927499989,False
2025-09-14,8947,3858,42403,539,4413,2941,1054,729,59,124.59476398749992,False
2025-09-15,9020,4027,42432,563,4493,2904,1061,735,59,129.0463610576025,True
2025-09-16,8435,3638,42342,430,4142,2847,1016,689,59,101.55414732752375,True
2025-09-17,8690,3802,42461,534,4283,2893,981,712,57,133.51007692132686,True
2025-09-18,8753,3923,42402,554,4398,2764,1036,697,57,118.01488664189466,True
2025-09-19,9598,4253,42429,594,4771,3071,1162,729,61,144.2470635092272,True
