to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
System,0.0,43045,System,0,86707,System
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,11.69111000000036,6121,MyID_1,0,6153,MyID
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,91.34214685000053,6117,Omm Lending Pool,107167,0,Omm
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,68.43241775000048,5427,Omm Token,19320,4341,Omm
cx0000000000000000000000000000000000000000,172.87701499999596,4381,governance,1805,0,governance
cxae3034235540b924dfcc1b45836c293dcc82bfb7,27.334695500000564,3410,ICON USD Coin,18476,1970,Omm
cx2609b924e33ef00b648a409245c7ea394c467824,38.443736000000214,3132,balanced_sicx,13276,2381,Balanced
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,15.864341999999994,2380,balanced_bnUSD,8803,2098,Balanced
cxa0af3165c08318e988cb30993b3048335b94af6c,8.685218999999956,2371,balanced_dex,7973,0,Balanced
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,14.94739849999977,1657,MyID_2,1681,0,MyID
cx2ccc0c98ab5c2709cfc2c1512345baa99ea4106a,5.505208499999926,1445,Relay_2,0,0,Relay
hx037c73025819e490e9a01a7e954f9b46d89b0245,2.293165000000007,1437,MyID_related,0,0,MyID
cx087b4164a87fdfb7b714f3bafe9dfb050fd6b132,18.5921135,1365,Relay_1,0,9045,Relay
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,6.03252300000001,1318,balanced_baln,2633,544,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,2.451773749999998,1129,balanced_rewards,2250,0,Balanced
cxbb2871f468a3008f80b08fdde5b8b951583acf06,9.02009375,1019,Stably_USD,5859,256,Stably_USD
cx203d9cd2a669be67177e997b8948ce2c35caffae,24.690810250000006,861,balanced_dividends,11260,0,Balanced
cx369a5f4ce4f4648dfc96ba0c8229be0693b4eca2,1.6304897499999869,810,Metanyx,896,0,Metanyx
cx38fd2687b202caf4bd1bda55223578f39dbb6561,3.7898892500000056,648,"ICONbet
 Mini Roulette(new)",2383,1529,ICONbet
cxd47f7d943ad76a0403210501dab03d4daf1f6864,4.176415250000001,642,"ICONbet
 Blackjack",902,1622,ICONbet
cx5d6e1482434085f30660efe30573304d629270e5,3.5500542499999996,534,"ICONbet
 Baccarat",2164,1992,ICONbet
cxba62bb61baf8dd8b6a04633fe33806547785a00c,15.444976750000036,531,MyID_3,530,0,MyID
hx11de4e28be4845de3ea392fd8d758655bf766ca7,0.6024999999999927,482,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx66d4d90f5f113eba575bf793570135f9b10cece1,2.820952500000001,434,balanced_loans,1981,294,Balanced
cx334beb9a6cde3bf1df045869447488e0de31df4c,2.973273500000011,416,circle_arb_1,901,225,circle_arb
cx82c8c091b41413423579445032281bca5ac14fc0,3.0222707500000046,369,Craft,354,201,Craft
cx57d7acf8b5114b787ecdd99ca460c2272e4d9135,0.7106310000000027,359,NebulaPlanetToken,380,0,Nebula
hxc4193cda4a75526bf50896ec242d6713bb6b02a3,0.3849999999999973,308,binance_hot,0,0,binance
cx299d88908ab371d586c8dfe0ed42899a899e6e5b,2.9869477500000055,270,"ICONbet
 Levels",844,264,ICONbet
cxaf244cf3c7164fe6f996f398a9d99c4d4a85cf15,2.2540189999999987,270,balanced_airdrip,536,0,Balanced
cx43e2eec79eb76293c298f2b17aec06097be606e0,1.6233274999999998,226,balanced_staking,675,0,Balanced
cx9c4698411c6d9a780f605685153431dcda04609f,2.258311750000002,163,Auction,537,0,Craft
cx9fda786d3e7965ed9dc01321c85026653d6a5ff4,1.3517089999999983,157,"ICONbet
 Jungle Jackpot",746,579,ICONbet
cx015c7f8884d43519aa2bcf634140bd7328730cb6,0.51534575,151,Omm Staked Lp,601,0,Omm
cxb0b6f777fba13d62961ad8ce11be7ef6c4b2bcc6,0.9525355000000003,148,"ICONbet
 DAOdice(new)",669,447,ICONbet
hxfdb57e23c32f9273639d6dda45068d85ee43fe08,0.09375000000000006,75,upbit_hot2,0,0,upbit
cx9df59cf2c7dc7ae2dbdec4a10b295212595f2378,0.9728607500000005,58,circle_arb_2,409,102,circle_arb
hx4a01996877ac535a63e0107c926fb60f1d33c532,0.07125000000000004,57,upbit_hot3,0,0,upbit
hx562dc1e2c7897432c298115bc7fbcc3b9d5df294,0.06000000000000003,48,upbit_cold,0,0,upbit
cx4bfc45b11cf276bb58b3669076d99bc6b3e4e3b8,0.09518050000000003,45,NebulaTokenClaiming,52,0,Nebula
hx133323c2e990994816b548a9e7eb080a5eac8031,0.05375000000000003,43,unknown_hx,0,0,unknown_hx
hx8d28bc4d785d331eb4e577135701eb388e9a469d,0.04750000000000002,38,upbit_hot4,0,0,upbit
hx68646780e14ee9097085f7280ab137c3633b4b5f,0.04750000000000002,38,kraken_hot,0,0,kraken
hx294c5d0699615fc8d92abfe464a2601612d11bf7,0.04625000000000002,37,funnel_1,0,0,funnel_1
cx14002628a4599380f391f708843044bc93dce27d,3.6056407500000005,36,iAM Div,5571,5579,iAM 
hx74b33cc83bae7970c485edddb08303196f3b7f84,0.040000000000000015,32,unknown_hx,0,0,unknown_hx
cx03c76787861eec166b25e744e52a82af963670eb,0.14603849999999996,30,"ICONbet
 Plinko",90,25,ICONbet
cx943cf4a4e4e281d82b15ae0564bbdcbf8114b3ec,0.06105874999999999,30,NebulaSpaceshipToken,43,0,Nebula
hxf2b4e7eab4f14f49e5dce378c2a0389c379ac628,0.03625000000000001,29,upbit_hot5,0,0,upbit
cx0eb215b6303142e37c0c9123abd1377feb423f0e,0.9957920000000005,29,unknown_cx,72,43,Bridge
hxa390d24fdcba68515b492ffc553192802706a121,0.03500000000000001,28,bitvavo_hot,0,0,bitvavo
hx6332c8a8ce376a5fc7f976d1bc4805a5d8bf1310,0.03375000000000001,27,upbit_hot1,0,0,upbit
cxcaef4255ec5cb784594655fa5ff62ce09a4f8dfa,0.14297175,27,peek_3,27,0,peek
cxc0b5b52c9f8b4251a47e91dda3bd61e5512cd782,0.09717000000000002,25,TapToken,131,0,ICONbet
hx26c940591bb0b7392f54eaaef12f96a2a0ddb56f,0.03125000000000001,25,unknown_hx,0,0,unknown_hx
cxcc711062b732ed14954008da8a5b5193b4d48618,0.04127999999999999,24,peek_1,0,0,peek
cx9f4ab72f854d3ccdc59aa6f2c3e2215dd62e879f,0.0671985,24,CPS_Score,23,0,CPS_Score
cxa89982990826b66d86ef31275e93275dfddabfde,0.04127999999999999,24,peek_2,0,0,peek
hxd9fb974459fe46eb9d5a7c438f17ae6e75c0f2d1,0.026250000000000006,21,huobi,0,0,huobi
hx3881f2ba4e3265a11cf61dd68a571083c7c7e6a5,0.026250000000000006,21,coinex,0,0,coinex
cxa82aa03dae9ca03e3537a8a1e2f045bcae86fd3f,0.6055690000000001,21,unknown_cx,8,34,Bridge
hx150af8a59375f3ce875b44275eb8049eb5b3de9e,0.023750000000000004,19,unknown_hx,0,0,unknown_hx
cx841f29ec6ce98b527d49a275e87d427627f1afe5,0.19973050000000003,19,Omm Delegation,0,0,Omm
cx334db6519871cb2bfd154cec0905ced4ea142de1,0.04741600000000001,18,unknown_cx,0,0,unknown_cx
hx85532472e789802a943bd34a8aeb86668bc23265,0.02125,17,unkEx_c1,0,0,unkEx_c
hxe5327aade005b19cb18bc993513c5cfcacd159e9,0.01875,15,unkEx_d1,0,0,unkEx_d
hx8e7185061e1578659e245e1ed8c2b7526d7ff205,0.01875,15,unknown_hx,0,0,unknown_hx
hxb0570b66436d7dc90eec6999158662a0610a86ed,0.01875,15,unknown_hx,0,0,unknown_hx
hxc2b9f7cc10968c09de868b010d27661acc5eae4b,0.01875,15,unknown_hx,0,0,unknown_hx
hxa527f96d8b988a31083167f368105fc0f2ab1143,0.01875,15,binance_us,0,0,binance
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,0.017499999999999998,14,bithumb_3,0,0,bithumb
hxfcd94d14f47b8fea18baabbb07baaa6f9a1320b6,0.016249999999999997,13,unknown_hx,0,0,unknown_hx
hxa0fea349f2fbe242356023d05c0ff5409f4eb372,0.014999999999999998,12,unknown_hx,0,0,unknown_hx
hx387f3016ee2e5fb95f2feb5ba36b0578d5a4b8cf,0.013749999999999998,11,"binance
sweeper_21",0,0,binance
hx415f0389442f425e875d0d88997cbbedaf9a1ca1,0.013749999999999998,11,unknown_hx,0,0,unknown_hx
cx0cf826b9756e5a69f1f83a7717a2f2d815694031,0.053184999999999996,10,uTAP,90,0,UP
cx426ecb585ad976efd1caf41cff89eb7c45acd135,0.16680175,10,Challenge,5,5,Challenge
hx475eea3921a868c5d108599f4c77d06a5ab21eae,0.01125,9,unknown_hx,0,0,unknown_hx
hx8c181f0cb9450bb56956b4eb0e60101ccaf62752,0.01125,9,unknown_hx,0,0,unknown_hx
hx8af94ba1a29054419997cf74f8b4070df13853e1,0.01125,9,unknown_hx,0,0,unknown_hx
hx197f1280c480a060183cccdf19d9d27c1a0344b6,0.01125,9,unknown_hx,0,0,unknown_hx
hx4ef6d5ef2c15948fd58f1a2f59dd4c8b1209a555,0.01125,9,unknown_hx,0,0,unknown_hx
hx7d0c653b881a799c7dd59c36e121d17db9950d92,0.01,8,unknown_hx,0,0,unknown_hx
hx58b2592941f61f97c7a8bed9f84c543f12099239,0.01,8,"binance
sweeper_02",0,0,binance
hx51eb34f8f1b337e4cf59a4d1ed3d89985c0215ba,0.00875,7,unknown_hx,0,0,unknown_hx
hx9ca7a02ea97aafc4d85ef3f691714946372c87d8,0.00875,7,unknown_hx,0,0,unknown_hx
hxb2598e5cd5f983706ff24b75f9b9cb831e3b6cc4,0.00875,7,unknown_hx,0,0,unknown_hx
hxa68ed3579ed4cc16971fdb055162fffd04f541cb,0.00875,7,unknown_hx,0,0,unknown_hx
hx2f5230ef71564754724fd032c2ab7ac268f76762,0.00875,7,unknown_hx,0,0,unknown_hx
hx663ff2514ece0de8c3ecd76f003a9682fdc1fb00,0.00875,7,"binance
sweeper_13",0,0,binance
hx63853fbea8363397576e8c4a151a395c830c4582,0.00875,7,unknown_hx,0,0,unknown_hx
hxc258afe617ba91fa35572cea327c656b8d5faf45,0.00875,7,unknown_hx,0,0,unknown_hx
hx548ad28ef8d6caed7f27f6001fb7a654ad8cca40,0.00875,7,unknown_hx,0,0,unknown_hx
hx8a50805989ceddee4341016722290f13e471281e,0.00875,7,"binance
sweeper_01",0,0,binance
hx27355179a0a3ed4f19dfb9b1ca0618111af8cc02,0.00875,7,unknown_hx,0,0,unknown_hx
cx1c06cf597921e343dfca2883f699265fbec4d578,0.03910475,7,"ICONbet
 Lottery(new)",23,10,ICONbet
hx9e34e14e2f4b6817db28fc294585b895656e3af8,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
