to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,302156,0.0,System,21,302163,System
cx0000000000000000000000000000000000000000,17715,127.74691134999942,governance,7069,0,governance
cxd47f7d943ad76a0403210501dab03d4daf1f6864,14025,137.62585937499958,"ICONbet
 Blackjack",19479,36873,ICONbet
cxc2f3ea1c84cac895b3ab05681705d472002bfb1f,13916,35.10795337499969,unknown_cx,1,0,unknown_cx
cx369a5f4ce4f4648dfc96ba0c8229be0693b4eca2,5469,18.901672137499933,Metanyx,6082,5,Metanyx
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,5159,10.5969084375,MyID_1,0,5159,MyID
hx92b7608c53825241069a280982c4d92e1b228c84,5040,8.013599999999496,MyID_related_2,0,0,MyID
hx11de4e28be4845de3ea392fd8d758655bf766ca7,3360,4.2,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,3321,72.95540763749987,FRAMD Token,6251,977,FRAMD Token
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,2246,21.108068374999977,MyID_2,2246,0,MyID
cx087b4164a87fdfb7b714f3bafe9dfb050fd6b132,2117,14.725942999999937,Relay_1,0,4129,Relay
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,2026,292.2481344374999,bnUSD,14474,281,bnUSD
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,1531,283.59944208749994,omm_lending,53033,0,Omm
cx5d6e1482434085f30660efe30573304d629270e5,1523,17.056585999999957,"ICONbet
 Baccarat",5886,5724,ICONbet
cx203d9cd2a669be67177e997b8948ce2c35caffae,1258,261.54145524999996,balanced_dividends,8305,0,Balanced
cx57d7acf8b5114b787ecdd99ca460c2272e4d9135,1156,4.155478687499966,NebulaPlanetToken,1253,0,Nebula
cx2609b924e33ef00b648a409245c7ea394c467824,1156,118.43665384999996,balanced_sicx,6446,92,Balanced
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,1142,133.19972844999998,omm_token,6910,635,Omm
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,941,6.577327424999978,NebulaMultiToken,982,0,Nebula
cx2dc662031f3d62bcdba4f63e9bf827767c847565,940,14.013580437499968,GangstaBet Skill,6187,6515,GangstaBet
cxaa99a164586883eed0322d62a31946dfa9491fa6,932,88.82127658749997,optimus_rewards,3627,14,Optimus
cxa0af3165c08318e988cb30993b3048335b94af6c,826,41.655641637499976,optimus_baln,2500,0,Optimus
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,805,61.153164249999975,balanced_baln,3550,180,Balanced
