to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,301808,0.0,System,89,301815,System
cx0000000000000000000000000000000000000000,11416,85.76989537499962,governance,4426,0,governance
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,4667,21.678110212499988,Blobble Stake Token,4860,10,Blobble
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,4103,16.717990024999988,unknown_cx,0,0,Blobble
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,3267,48.37590793749989,FRAMD Token,3504,90,FRAMD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,2165,8.70893675,Relay_4,0,0,Relay
cxb6be11a27f21ad82c7475aa215e3635fafd7f186,1768,14.132613062499944,unknown_cx,4337,0,unknown_cx
cxe5c2c460364acc5f8c1d5ca925930043d8d9c9dd,1262,5.137580162499973,GangstaBet Crown,872,0,GangstaBet
cx5a0af85407c69945eb318d4ac18e9e842184163c,564,28.902626387499986,GangWar Simulation,1665,422,GangstaBet
hxb568381d35d3e7a6383200e8a0d30310af20b929,562,0.7025,Swyftx,0,0,Swyftx
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,441,84.6415676625,bnUSD,3458,189,bnUSD
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,436,18.821652737499992,CROWN,1745,77,GangstaBet
cxba62bb61baf8dd8b6a04633fe33806547785a00c,368,11.175479999999999,MyID_3,368,0,MyID
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,347,3.2688595624999772,MyID_2,347,0,MyID
cx14002628a4599380f391f708843044bc93dce27d,329,159.8166543125,iAM Div,30590,30611,iAM 
cx2609b924e33ef00b648a409245c7ea394c467824,292,44.23740869999999,balanced_sicx,1629,87,Balanced
cx66d4d90f5f113eba575bf793570135f9b10cece1,251,20.53882186249999,balanced_loans,704,235,Balanced
hx68646780e14ee9097085f7280ab137c3633b4b5f,171,0.21375,kraken_hot,0,0,kraken
cxa0af3165c08318e988cb30993b3048335b94af6c,148,6.468449162499995,balanced_dex,461,39,Balanced
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,148,36.640321887499994,Balanced Router,1711,38,Balanced
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,134,2.193834562499997,GangstaVerse LootBox,652,0,GangstaBet
cx2dc662031f3d62bcdba4f63e9bf827767c847565,128,9.163557849999997,SkillScore,1148,1170,SkillScore
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,116,22.4770012875,CraftRewards,865,20,Craft
cxaa99a164586883eed0322d62a31946dfa9491fa6,115,24.342868149999997,optimus_rewards,352,14,Optimus
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,109,5.510671499999996,balanced_rewards,202,135,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,104,23.964810199999995,balanced_baln,684,121,Balanced
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,98,0.1225,kucoin,0,0,kucoin
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,98,0.5824244124999968,NebulaMultiToken,113,0,Nebula
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,95,24.124484012499998,Inanis Treasury,265,27,Inanis
cx9c4698411c6d9a780f605685153431dcda04609f,92,0.8332612374999985,Auction,245,1,Craft
cxe65f3286902be43e00a5013cb1dc300ec8e51fa4,90,32.085376825,unknown_cx,1397,18,unknown_cx
cx28497aef34ec44ad2be9249daddfbe34b54f309a,89,1.4162153499999983,Balanced Bribe,88,0,Balanced
hx0e7ce4398a56e5bc7ad49e787556786f00c8ed64,88,0.11,unknown_hx,0,0,unknown_hx
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,86,21.131736962499996,omm_lending,1583,0,Omm
hx6b91c8dea3114de74ecfa85908b875778c2b599c,75,0.09375,bybit,0,0,bybit
cx7b1843b7ef5368a080ccf59c0a9d1bdec474f9f6,69,5.680736099999998,optimus_dividends,701,0,Optimus
hxa390d24fdcba68515b492ffc553192802706a121,68,0.085,bitvavo_hot,0,0,bitvavo
hx0cdf40498ef03e6a48329836c604aa4cea48c454,68,0.085,bithumb_02,0,0,bithumb
cx203d9cd2a669be67177e997b8948ce2c35caffae,64,13.906053924999998,balanced_dividends,866,29,Balanced
cx2e6d0fc0eca04965d06038c8406093337f085fcf,61,12.156561249999998,Craft,461,30,Craft
cxfe94530ee0d159db3e5b7dcffbcd0dfb360075c0,57,5.773787612499999,Liquid Finance Staked ARCH,370,17,Liquid Finance Staked ARCH
hx05a1d1c125186389be9fd5d31d6ad6c5ef418898,57,0.07125000000000001,unknown_hx,0,0,unknown_hx
cx622bbab73698f37dbef53955fd3decffeb0b0c16,56,10.158102324999998,ICON IBC Handler,22,84,ICON IBC Handler
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,54,14.940414124999998,omm_token,488,65,Omm
hx85532472e789802a943bd34a8aeb86668bc23265,54,0.0675,okx.com_01,0,0,okx.com_01
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,53,11.642311437499998,gangstabet_token,556,47,GangstaBet
hx025bd49bf305be7322a3c0906a4e1334f33a858b,50,0.0625,unknown_hx,0,0,unknown_hx
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,45,6.685901737499999,Yetis,717,715,FRAMD
cx334db6519871cb2bfd154cec0905ced4ea142de1,44,0.1640794374999989,unknown_cx,0,0,unknown_cx
