to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,300464,System,17,300471,System
cx0000000000000000000000000000000000000000,31.629132062499725,8722,governance,5993,0,governance
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,625.6287090499997,6663,bnUSD,37481,768,bnUSD
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,17.647046599999808,4314,Blobble,0,0,Blobble
cxee7a00755a757e3c519a0616456030e33dc9d47f,2621.0985469875,4001,BTP_2,0,4125,BTP
cx66d4d90f5f113eba575bf793570135f9b10cece1,189.85728944999985,3567,balanced_loans,4209,1781,Balanced
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,24.281419799999924,3220,FRAMD Token,880,0,FRAMD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,14.063394774999994,2980,Relay_4,0,0,Relay
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,11.812142824999937,2687,Blobble Stake Token,2786,3,Blobble
cx02da5d1c7f21d9d13534b326fa9a5b7234838221,91.90653387499994,2016,ICON Pyth verifier,0,0,ICON Pyth verifier
cx2609b924e33ef00b648a409245c7ea394c467824,197.07508836249997,1823,sICX,8773,451,sICX
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,80.78102213749995,1393,Injective,5745,29,Injective
cxa0af3165c08318e988cb30993b3048335b94af6c,50.92781601249998,1339,balanced_dex,1970,2582,Balanced
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,262.78776124999996,1277,balanced_router,14684,1127,Balanced
cx288d13e1b63563459a2ac6179f237711f6851cb5,64.80934604999996,1127,Ethereum,4647,33,Ethereum
cx66a031cc3bd305c76371fb586e93801b948254f0,64.64670764999995,1055,Avalanche,4647,24,Avalanche
cxa07f426062a1384bdd762afa6a87d123fbc81c75,72.16725288749998,1011,xCall,6461,6330,xCall
cxdada6921d08fbf37c6f228816852e58b219cc589,6.88943353749999,837,unknown_cx,0,461,unknown_cx
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,28.177549774999967,825,Balanced Savings,1348,2,Balanced
cx508002ec116fbf3ab406329c0df28e70d7e75fb3,33.48329037499999,679,Sui,2863,21,Sui
cx65c9e3d4fea842e00add0d32a5b4c5e4e04c7a6b,31.07158796249999,675,Solana,2620,39,Solana
cx5a0af85407c69945eb318d4ac18e9e842184163c,32.676339224999985,549,GangWar Simulation,1439,438,GangstaBet
cx441f6ff1c4cc799d527a99b90c9538bd1178d37b,3.9361202374999964,466,unknown_cx,0,271,unknown_cx
cxba62bb61baf8dd8b6a04633fe33806547785a00c,13.267746624999997,408,MyID_3,407,0,MyID
cx91a5817cf6e7adbcbcee9e8815c63f83d9a98afc,2.7975218124999754,372,unknown_cx,0,105,unknown_cx
cx69bcdf1753472c1444188ec3f5188657e30c8322,1.0421885624999998,325,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
hxb568381d35d3e7a6383200e8a0d30310af20b929,0.3925,314,binance_hot,0,0,binance
cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,15.454531449999996,237,Bitcoin,1186,35,Bitcoin
cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,14.066257062499995,231,Binance Coin,1054,2,binance
cx518f64edcd35db9044a2de63fdc10abfd5f7d611,36.70000263749999,185,Stellar,2127,52,Stellar
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,1.6502580624999916,175,MyID_2,175,0,MyID
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,4.873208537499997,171,Balanced Asset Manager,704,348,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,25.553931874999996,168,balanced_baln,1047,66,Balanced
