to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,302011,System,14,302018,System
cx0000000000000000000000000000000000000000,44.151759199999695,9288,governance,6374,0,governance
cxee7a00755a757e3c519a0616456030e33dc9d47f,2622.855876575,5519,BTP_2,0,5697,BTP
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,20.263289074999896,4857,Blobble Stake Token,4949,1,Blobble
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,17.307547524999798,4233,Blobble,0,0,Blobble
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,39.37128256249992,4060,FRAMD Token,4479,65,FRAMD
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,195.4681141749999,2509,bnUSD,14215,322,bnUSD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,12.296081037499999,2392,Relay_4,0,0,Relay
cxe5c2c460364acc5f8c1d5ca925930043d8d9c9dd,4.749558762499991,1018,GangstaBet Crown,1032,0,GangstaBet
cxa0af3165c08318e988cb30993b3048335b94af6c,30.830643724999963,937,balanced_dex,2255,387,Balanced
cx2609b924e33ef00b648a409245c7ea394c467824,59.96675982499998,677,sICX,3726,140,sICX
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,25.314568362499998,536,Injective,2168,26,Injective
cxa07f426062a1384bdd762afa6a87d123fbc81c75,21.223351962499986,524,xCall,1555,1474,xCall
cx66a031cc3bd305c76371fb586e93801b948254f0,27.306297949999976,520,Avalanche,2381,35,Avalanche
cx5a0af85407c69945eb318d4ac18e9e842184163c,29.335473299999983,481,GangWar Simulation,1520,354,GangstaBet
cx66d4d90f5f113eba575bf793570135f9b10cece1,41.66676221249998,461,balanced_loans,1371,926,Balanced
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,73.61198982499998,456,balanced_router,5058,273,Balanced
cx288d13e1b63563459a2ac6179f237711f6851cb5,17.781226949999983,418,Ethereum,1330,99,Ethereum
cx14002628a4599380f391f708843044bc93dce27d,157.1435061625,322,iAM Div,29456,29477,iAM 
cxba62bb61baf8dd8b6a04633fe33806547785a00c,9.234571187499999,305,MyID_3,296,0,MyID
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,1.8398810624999917,195,MyID_2,195,0,MyID
cxdada6921d08fbf37c6f228816852e58b219cc589,1.142028787499995,189,unknown_cx,0,63,unknown_cx
cx91a5817cf6e7adbcbcee9e8815c63f83d9a98afc,1.1431374499999962,183,unknown_cx,0,126,unknown_cx
cx622bbab73698f37dbef53955fd3decffeb0b0c16,29.518189662499996,176,ICON IBC Handler,28,257,ICON IBC Handler
hxb568381d35d3e7a6383200e8a0d30310af20b929,0.19875,159,binance_hot,0,0,binance
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,8.563405362499998,147,Balanced Savings,425,8,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,16.354214587499996,134,balanced_baln,920,152,Balanced
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,2.129371362499996,119,GangstaVerse LootBox,595,0,GangstaBet
cx917f88460d4ebec1fd656d4dbe51131a37d16837,0.7702668374999974,118,unknown_cx,0,79,unknown_cx
cx59d899fce52cadd1feb5128ff5e6672f03943eec,0.7403274624999968,118,unknown_cx,0,37,unknown_cx
cx44250a12074799e26fdeee75648ae47e2cc84219,2.7377523249999984,109,balanced_governance,3,2,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,5.5510139749999965,106,balanced_rewards,205,139,Balanced
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,19.6967689,105,Inanis Treasury,14,0,Inanis
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,7.829347587499997,93,CROWN,843,30,GangstaBet
cx5b5a03cb525a1845d0af3a872d525b18a810acb0,7.300680312499996,82,btp-0x38.bsc-BTCB,625,19,BTP
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,2.2650539874999986,78,Balanced Asset Manager,307,144,Balanced
cx2dc662031f3d62bcdba4f63e9bf827767c847565,5.821410899999998,74,SkillScore,724,740,SkillScore
cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,2.8664823999999975,68,Binance Coin,248,4,binance
cx203d9cd2a669be67177e997b8948ce2c35caffae,12.232314012499998,60,balanced_dividends,783,20,Balanced
cx28497aef34ec44ad2be9249daddfbe34b54f309a,0.8362132499999978,59,Balanced Bribe,59,0,Balanced
hx85532472e789802a943bd34a8aeb86668bc23265,0.06875,55,okx.com_01,0,0,okx.com_01
cx334db6519871cb2bfd154cec0905ced4ea142de1,0.194270249999998,55,unknown_cx,0,0,unknown_cx
cx2e6d0fc0eca04965d06038c8406093337f085fcf,6.623290862499999,52,Craft,472,26,Craft
cx9f4ab72f854d3ccdc59aa6f2c3e2215dd62e879f,4.219545274999999,50,CPS Score,66,8,CPS Score
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,13.381060812499998,49,CraftRewards,265,3,Craft
hx6820a240b4a92eb501c76ce303572407a3028fdf,0.055,44,upbit_hot_04,0,0,upbit
cxaa99a164586883eed0322d62a31946dfa9491fa6,1.1872283124999983,42,optimus_rewards,91,14,Optimus
hx528b8367fd6eb4f91c40b9ebb124ca0eea153117,0.04625,37,unknown_hx,0,0,unknown_hx
hx1b3e781a1c802c238e30e90aa1a6cee94f9bacbc,0.043750000000000004,35,unknown_hx,0,0,unknown_hx
hx6b91c8dea3114de74ecfa85908b875778c2b599c,0.043750000000000004,35,bybit,0,0,bybit
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,0.04,32,kucoin,0,0,kucoin
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,4.847023687499999,31,gangstabet_token,402,30,GangstaBet
hx68646780e14ee9097085f7280ab137c3633b4b5f,0.0375,30,kraken_hot,0,0,kraken
cx8dc674ce709c518bf1a6058a2722a59f94b6fb7f,1.2570149374999988,30,balanced_staked_lp,60,30,Balanced
cxc83f6eaf7e123f656657ebac3b09bc7a38e32314,2.490011137499999,28,Code Metal Rewards Distribution,672,0,Code Metal Rewards Distribution
hxa390d24fdcba68515b492ffc553192802706a121,0.0325,26,bitvavo_hot,0,0,bitvavo
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,0.03,24,bithumb_03,0,0,bithumb
cxe7c05b43b3832c04735e7f109409ebcb9c19e664,1.847885024999999,24,iAM ,122,10,iAM 
hx97347e18238192e5066466a0a8865f1892c6be35,0.03,24,upbit_hot_01,0,0,upbit
cx9c4698411c6d9a780f605685153431dcda04609f,0.4732473874999988,23,Auction,155,2,Craft
hx133323c2e990994816b548a9e7eb080a5eac8031,0.0275,22,unknown_hx,0,0,unknown_hx
cx22319ac7f412f53eabe3c9827acf5e27e9c6a95f,0.7686691624999998,22,USDC,66,0,USDC
hxb611b26f8ef4c8d515de4d23f62316eb1ad842b9,0.0275,22,unknown_hx,0,0,unknown_hx
cx13b52d9f24db8d64d93a31926e3c69d44fbe8f9a,2.3070281874999994,20,Claw,150,9,Claw
cx785d504f44b5d2c8dac04c5a1ecd75f18ee57d16,0.9506861749999997,19,Finance Token,95,0,Optimus
hx97257d527d383aff1ad67b69866ca0647cec29f6,0.02375,19,unknown_hx,0,0,unknown_hx
cx841f29ec6ce98b527d49a275e87d427627f1afe5,3.9232930499999994,19,OMM Delegation,42,6,Omm
hx1adc2b41608d81704d775ff143f43ab6efe0d792,0.0225,18,unknown_hx,0,0,unknown_hx
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,4.69201645,18,Yetis,485,467,FRAMD
cx43e2eec79eb76293c298f2b17aec06097be606e0,0.2585142749999999,18,balanced_staking,54,0,Balanced
hxaa473ec1866d378db9fda76d3cd1d9de9ae6d406,0.0225,18,upbit_hot_02,0,0,upbit
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,4.11769245,17,omm_token,264,9,Omm
hx6e93703ed9feac776822902a044a83b357f74291,0.02125,17,unknown_hx,0,0,unknown_hx
