to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,297259,0.0,System,11,297265,System
cx0000000000000000000000000000000000000000,7403,12.976272499999766,governance,5084,0,governance
cxb2f67b60ef68f8f239d247e1f23412c0685d4b9b,4549,30.12939863749988,unknown_cx,0,1862,unknown_cx
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,3909,408.02858194999993,bnUSD,23559,579,bnUSD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,2519,12.743882687499992,Relay_4,0,0,Relay
cx02da5d1c7f21d9d13534b326fa9a5b7234838221,2013,105.69271994999993,ICON Pyth verifier,0,0,ICON Pyth verifier
cx66d4d90f5f113eba575bf793570135f9b10cece1,1566,62.948743237499976,balanced_loans,1726,739,Balanced
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,1293,7.7823406624999905,Blobble Stake Token,1463,4,Blobble
cx2609b924e33ef00b648a409245c7ea394c467824,772,76.07474646249997,sICX,4172,174,sICX
cx508002ec116fbf3ab406329c0df28e70d7e75fb3,571,37.851902637499975,Sui,3314,25,Sui
cx66a031cc3bd305c76371fb586e93801b948254f0,563,43.71495868749999,Avalanche,3362,40,Avalanche
cx5a0af85407c69945eb318d4ac18e9e842184163c,473,26.463256224999984,GangWar Simulation,1293,342,GangstaBet
cx288d13e1b63563459a2ac6179f237711f6851cb5,466,33.53376632499999,Ethereum,2508,42,Ethereum
cx4297f4b63262507623b6ad575d0d8dd2db980e4e,463,33.352502162499995,Injective,2464,24,Injective
cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,386,25.191798512499993,Bitcoin,1856,27,Bitcoin
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,340,17.056761174999995,Balanced Savings,758,9,Balanced
cx3975b43d260fb8ec802cef6e60c2f4d07486f11d,339,24.29867777499999,Wrapped ICX,2031,200,Wrapped ICX
cxa07f426062a1384bdd762afa6a87d123fbc81c75,325,18.953000512499994,xCall,1205,1223,xCall
cxdbfb9d63e84e6ad6ab301a2f2ef6b6e6e9227cbe,321,4.7092886999999894,unknown_cx,0,320,unknown_cx
cxa0af3165c08318e988cb30993b3048335b94af6c,289,12.182900024999993,balanced_dex,431,601,Balanced
cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,267,21.330479274999995,Binance Coin,1645,11,binance
cx1be33c283c7dc7617181d1b21a6a2309e71b1ee7,250,4.723874124999996,unknown_cx,486,0,unknown_cx
cxba62bb61baf8dd8b6a04633fe33806547785a00c,243,7.6134914375,MyID_3,243,0,MyID
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,222,38.0095773375,balanced_router,2145,95,Balanced
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,169,3.864617124999996,Balanced Asset Manager,676,171,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,156,15.853377574999996,balanced_rewards,679,184,Balanced
hxb568381d35d3e7a6383200e8a0d30310af20b929,125,0.15625,binance_hot,0,0,binance
cx69bcdf1753472c1444188ec3f5188657e30c8322,116,0.2742909374999911,"broof - we prove, verify and love you.",0,0,"broof - we prove, verify and love you."
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,98,13.850884649999998,balanced_baln,823,71,Balanced
