IRC Token,Amount,No. of Transactions
BALN,591896.7226509354,3789
sICX,6000362.975583845,3233
bnUSD,1811005.0889803595,2063
PGT,3000.695025538509,2026
USDS,6190285.45724536,1024
METX,373087.2588272177,841
IUSDC,6759855.840562,589
oICX,1960820.2164527534,578
oUSDS,2054237.524736789,459
dUSDS,1867284.9537042682,424
dIUSDC,883084.1242920001,156
oIUSDC,2267019.087426,148
UP,51.8616784664206,86
TAP,753574.0080740042,73
SEED,154.567074,45
ACT,2720.0,29
LDX,1900.0,15
OMM,1700000.0,12
ICXIOU,8111.812468,8
IAM,4880.7031,5
EPX,3.9000000000000004,3
uMETX,480.9893919784871,3
uTAP,97.44363624374566,2
