IRC Token,Amount,No. of Transactions
OMM,3494362.476143054,10618
sICX,10525012.418623911,7880
IUSDC,3629184.966894,7840
bnUSD,10038020.003366016,7123
IWIN,444777.1385,4131
BALN,801874.0138054865,3947
USDS,6671941.05874665,3295
oIUSDC,830057.123819,2629
CFT,1468947.362070873,1174
METX,362274.59407957544,823
PGT,3000.0,692
oUSDS,2063867.9778834733,452
oICX,1984544.2156429505,432
dUSDS,1796085.299864728,241
dIUSDC,358180.390911,227
UP,1.8894646165424047,76
TAP,581667.170653465,49
SEED,347.738786,39
LDX,1517.0,37
HGC,44000.0,5
ICXIOU,6250.0,1
ACT,100.0,1
