IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,709254.2569049259,2038.0,1.0356022482507394,734505.3030321489
sICX,2044821.1448202785,1992.0,0.38861954874806715,794657.4705705626
GBET,824067.1776631464,1364.0,0.04622057928258039,38088.86231935171
BALN,417915.6480944818,958.0,0.29772992765897,124425.99567472162
METX,1105855.3193953857,842.0,0.000255132940019777,282.1401188738543
OMM,1362276.9427511848,648.0,0.03139250082968309,42765.28005557471
FIN,33455.424701072385,427.0,0.563595832873008,18855.337948521093
CFT,3586171.107412508,319.0,0.017801630704259882,63839.69369644417
IUSDC,130532.77321700001,218.0,1.0376835727216978,135451.71446908772
USDS,21410.207536116697,206.0,1.0069942978626238,21559.95690492489
finOMM,3386.419540291926,105.0,0.563595832873008,1908.5719412682568
oICX,304790.3265822108,85.0,0.38861954874806715,118447.47917915476
obnUSD,48462.21151435975,37.0,1.0356022482507394,50187.575199473824
oOMM,15697.710000000001,27.0,0.03139250082968309,492.7903741991246
oIUSDC,38749.827672,21.0,1.0376835727216978,40210.05962103107
dIUSDC,5398.824874,20.0,1.0376835727216978,5602.271883751089
IUSDT,408.317106,16.0,1.024699718553579,418.40242359881194
finICX,44572.41599821209,15.0,0.563595832873008,25120.827917674527
dbnUSD,3883.8746592953657,11.0,1.0356022482507394,4022.1493290903554
oUSDS,1825.583670879708,8.0,1.0069942978626238,1838.352346846983
dUSDS,1110.5405432207726,6.0,1.0069942978626238,1118.3079945685788
UP,0.640406742713218,6.0,1.047753029286775,0.6709881046534504
oBALN,7.56006730785168,4.0,0.29772992765897,2.250858292663625
IDOGE,17058122.52614543,3.0,,
CHIU,800600.0,3.0,,
finOICX,274.711516808055,2.0,0.563595832873008,154.8262661152431
dBALN,1690.715727343602,2.0,0.29772992765897,503.3766711938935
ICX,,,0.352667595,
