IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,364291.3607388639,1374.0,1.0238285523992638,372971.89651682903
FRMD,34240.82181652422,1282.0,0.019914802072357077,681.899189270926
sICX,1125483.1911007653,1195.0,0.2615400589312524,294358.9401266281
GBET,117921.46657410066,494.0,0.004341550842253985,511.96204252461183
BALN,238613.93181505986,339.0,0.15177509065337108,36215.65113238802
$unknown,8847.55448588411,181.0,,
CODE,594273.3234346259,145.0,,
CROWN,360717.07989510783,116.0,,
CFT,1527516.1467897464,112.0,0.004780250401420615,7301.9096738681565
FIN,10530.610453267209,97.0,0.08076379245235829,850.4920370443075
IUSDC,8901.77603,97.0,1.020334536917776,9082.78952331581
USDS,1619.8712405910996,69.0,1.0093267581421896,1634.9793878735816
OMM,621786.0586447534,68.0,0.007169635071654376,4457.979133125168
METX,11473963.082187118,45.0,6.0685514147441e-05,696.303348951282
BTCB,0.16978656006656795,44.0,,
NPT,433.875,37.0,,
ETH,1.029260159574499,33.0,471.433959624544,485.2281925119961
BUSD,141251.0277,18.0,1.0238285523992638,144616.83521499933
UP,2.9065480571490485,18.0,0.6686281130187791,1.943399742849967
XCROWN,24172.159306584574,15.0,,
VOID,2403.394508096787,8.0,,
IAM,715.8451665839447,7.0,0.017347221776880695,12.417924862639794
CLAW,140000.0,2.0,,
IETH,0.113886,2.0,471.433959624544,53.68972792580082
TAP,8000.0,1.0,0.0007886905059411267,6.309524047529013
finMICX,69.01813196097366,1.0,0.2615400589312524,18.051006300398004
ICX,,,0.225063915,
