IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,10064.0,1941703.0136928083,140010.88509362633,800.0,1.0109404071476324,141542.661181651
BST,457.0,87.93580159648347,229.3741098010205,725.0,1.2124971543825425,278.1154554227662
FRMD,989.0,18334.488012268357,27518.463241821646,657.0,0.010938753326257865,301.0176813199813
sICX,12233.0,1689672.1532650539,255628.24410136434,439.0,0.28121948043343814,71887.64199029778
$unknown,,,85104.50458750306,109.0,,
CODE,258.0,0.9325942590117765,555554.0,97.0,5.358067491410952e-06,2.97669582712332
CFT,19458.0,36506.68954365007,248490.2020858401,82.0,0.002497819714044719,620.6837255169676
BALN,16566.0,506092.4858488317,28922.545014987212,75.0,0.21124391326656844,6109.71159059438
CROWN,1294.0,5802.061554692037,8225.127139943943,48.0,0.0015478729066305543,12.73145145351089
INJ,18.0,112677.2746554862,315.22810634654377,45.0,23.391705489024197,7373.723025521152
GBET,2923.0,3813.506996477959,26801.743507337564,37.0,0.0012477873665311244,33.442876949463404
ETH,171.0,78963.24355100891,1.3265381272937091,36.0,3098.5983433570455,4110.4088436322445
FIN,2279.0,4423.251164295874,452.81015912999237,25.0,0.015671020305046825,7.095997198057595
BTCB,165.0,6895.9735419192075,0.02346778938515434,22.0,69084.46098247058,1621.2595801235323
USDS,5459.0,1539.0491843945954,76.84264302097382,18.0,0.13649794632301046,10.488862962395139
AVAX,35.0,181318.10081078816,636.7049531718961,17.0,34.69834523462094,22092.60827775161
BNB,26.0,109780.45624350042,6.715774365630457,15.0,582.2399871126693,3910.192380096272
OMM,13921.0,15026.780416937308,50558.10505879821,12.0,0.0038240824402096447,193.33836176562465
IUSDC,5615.0,22763.74002757795,44.232748,10.0,0.6250543380532273,27.647871021415213
sARCH,137.0,42771.03778990768,119.82144114970114,9.0,0.12486650708736617,14.961684830537587
archUSDC,42.0,11.250521672940408,21077.44,5.0,1.0325169311311937,21762.813664901867
oIUSDC,5615.0,22763.74002757795,1.11128,4.0,0.6250543380532273,0.6946103847917905
oUSDS,5459.0,1539.0491843945954,0.6382907548013437,4.0,0.13649794632301046,0.08712537718734764
METX,11422.0,875.125386424769,294313.35269588174,3.0,4.7360735758993906e-05,13.938896927373232
finMICX,12233.0,1689672.1532650539,0.000892184500105645,2.0,0.28121948043343814,0.0002508996615704762
VOID,160.0,809.1419305812782,1682.1112,2.0,0.01464645382129147,24.636964013077183
IDOGE,1787.0,78.54608086083057,75490.0,2.0,2.901176854928273e-07,0.021900984077853534
ICX,,,,,0.2225,
