date,Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
2020-07-02,165977346,553895505,845827228,6420130,304568932,0.3601,0.5499,0.34409999999999996
2020-07-03,171804918,553996788,845929802,6381271,305122471,0.3607,0.5508,0.3446
2020-07-04,186369728,553333639,846067367,6324402,304880338,0.3603,0.551,0.3443
2020-07-05,184604651,553505012,846239592,6359123,304715582,0.3601,0.5505,0.34409999999999996
2020-07-06,196825625,553675401,846411594,6274880,305582323,0.361,0.5519,0.345
2020-07-07,193591519,553812300,846549554,6217638,306091540,0.3616,0.5527000000000001,0.3456
2020-07-08,219446069,553915535,846652790,6187342,306314982,0.3618,0.5529999999999999,0.3457
2020-07-09,212524151,554018115,846755944,6131479,306253885,0.3617,0.5528,0.3455
2020-07-10,213422111,554155922,846893938,6153187,306825520,0.36229999999999996,0.5537,0.34729999999999994
2020-07-11,222431925,554322278,847062429,6208112,306950320,0.3624,0.5537,0.34729999999999994
2020-07-12,224997467,554492462,847234598,6262233,307136996,0.3625,0.5539000000000001,0.3475
2020-07-13,224260353,554879022,847372281,6289331,307075583,0.36239999999999994,0.5534,0.3473
2020-07-14,223523240,555265582,847509965,6316430,307014170,0.36229999999999996,0.5529,0.3471
2020-07-15,228606622,555568405,847612788,6323194,307484078,0.3628,0.5535,0.34759999999999996
2020-07-16,222963188,555702912,847750563,6346255,308011826,0.36329999999999996,0.5543,0.3482
2020-07-17,213074942,555839426,847888217,6370691,308607228,0.364,0.5552,0.349
2020-07-18,217180398,555940629,847991398,6407170,308200395,0.36340000000000006,0.5544,0.34850000000000003
2020-07-19,214185745,556076924,848129197,6460898,308445745,0.36369999999999997,0.5547,0.34869999999999995
2020-07-20,227771657,556214107,848267129,6523389,308394122,0.3636,0.5545,0.3486
2020-07-21,226218758,557154474,848404767,6510968,308320994,0.36340000000000006,0.5534,0.34840000000000004
2020-07-22,226046222,557325276,848576154,6516955,308593332,0.36369999999999997,0.5537,0.34869999999999995
2020-07-23,232584573,557425766,848677357,6573831,308594884,0.3636,0.5536,0.34869999999999995
2020-07-24,225181021,557562678,848815069,6620603,309117944,0.3642,0.5544,0.3493
2020-07-25,224115849,557963386,848966547,6668275,309091573,0.3641,0.5539999999999999,0.349
2020-07-26,223050677,558364094,849118025,6715946,309065201,0.364,0.5535,0.3486
2020-07-27,214490522,558407165,849162206,6736139,308909613,0.3638,0.5532,0.34840000000000004
2020-07-28,213098792,558657793,849347550,6789679,308428205,0.36315,0.5521,0.34790000000000004
2020-07-29,211707063,558908422,849532894,6843220,307946798,0.3625,0.551,0.34740000000000004
2020-07-30,210067979,559009443,849636759,6823368,308011201,0.3625,0.551,0.3472
2020-07-31,209127213,559181993,849810209,6890439,308868011,0.3635,0.5524,0.3482
2020-08-01,209103915,558118675,849947755,6557843,309034741,0.3636,0.5537,0.3483
2020-08-02,213074506,558255151,850085628,6543539,309145779,0.36369999999999997,0.5538000000000001,0.3486
2020-08-03,208905942,558391761,850224939,6568602,310234233,0.3649,0.5556,0.34979999999999994
2020-08-04,214711643,558564195,850399465,6493222,311029285,0.3657,0.5568,0.3508
2020-08-05,219047358,558668759,850504029,6515797,311215351,0.36590000000000006,0.5571,0.35119999999999996
2020-08-06,217209059,558774006,850610095,6545790,321534539,0.37799999999999995,0.5754,0.36329999999999996
2020-08-07,218524883,559312799,850750123,6570185,321586619,0.37799999999999995,0.575,0.36329999999999996
2020-08-08,210028287,559450235,850887666,6595933,321879009,0.37829999999999997,0.5753,0.36369999999999997
2020-08-09,221204783,559620784,851059719,6668018,322076230,0.3784,0.5755,0.3635
2020-08-10,232293485,559720651,851162939,6685867,323270052,0.37979999999999997,0.5776,0.36479999999999996
2020-08-11,253966327,559891148,851334726,6665155,322822757,0.37920000000000004,0.5766,0.3642
2020-08-12,236939483,560027808,851471927,6570810,323778035,0.3803,0.5781000000000001,0.3653
2020-08-13,242341696,560313917,851609450,6565422,323407746,0.37979999999999997,0.5771999999999999,0.3568
2020-08-14,247743909,560600026,851746973,6560033,323037457,0.37929999999999997,0.5761999999999999,0.3483
2020-08-15,247743909,560600026,851746973,6560033,323037457,0.37929999999999997,0.5761999999999999,0.3483
2020-08-16,247804848,560737919,851885335,6596100,322978304,0.37920000000000004,0.5760000000000001,0.3481
2020-08-17,285688263,560979266,852127581,6648969,323111175,0.37920000000000004,0.5760000000000001,0.34840000000000004
2020-08-18,284842995,561167031,852265962,6662068,323341799,0.3794,0.5762,0.348575
2020-08-19,283997728,561354797,852404343,6675167,323572423,0.37960000000000005,0.5764,0.34875
2020-08-20,283152461,561542562,852542724,6688266,323803047,0.3798,0.5766,0.348925
2020-08-21,282307194,561730328,852681105,6701365,324033672,0.38,0.5768,0.34909999999999997
2020-08-22,379178622,561936783,852888618,6608895,322459004,0.37810000000000005,0.5738,0.3472
2020-08-23,387979276,562040170,852992005,6572208,321552957,0.377,0.5721,0.3461
2020-08-24,388047289,562138696,853091158,6497685,321151994,0.3765,0.5713,0.3456
2020-08-25,388154347,562293784,853246390,6560647,321710546,0.37705,0.5721499999999999,0.34625
2020-08-26,388261405,562448872,853401623,6623610,322269098,0.3776,0.573,0.3469
2020-08-27,375269573,562586145,853539584,6661633,323259439,0.3787,0.5746,0.348
2020-08-28,362277741,562723418,853677546,6699656,324249780,0.3798,0.5761999999999999,0.3491
2020-08-29,349285910,562860692,853815508,6737680,325240121,0.3809,0.5778,0.3502
2020-08-30,355826322,562963652,853919896,6782786,326131501,0.38189999999999996,0.5793,0.35119999999999996
2020-08-31,351299839,563099800,854057777,6809145,327342869,0.3833,0.5813,0.35259999999999997
2020-09-01,338536870,563272455,854231343,6666811,327778029,0.3837,0.5819,0.35340000000000005
2020-09-02,328180441,563444741,854404501,6646851,328759221,0.3848,0.5835,0.3544
2020-09-03,300160642,563513896,854473657,6671281,329942522,0.3861,0.5855,0.3558
2020-09-04,282476168,563686042,854647196,6668961,331544487,0.3879,0.58815,0.35755000000000003
2020-09-05,264791695,563858189,854820735,6666641,333146453,0.3897,0.5908,0.3593
2020-09-06,235118505,563927494,854890039,6687277,333245006,0.3898,0.5909,0.3594
2020-09-07,250590456,564099370,855062567,6777956,333651222,0.39020000000000005,0.5915,0.35979999999999995
2020-09-08,242177534,564236243,855200676,6821746,333911890,0.39039999999999997,0.5918,0.3602
