chartlabels,chartdata
 12/17, 152617
 12/18, 145605
 12/19, 89946
 12/20, 85767
 12/21, 76372
 12/22, 81351
 12/23, 65440
 12/24, 98587
 12/25, 85828
 12/26, 83914
 12/27, 81053
 12/28, 86237
 12/29, 130272
 12/30, 153969
 12/31, 208655
 1/1, 174161
 1/2, 173482
 1/3, 94355
 1/4, 121171
 1/5, 169075
 1/6, 177847
 1/7, 137801
 1/8, 182964
 1/9, 131203
 1/10, 150285
 1/11, 78992
 1/12, 136774
 1/13, 103615
 1/14, 119011
 1/15, 92775
 1/16, 90462
 1/17, 118095
 1/18, 104799
 1/19, 102058
 1/20, 106561
 1/21, 110799
 1/22, 117701
 1/23, 117358
 1/24, 104280
 1/25, 83444
 1/26, 79794
 1/27, 91202
 1/28, 96311
 1/29, 152249
 1/30, 119652
 1/31, 116011
 2/1, 108140
 2/2, 80380
 2/3, 110856
 2/4, 103413
 2/5, 113670
 2/6, 124206
 2/7, 136525
 2/8, 128492
 2/9, 120089
 2/10, 128929
 2/11, 137847
 2/12, 141697
 2/13, 134773
 2/14, 136926
 2/15, 162870
 2/16, 202662
 2/17, 417577
 2/18, 163641
 2/19, 256184
 2/20, 248293
 2/21, 198514
 2/22, 231000
 2/23, 311680
 2/24, 198293
 2/25, 143158
 2/26, 159828
 2/27, 133617
 2/28, 115576
 2/29, 130892
 3/1, 238233
 3/2, 149880
 3/3, 178828
 3/4, 153291
 3/5, 156896
 3/6, 112690
 3/7, 140101
 3/8, 149389
 3/9, 147331
 3/10, 134797
 3/11, 113896
 3/12, 119007
 3/13, 91989
 3/14, 106104
 3/15, 95643
 3/16, 154893
 3/17, 181296
 3/18, 198980
 3/19, 131456
 3/20, 203788
 3/21, 162407
 3/22, 110965
 3/23, 124795
 3/24, 137606
 3/25, 131067
 3/26, 115384
 3/27, 202251
 3/28, 189276
 3/29, 127225
 3/30, 126248
 3/31, 110489
 4/1, 103214
 4/2, 115326
 4/3, 116476
 4/4, 144769
 4/5, 119249
 4/6, 124246
 4/7, 122845
 4/8, 120140
 4/9, 136598
 4/10, 116749
 4/11, 99208
 4/12, 103719
 4/13, 117318
 4/14, 112731
 4/15, 108088
 4/16, 118944
 4/17, 114581
 4/18, 110321
 4/19, 128127
 4/20, 122730
 4/21, 107216
 4/22, 121797
 4/23, 115631
 4/24, 122311
 4/25, 126037
 4/26, 157861
 4/27, 125756
 4/28, 149664
 4/29, 127810
 4/30, 129765
 5/1, 109544
 5/2, 97556
 5/3, 143493
 5/4, 128553
 5/5, 128915
 5/6, 124657
 5/7, 111880
 5/8, 171577
 5/9, 150634
 5/10, 116319
 5/11, 126183
 5/12, 112639
 5/13, 131256
 5/14, 110799
 5/15, 123145
 5/16, 112627
 5/17, 114340
 5/18, 115644
 5/19, 109690
 5/20, 120394
 5/21, 126937
 5/22, 124329
 5/23, 136356
 5/24, 135672
 5/25, 123209
 5/26, 125810
 5/27, 124479
 5/28, 122948
 5/29, 126844
 5/30, 113429
 5/31, 120923
 6/1, 123532
 6/2, 127628
 6/3, 116138
 6/4, 118112
 6/5, 109754
 6/6, 120442
 6/7, 118445
 6/8, 128313
 6/9, 113029
 6/10, 110028
 6/11, 122283
 6/12, 115508
 6/13, 115394
 6/14, 128121
 6/15, 131564
 6/16, 135514
 6/17, 134924
 6/18, 138071
 6/19, 143325
 6/20, 160448
 6/21, 122008
 6/22, 137361
 6/23, 141281
 6/24, 127825
 6/25, 134006
 6/26, 137282
 6/27, 170807
 6/28, 166741
 6/29, 163528
 6/30, 161506
 7/1, 162474
 7/2, 171928
 7/3, 168338
 7/4, 148370
 7/5, 152677
 7/6, 133354
 7/7, 138197
 7/8, 128592
 7/9, 118712
 7/10, 138553
 7/11, 120662
 7/12, 160033
 7/13, 132845
 7/14, 155001
 7/15, 140377
 7/16, 140395
 7/17, 148071
 7/18, 137994
 7/19, 135506
 7/20, 144579
 7/21, 162938
 7/22, 149020
 7/23, 160544
 7/24, 102802
 7/25, 135027
 7/26, 35344
 7/27, 134168
 7/28, 132748
 7/29, 155666
 7/30, 162135
 7/31, 164721
 8/1, 148114
 8/2, 182881
 8/3, 164287
 8/4, 182800
 8/5, 150828
 8/6, 143745
