selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 1/7, 124473, 372716, 13.49, 19.41, 8.61
 1/8, 124970, 374110, 13.44, 19.36, 8.61
 1/9, 125498, 375635, 13.4, 19.32, 8.61
 1/10, 125949, 376958, 13.35, 19.27, 8.64
 1/11, 126428, 378301, 13.34, 19.26, 8.81
 1/12, 126860, 379664, 13.31, 19.23, 8.76
 1/13, 127038, 380227, 13.28, 19.2, 4.11
 1/15, 128145, 383167, 13.28, 19.2, 10.04
 1/16, 128519, 384349, 13.24, 19.16, 10.03
 1/17, 128917, 385563, 13.2, 19.12, 8.53
 1/18, 129368, 386959, 13.16, 19.08, 8.8
 1/19, 129777, 388325, 13.14, 19.06, 8.72
 1/20, 130097, 389415, 13.13, 19.05, 8.77
 1/21, 130513, 390664, 13.1, 19.02, 8.79
 1/22, 130887, 391665, 12.98, 18.9, 8.81
 1/23, 131336, 392480, 12.95, 18.87, 8.79
 1/24, 131823, 392947, 12.92, 18.84, 8.8
 1/25, 132277, 393381, 12.86, 18.78, 8.8
 1/26, 132869, 393955, 12.83, 18.75, 8.81
 1/27, 133451, 394555, 12.79, 18.71, 8.82
 1/28, 133691, 394810, 12.63, 18.55, 8.84
 1/29, 134497, 399490, 12.58, 18.5, 8.83
 1/30, 135020, 400969, 12.57, 18.49, 8.79
 1/31, 135644, 402292, 12.51, 18.43, 8.67
 2/1, 136379, 403718, 12.51, 18.43, 8.83
 2/2, 137037, 405274, 12.48, 18.4, 8.55
 2/3, 137713, 406715, 12.47, 18.39, 8.5
 2/4, 138488, 408578, 12.39, 18.31, 8.75
 2/5, 139270, 410150, 12.64, 18.56, 8.73
 2/6, 139660, 411483, 12.7, 18.62, 8.62
 2/7, 140686, 413172, 12.68, 18.6, 8.63
 2/8, 141582, 414754, 12.63, 18.55, 8.61
 2/9, 142312, 416153, 12.58, 18.5, 8.62
 2/10, 142899, 417290, 12.55, 18.47, 8.71
 2/11, 143478, 418413, 12.52, 18.44, 8.61
 2/12, 144041, 419504, 12.46, 18.38, 8.55
 2/13, 144556, 420594, 12.43, 18.35, 8.73
 2/14, 145199, 421791, 12.39, 18.31, 8.65
 2/15, 145883, 423093, 12.54, 18.46, 8.69
 2/16, 146477, 424293, 12.55, 18.47, 8.68
 2/17, 147013, 425370, 12.51, 18.43, 8.59
 2/18, 147498, 426428, 12.47, 18.39, 8.55
 2/19, 148041, 427503, 12.44, 18.36, 8.58
 2/20, 148644, 428648, 12.41, 18.33, 8.41
 2/21, 149188, 429735, 12.38, 18.3, 8.56
 2/22, 149784, 430869, 12.33, 18.25, 8.37
 2/23, 150378, 432045, 12.3, 18.22, 8.17
 2/24, 150882, 433849, 12.26, 18.18, 8.43
 2/25, 151378, 434811, 12.2, 18.12, 8.13
 2/26, 151925, 435929, 12.14, 18.06, 8.37
 2/27, 152431, 436962, 12.09, 18.01, 8.31
 2/28, 152952, 437935, 12.03, 17.95, 8.31
 2/29, 153720, 439309, 12.02, 17.94, 8.16
 3/1, 154441, 440595, 12.01, 17.93, 8.25
 3/2, 155077, 441725, 11.95, 17.87, 8.27
 3/3, 155664, 442855, 12.0, 17.92, 8.15
 3/4, 156289, 443926, 11.98, 17.9, 8.25
 3/5, 156961, 445141, 11.94, 17.86, 8.23
 3/6, 157663, 446368, 11.94, 17.86, 8.22
 3/7, 158301, 447539, 11.85, 17.77, 8.24
 3/8, 158887, 448664, 11.8, 17.72, 8.25
 3/9, 159445, 449765, 11.75, 17.67, 8.26
 3/10, 160077, 450985, 11.77, 17.69, 8.16
 3/11, 160730, 452165, 11.73, 17.65, 8.24
 3/12, 161352, 453352, 11.72, 17.64, 8.25
 3/13, 161958, 454555, 11.66, 17.58, 8.18
 3/14, 162631, 455896, 11.54, 17.46, 8.35
 3/15, 163298, 457140, 11.51, 17.43, 8.45
 3/16, 163986, 458394, 11.5, 17.42, 8.49
 3/17, 164794, 459741, 11.35, 17.27, 8.37
 3/18, 165528, 461140, 11.37, 17.29, 8.5
 3/19, 166285, 462475, 11.4, 17.32, 8.47
 3/20, 167066, 463860, 11.39, 17.31, 8.49
 3/21, 167851, 465266, 11.35, 17.27, 8.4
 3/22, 168677, 466723, 11.33, 17.25, 8.5
 3/23, 169469, 468068, 11.3, 17.22, 8.49
 3/24, 170251, 469589, 11.23, 17.15, 8.51
 3/25, 171092, 471120, 11.18, 17.1, 8.43
 3/26, 171844, 472606, 11.14, 17.06, 8.51
 3/27, 172624, 474016, 11.08, 17.0, 8.52
 3/28, 173290, 475139, 11.05, 16.97, 8.35
 3/29, 173761, 475903, 11.03, 16.95, 8.46
 3/30, 176000, 479395, 10.99, 16.91, 8.44
 3/31, 177996, 482115, 11.0, 16.92, 8.4
 4/1, 179612, 484469, 10.94, 16.86, 8.41
 4/2, 181212, 486948, 10.94, 16.86, 8.54
 4/3, 182799, 489358, 10.93, 16.85, 8.46
 4/4, 184447, 491860, 10.91, 16.83, 8.54
 4/5, 185931, 494224, 10.88, 16.8, 8.53
 4/6, 187527, 496774, 10.85, 16.77, 8.55
 4/7, 189175, 499216, 10.81, 16.73, 8.55
 4/8, 190564, 501429, 10.81, 16.73, 8.56
 4/9, 191971, 503569, 10.83, 16.75, 8.5
 4/10, 193517, 505980, 10.8, 16.72, 8.57
 4/11, 195343, 508676, 10.77, 16.69, 8.51
 4/12, 196988, 511225, 10.74, 16.66, 8.62
 4/13, 198602, 513597, 10.66, 16.58, 8.61
 4/14, 200244, 516128, 10.59, 16.51, 8.64
 4/15, 201691, 518475, 10.57, 16.49, 8.63
 4/16, 203260, 520786, 10.52, 16.44, 8.51
 4/17, 204691, 522924, 10.49, 16.41, 8.57
 4/18, 206110, 524944, 10.49, 16.41, 8.58
 4/19, 207443, 526890, 10.49, 16.41, 8.58
 4/20, 208699, 528791, 10.47, 16.39, 8.55
 4/21, 209896, 530626, 10.45, 16.37, 8.54
 4/22, 211128, 532450, 10.43, 16.35, 8.52
 4/23, 212282, 534159, 10.42, 16.34, 8.58
 4/24, 213614, 536062, 10.47, 16.39, 8.6
 4/25, 215019, 538117, 10.46, 16.38, 8.58
 4/26, 216405, 540137, 10.42, 16.34, 8.58
 4/27, 217832, 542266, 10.42, 16.34, 8.6
 4/28, 219218, 544215, 10.41, 16.33, 8.55
 4/29, 220565, 546133, 10.4, 16.32, 8.58
