date,marketCap,icxCirculation,icxSupply,publicTreasury,iglobal
2020-07-02,165977346.0,553895505.0,845827228.0,6420130.0,
2020-07-03,171804918.0,553996788.0,845929802.0,6381271.0,
2020-07-04,186369728.0,553333639.0,846067367.0,6324402.0,
2020-07-05,184604651.0,553505012.0,846239592.0,6359123.0,
2020-07-06,196825625.0,553675401.0,846411594.0,6274880.0,
2020-07-07,193591519.0,553812300.0,846549554.0,6217638.0,
2020-07-08,219446069.0,553915535.0,846652790.0,6187342.0,
2020-07-09,212524151.0,554018115.0,846755944.0,6131479.0,
2020-07-10,213422111.0,554155922.0,846893938.0,6153187.0,
2020-07-11,222431925.0,554322278.0,847062429.0,6208112.0,
2020-07-12,224997467.0,554492462.0,847234598.0,6262233.0,
2020-07-13,224260353.0,554879022.0,847372281.0,6289331.0,
2020-07-14,223523240.0,555265582.0,847509965.0,6316430.0,
2020-07-15,228606622.0,555568405.0,847612788.0,6323194.0,
2020-07-16,222963188.0,555702912.0,847750563.0,6346255.0,
2020-07-17,213074942.0,555839426.0,847888217.0,6370691.0,
2020-07-18,217180398.0,555940629.0,847991398.0,6407170.0,
2020-07-19,214185745.0,556076924.0,848129197.0,6460898.0,
2020-07-20,227771657.0,556214107.0,848267129.0,6523389.0,
2020-07-21,226218758.0,557154474.0,848404767.0,6510968.0,
2020-07-22,226046222.0,557325276.0,848576154.0,6516955.0,
2020-07-23,232584573.0,557425766.0,848677357.0,6573831.0,
2020-07-24,225181021.0,557562678.0,848815069.0,6620603.0,
2020-07-25,224115849.0,557963386.0,848966547.0,6668275.0,
2020-07-26,223050677.0,558364094.0,849118025.0,6715946.0,
2020-07-27,214490522.0,558407165.0,849162206.0,6736139.0,
2020-07-28,213098792.0,558657793.0,849347550.0,6789679.0,
2020-07-29,211707063.0,558908422.0,849532894.0,6843220.0,
2020-07-30,210067979.0,559009443.0,849636759.0,6823368.0,
2020-07-31,209127213.0,559181993.0,849810209.0,6890439.0,
2020-08-01,209103915.0,558118675.0,849947755.0,6557843.0,
2020-08-02,213074506.0,558255151.0,850085628.0,6543539.0,
2020-08-03,208905942.0,558391761.0,850224939.0,6568602.0,
2020-08-04,214711643.0,558564195.0,850399465.0,6493222.0,
2020-08-05,219047358.0,558668759.0,850504029.0,6515797.0,
2020-08-06,217209059.0,558774006.0,850610095.0,6545790.0,
2020-08-07,218524883.0,559312799.0,850750123.0,6570185.0,
2020-08-08,210028287.0,559450235.0,850887666.0,6595933.0,
2020-08-09,221204783.0,559620784.0,851059719.0,6668018.0,
2020-08-10,232293485.0,559720651.0,851162939.0,6685867.0,
2020-08-11,253966327.0,559891148.0,851334726.0,6665155.0,
2020-08-12,236939483.0,560027808.0,851471927.0,6570810.0,
2020-08-13,242341696.0,560313917.0,851609450.0,6565422.0,
2020-08-14,247743909.0,560600026.0,851746973.0,6560033.0,
2020-08-15,247743909.0,560600026.0,851746973.0,6560033.0,
2020-08-16,247804848.0,560737919.0,851885335.0,6596100.0,
2020-08-17,285688263.0,560979266.0,852127581.0,6648969.0,
2020-08-18,284842995.0,561167031.0,852265962.0,6662068.0,
2020-08-19,283997728.0,561354797.0,852404343.0,6675167.0,
2020-08-20,283152461.0,561542562.0,852542724.0,6688266.0,
2020-08-21,282307194.0,561730328.0,852681105.0,6701365.0,
2020-08-22,379178622.0,561936783.0,852888618.0,6608895.0,
2020-08-23,387979276.0,562040170.0,852992005.0,6572208.0,
2020-08-24,388047289.0,562138696.0,853091158.0,6497685.0,
2020-08-25,388154347.0,562293784.0,853246390.0,6560647.0,
2020-08-26,388261405.0,562448872.0,853401623.0,6623610.0,
2020-08-27,375269573.0,562586145.0,853539584.0,6661633.0,
2020-08-28,362277741.0,562723418.0,853677546.0,6699656.0,
2020-08-29,349285910.0,562860692.0,853815508.0,6737680.0,
2020-08-30,355826322.0,562963652.0,853919896.0,6782786.0,
2020-08-31,351299839.0,563099800.0,854057777.0,6809145.0,
2020-09-01,338536870.0,563272455.0,854231343.0,6666811.0,
2020-09-02,328180441.0,563444741.0,854404501.0,6646851.0,
2020-09-03,300160642.0,563513896.0,854473657.0,6671281.0,
2020-09-04,282476168.0,563686042.0,854647196.0,6668961.0,
2020-09-05,264791695.0,563858189.0,854820735.0,6666641.0,
2020-09-06,235118505.0,563927494.0,854890039.0,6687277.0,
2020-09-07,250590456.0,564099370.0,855062567.0,6777956.0,
2020-09-08,242177534.0,564236243.0,855200676.0,6821746.0,
2020-09-09,227091416.0,564372557.0,855337004.0,6836284.0,
2020-09-10,242473005.0,564508349.0,855474298.0,6895522.0,
2020-09-11,257854594.0,564644142.0,855611592.0,6954760.0,
2020-09-12,271364546.0,564850839.0,855819039.0,6998314.0,
2020-09-13,281721657.0,564885376.0,855853575.0,7013312.0,
2020-09-14,263278253.0,565019338.0,855991686.0,7063127.0,
2020-09-15,303698925.0,565155850.0,856130020.0,7108808.0,
2020-09-16,292199120.0,565293387.0,856268520.0,7124265.0,
2020-09-17,275155985.0,565429480.0,856406781.0,7148387.0,
2020-09-18,266798634.0,565565984.0,856545031.0,7205463.0,
2020-09-19,262742218.0,565827087.0,856682869.0,7270198.0,
2020-09-20,265297134.0,565998934.0,856855709.0,7364491.0,
2020-09-21,264764553.0,566100966.0,856959400.0,7395465.0,
2020-09-22,231485997.0,566238424.0,857097398.0,7427137.0,
2020-09-23,232634336.0,566444273.0,857304531.0,7512412.0,
2020-09-24,233731815.0,566513249.0,857373508.0,7511956.0,
2020-09-25,223021074.0,566852595.0,857509331.0,7351746.0,
2020-09-26,233503260.0,566990261.0,857647478.0,7402310.0,
2020-09-27,237210965.0,567126510.0,857785433.0,7465524.0,
2020-09-28,237214783.0,567264151.0,857923822.0,7476948.0,
2020-09-29,233849316.0,567401277.0,858062064.0,7454252.0,
2020-09-30,230483849.0,567538404.0,858200307.0,7431557.0,
2020-10-01,237295458.0,567675277.0,858338715.0,7341559.0,
2020-10-02,234923553.0,567812445.0,858476787.0,7299469.0,
2020-10-03,231656419.0,567949954.0,858615130.0,7333383.0,
2020-10-04,228061145.0,568086267.0,858753482.0,7416193.0,
2020-10-05,226312768.0,568222423.0,858892055.0,7457971.0,
2020-10-06,227764452.0,568359940.0,859030367.0,7407054.0,
2020-10-07,218095646.0,568497528.0,859168827.0,7302400.0,
2020-10-08,209929875.0,568634278.0,859306506.0,7336602.0,
2020-10-09,218048738.0,568772038.0,859444729.0,7394502.0,
2020-10-10,227158932.0,568909982.0,859583041.0,7460381.0,
2020-10-11,227262929.0,569048510.0,859721568.0,7540541.0,
2020-10-12,230281754.0,569185017.0,859859740.0,7552983.0,
2020-10-13,236671836.0,569321039.0,859997759.0,7549149.0,
2020-10-14,233623992.0,569525172.0,860203643.0,7589645.0,
2020-10-15,223060486.0,569594035.0,860272506.0,7572833.0,
2020-10-16,215861516.0,569730979.0,860411174.0,7540122.0,
2020-10-17,209843186.0,569869647.0,860550044.0,7590906.0,
