validator,validator_name,cum_votes_update
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,52970908.12323369
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37960805.24232057
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,22610145.56075794
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,18580914.06123019
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,18285871.9573481
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,17200264.93709445
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,17061739.71446517
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,14055681.95412282
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,13688922.4652596
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13643772.98760517
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,13171674.42413275
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,8126719.9576138
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,7723505.56017084
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,7186042.38860173
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,7015745.92761286
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,6232230.73361188
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,6186445.83963533
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5634778.56778395
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,5521119.12234582
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),4828437.86501943
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,4652339.51932615
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4634993.89645925
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,4611166.36238435
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,4090302.67239747
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,3940931.9801134
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOWIZ,2960559.95498274
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2830363.77715978
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,2792602.45588373
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,2727431.69384176
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2371782.09074725
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,2307210.31111722
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,2153484.03037313
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,2038155.15946715
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,1820624.52449528
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1753752.24420095
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,1683518.06378268
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,1619026.24181929
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,1343871.85200851
hx31c429608c74501de13df5fea30bf1674460be50,HugoByte,1334898.51918296
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,1309184.7330321
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,1308349.32307391
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,1278734.98856997
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),1251441.4720333
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,1237040.53697822
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),1215783.23257703
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,1203587.60467121
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,1104490.63302276
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,1084222.54555523
hx49aff6baa1d2a69730d935068ce8f64eb8d508ef,ParaState,1008696.41100718
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,952156.19407683
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,856905.66224014
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,811086.11382357
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,801930.16735521
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,797447.71909789
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,794151.38112906
hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,ICON France,792741.95665832
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,788894.58518115
