rank,name,address,delegation,bond,power
1,ICON Foundation,hx0b047c751658f7ce1b2595da34d57a0e7dad357d,36197213.70858538,2000000.0,38197213.70858538
2,ICX_Station,hxfba37e91ccc13ec1dab115811f73e429cde44d48,23449604.60028475,1120515.0,22410300.0
3,GangstaBet,hx3c58970034d5a923aa95058365450feed28979a2,19107935.79114971,1133900.1914,20241835.98254971
4,ICONFi,hxf680ae11372c48afebbce77c9d8de455e1acc18a,17581427.44761058,909034.3644,18180687.288
5,Binance Node,hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,14479784.664350867,1000000.01,15479784.674350867
6,ICON Asset Management,hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,14073826.27148239,939049.6874,15012875.95888239
7,Everstake,hx8e6dcffdf06f850af5d372ac96389135e17d56d3,12007414.071347326,883691.713,12891105.784347326
8,ICONOsphere,hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,17778427.115501672,595822.7382,11916454.764
9,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,11647034.709997954,589770.1472,11795402.944
10,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,14466401.676984694,530000.0,10600000.0
11,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,7807730.005374018,421706.8438,8229436.849174018
12,Protokol7,hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,7000673.074576481,372128.3001,7372801.374676482
13,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,6988662.131815006,359086.405,7181728.1
14,Spartan Node,hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,9053739.642771903,356564.0642,7131281.284
15,ICONbet Community,hxb11448743cbb63fcf29609401cdc5782793be211,6345126.536043727,375000.0,6720126.536043727
16,MouseBelt | Multi.io,hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,6309662.3058575615,364082.1361,6673744.441957562
17,sudoblock,hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,6797090.611166426,325000.0,6500000.0
18,RHIZOME,hx4a43790d44b07909d20fbcc233548fc80f7a4067,5850505.028509876,310317.9703,6160822.998809876
19,Metanyx,hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,6900235.472326399,288350.0,5767000.0
20,VELIC,hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,5366139.51830178,319997.9963,5686137.51460178
21,ICON Pinas,hx0a72c03881451a6270d4895f756085470fc311e4,5538416.45136407,280882.0,5617640.0
22,Trustseers,hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,6168077.408738443,272734.221,5454684.42
26,Staky.io (ex Sharpn),hx6f89b2c25c15f6294c79810221753131067ed3f8,5328161.2171066925,268544.6114,5370892.228
27,Stakin,hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,6915194.618762317,256000.0,5120000.0
28,Ubik Capital,hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,3580776.375849122,226488.3184,3807264.6942491224
29,Mineable,hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,3232363.8218606906,195649.3107,3428013.1325606904
30,NEOPLY,hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,3172643.4949247492,162080.0,3241600.0
31,Plan-P,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,2505152.276378554,156735.1681,2661887.4444785537
23,ICON Forge,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,2543328.1782362345,131419.7373,2628394.746
32,Arcade Node,hx8d7f98f88560fc957d410afb53c5b269bebc8799,2729847.7334870473,121404.0725,2428081.45
33,Hugobyte,hx31c429608c74501de13df5fea30bf1674460be50,2136006.6528294184,150000.0,2286006.6528294184
34,ICONoscope,hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,1952546.5586675091,105065.6299,2057612.1885675092
35,Unifi Protocol,hx80a3bb927f9edc899f98eb46bd7a7c601da12980,1690728.1484449909,130000.0,1820728.1484449909
25,InterBlock,hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,1344186.6176902894,143838.1164,1488024.7340902893
24,ICONTROL,hxe8767c80a009c7bb8344d81c430144463cbb325e,2398440.4599942644,74038.8353,1480776.706
36,ICON Sweden,hx1cb5883939f2fd478e92da1260438aa1f03440ca,1158119.1294046822,63377.1084,1221496.2378046822
37,ICX Belgium,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,1109769.384141674,60000.0,1169769.384141674
38,RHYTHM (Australia),hx18a807c44b0efdc2e02ea503d7bc011cc4242318,896038.4810377164,41999.9471,839998.942
39,ICX_Stratos,hx3ec5c0c906e857de231a7ae16e49ab92c5708699,771474.7021154211,54998.0,826472.7021154211
40,ICON Chicago,hxf6672e670d2b5816061da22231f3a90f0b5955b5,739408.9914650018,42062.8021,781471.7935650018
41,Silicon Valley ICON,hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,675513.519176886,50000.0,725513.519176886
42,Oasis,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,675252.2713529437,39455.0,714707.2713529437
43,ICONologist,hx30af89a52479d8ce8ac6682651203750d639a20f,534869.7595971652,35000.0,569869.7595971652
44,DSNC,hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,445294.50421284005,24000.0,469294.50421284005
45,Blockmove,hx5b97bbec2e555289351806103833a465b7fbbd47,426969.8414089243,30100.0,457069.8414089243
46,Espanicon,hx9fa9d224306b0722099d30471b3c2306421aead7,369074.651504115,20000.0,389074.651504115
47,ICON 4 ALL,hx69d49e8365659d7771f7e721d7f9b04367212557,279377.19845645706,20000.0,299377.19845645706
48,PiconbelloDAO,hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,277097.3549654123,20333.0017,297430.35666541226
49,Transcranial Solutions,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,276839.7530012635,20000.0,296839.7530012635
50,RemICX,hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,271238.9979146449,25000.0,296238.9979146449
52,Citadel.one,hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,1756263.176764161,13563.9615,271279.23
51,ICON Guide Star,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,250843.204753709,15495.892,266339.096753709
53,devshack,hxca60d4371ad90d624dc7119f81009d799c168aa1,230916.33787379926,15000.0,245916.33787379926
54,Staked Tech,hx55f2cc3244350085734f4e405f761ecf3d2095b3,215497.62287854156,30000.0,245497.62287854156
55,UNBLOCK {ICX GROWTH INCUBATOR},hx554ea6c0c56e6f30682dcaa79a326da3a364899f,190475.802654142,9000.0,180000.0
56,A_Block,hxa19a398f4941abed1d0af82fb2f6081b76f29107,93272.92709582,5000.0,98272.92709582
57,FOMO MASTERNODE,hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,147923.2407341748,3912.8015,78256.03
58,Atomic Wallet,hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,4137665.7673492446,0.0,0.0
59,Danal,hxa69031aef1bbb11ea0ee3647b278c158ecdab767,2300844.4220085368,0.0,0.0
60,Band Protocol,hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,2264489.1208470017,0.0,0.0
61,ICON Hyperconnect,hxd5059fec8665bc7b769f4893aef65cf00049377a,1967117.2944171643,0.0,0.0
62,ICONPLUS,hxd6f20327d135cb0227230ab98792173a5c97b03e,1574360.9665661608,0.0,0.0
63,weBloc asia,hxf75bfd0df8d96ee0963965135af2485cee6d5000,1396679.1351306834,0.0,0.0
64,Alice,hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,985524.9053288999,0.0,0.0
65,TNTXT,hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,855544.0173146275,0.0,0.0
66,MinerGate,hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,836070.4821968668,0.0,0.0
67,block42,hx168d2cfe6d73acb8cb690d3abda54d3af266addf,658645.7836092451,0.0,0.0
68,DEMOS,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,603072.4439367981,0.0,0.0
69,ICX Australia,hx040b667627bbd02619e89439fab48b053e71c666,564870.2556044229,0.0,0.0
