validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,39109615.00649505,2000000.0,40000000.0
hxfba37e91ccc13ec1dab115811f73e429cde44d48,Lydia Labs,2,22126741.514191367,1156415.4028,23128308.056
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,3,15194158.917272625,1134020.1914,16328179.108672624
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,4,19184738.98991304,1009034.3607,20180687.214
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,5,19697683.45695388,1000000.01,20000000.2
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,6,18550420.0516775,940691.713,18813834.26
hxca60d4371ad90d624dc7119f81009d799c168aa1,FRĀMD,7,14814051.582268555,784423.7225,15598475.304768555
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,8,15975936.974593332,685406.8057,13708136.114
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,9,13814222.50317171,624383.2596,12487665.192
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,10,10841932.131244453,615105.513,11457037.644244453
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),11,4966337.372708821,468444.6114,5434781.9841088215
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,12,14473846.216370318,430000.0,8600000.0
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,13,6359030.957014877,421706.8438,6780737.800814877
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,14,7603423.702720868,399053.176,7981063.52
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,15,6473797.392354117,364082.1361,6837879.528454117
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,16,6292784.334110299,359086.405,6651870.739110299
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,sudoblock,17,6920321.15716026,320000.0,6400000.0
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,18,5592926.390812066,319997.9963,5912924.387112066
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,19,4567901.736033037,288350.0,4856251.736033037
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,20,5317278.913903467,287388.3997,5604667.313603467
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,21,6084268.7680435665,280882.0,5617640.0
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,22,108525.38664353694,251000.0,359525.3866435369
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,23,11953291.903958945,234000.0,4680000.0
hx31c429608c74501de13df5fea30bf1674460be50,Hugobyte,24,4232779.162205571,213583.4887,4271669.774
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,25,4817722.161579375,210572.7972,4211455.944
hxb11448743cbb63fcf29609401cdc5782793be211,GPS Gaming,26,2978100.136921915,206391.4363,3184491.5732219154
hx15686bf1f501115a2b5de381a20edc1963cb2ec3,ICONbet,27,1847903.3982990817,200000.0,2047903.3982990817
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,28,3085903.630921932,162080.0,3241600.0
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,29,1886655.4811264123,154704.4052,2041359.8863264122
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,30,3066175.036867468,152606.4623,3052129.246
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,31,2966331.503766383,147522.5869,2950451.738
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,32,2448052.680011547,130426.4458,2578479.125811547
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,33,1544122.4770583413,130000.0,1674122.4770583413
hx437e3ce53016ffc71be609a4d1194e41a5d89678,FOMOmental,34,1894089.5240863608,100126.8253,1994216.3493863607
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,35,1212055.9926264095,65000.0,1277055.9926264095
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,36,1094253.7312358683,63377.1084,1157630.8396358683
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,37,646249.7632490206,50000.0,696249.7632490206
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,38,797853.2763402753,47129.0022,844982.2785402753
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,39,343982.02201688767,30100.0,374082.02201688767
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,40,151936.61340908436,30000.0,181936.61340908436
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,41,467316.21065027453,26150.3715,493466.58215027454
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,42,247915.53623889622,25000.0,272915.5362388962
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,43,433347.9810382191,23000.0,456347.9810382191
hx5da9e862b4e26e5ac486c1d70d9d63927ce35e1c,Studio Mirai,44,765014.9715092126,22000.0,440000.0
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,PiconbelloDAO,45,220853.58963228762,20333.0017,241186.59133228761
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,46,257761.01026411337,20000.0,277761.01026411337
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,47,225399.1166474217,20000.0,245399.1166474217
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,48,198143.1589735567,20000.0,218143.1589735567
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,49,173816.15131198076,15495.892,189312.04331198076
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,50,1768680.956348769,13563.9615,271279.23
hxe872d22ad693279cd7ff33f51583f4117a4610b3,CODE METAL,51,188755.260517786,10000.0,198755.260517786
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,52,2433759.453258194,7352.537,147050.74
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},53,131510.81139814627,6000.0,120000.0
