address,bonded,city,country,delegated,details,email,grade,irep,irepUpdateBlockHeight,lastHeight,name,nodeAddress,p2pEndpoint,penalty,power,status,totalBlocks,validatedBlocks,website,delegation,bond,prep_type,rank
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,0x1a784379d99db42000000,Zug,CHE,0x1f9943b27e59facaad8563,https://icon.foundation/prep/details.json,hello@icon.foundation,0,14000.0,19566264,63611784,ICON Foundation,hx9c63f73d3c564a54d0eed84f90718b1ebed16f09,18.176.121.232:7100,0,40000000.0,0,52972187,52811472,https://icon.foundation,38200471.273602016,2000000.0,main,1
hxfba37e91ccc13ec1dab115811f73e429cde44d48,0x1011d27890eaa3c0a4000,San Francisco,USA,0x18b4dec42921ba1c71d8c6,https://lydialabs.xyz/details.json,hi@lydialabs.xyz,0,14000.0,19378303,63515296,Lydia Labs,hx81719dcfe8f58ca07044b7bede49cecd61f9bd3f,18.118.232.28:7100,0,24283719.81,0,53063903,52956326,https://lydialabs.xyz,29868354.949717987,1214185.9905,main,2
hxf680ae11372c48afebbce77c9d8de455e1acc18a,0xd5abdcbfa37bda63c000,Singapore,SGP,0x1083e50bc76ba1cd18bece,https://grow3.io/prep/details.json,support@grow3.io,0,10000.0,37596324,63608562,GROW,hx4e39d214d1e682f2acba7a08c4f7591fb5baaade,18.142.22.234:7100,0,20180687.214,0,24195570,24171416,https://grow3.io,19965668.27624827,1009034.3607,main,3
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,0xd3c21bf253e010c10000,George Town,CYM,0x10a0365f0e9175f46651da,https://binance.com/json,poolvip@binance.com,0,0.0,44121916,63598619,Binance Node,hx863b7ba01fded0c7139788df152662ae881b8be3,3.215.75.154:7100,0,20000000.2,0,18798423,18785594,https://binance.com,20099394.72484521,1000000.01,main,4
hxe44c986d1c6013c8cafc35edcbd6937985641fce,0xd3c21bcecceda1000000,Seoul,KOR,0x113b5a681250a8b39140fa,https://static-data.parametacorp.com/details.json,hello@parametacorp.com,0,0.0,55909916,63613322,PARAMETA,hx6602c91a04cf9ffef1ac887445c522d6847cf3f7,52.79.77.39:7100,0,20000000.0,0,7592929,7584053,https://parametacorp.com,20832026.262049653,1000000.0,main,5
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,0xcd0aaf7a8b8e17845836,Singapore,SGP,0x1580a52c7690e20e7fce56,https://icondao.s3-ap-southeast-1.amazonaws.com/icondao.json,icondao@canfoundation.io,0,14000.0,20252122,63575909,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,18.140.186.29:7100,0,19365644.82002721,0,50015934,49971894,https://twitter.com/icondao,25994952.038394175,968282.2410013606,main,6
hx3c58970034d5a923aa95058365450feed28979a2,0xb2acb568f61d8636c000,Sydney,AUS,0xc794765629d6e5f309ab3,https://gangstabet.io/details.json,hodl@gangstabet.io,0,10000.0,41610399,63569175,GangstaVerse,hxed7175f73f63ce8dfeede1db8c4b66179eb7a857,44.237.21.74:7100,0,15923600.350106653,0,20054317,20005951,https://gangstabet.io/,15079833.204206653,843767.1459,main,7
hx28c08b299995a88756af64374e13db2240bc3142,0x96592d57f2c76fc00000,Dunedin,NZL,0xad342d5cec7d9c4916ddb,https://parrot9.com/PARROT9.json,hello@parrot9.com,0,14000.0,19769751,63591246,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,155.138.134.222:7100,0,13796910.415611764,0,40725543,40653125,https://parrot9.com,13086910.415611764,710000.0,main,8
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,0x7e88bc8a54bdd44f8000,Sydney,AUS,0x127b06f2a6ab7c0af85a6d,https://iconosphere.io/details.json,prep@iconosphere.io,0,13998.0,19955991,63608799,ICONOsphere,hx95248f3757afcb50efa99f529183ba401a82273c,52.36.75.189:7100,0,11950810.396,0,48590632,48494794,https://iconosphere.io,22341643.995771885,597540.5198,main,9
hxca60d4371ad90d624dc7119f81009d799c168aa1,0x8aa828e337806128c000,Sydney,AUS,0x933e464feb13bd342ec33,https://devshack-prep-storage.s3-ap-southeast-2.amazonaws.com/json/devshack.json,icon@devshack.team,0,11200.0,27228224,63607454,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,104.197.141.179:7100,0,11780174.776155738,0,10920790,10865890,https://www.devshack.team,11125386.202255739,654788.5739,main,10
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,0x7036937f16b6aaa24000,New York,USA,0xaad0c51bdbcf90a5bf498,https://icon-staking-details.s3.us-west-2.amazonaws.com/icon-am/details.json,ICON.A.M@protonmail.com,0,50000.0,15285332,63613155,ICON Asset Management,hxd4382eb39497d2a3c924267d18908fd32e1f8c8f,95.179.134.53:7100,0,10598235.97,0,31276063,31243141,https://myicon.finance,12906454.84868329,529911.7985,main,11
hxe4c008b838e8a9a7c065f20f393974de4c86f917,0x594cc618697bdc618000,Wollongong,AUS,0x6fc60d07685fce1e43fa4,https://faucet.reliantnode.com/static/details.json,team@reliantnode.com,0,14000.0,19688103,63613284,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,185.172.110.74:7100,0,8434136.876,0,46815288,46492726,https://www.reliantnode.com,8445377.18014293,421706.8438,main,12
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,0x58f03ee118a13e800000,San Francisco,USA,0x6f0d38183745df7c04730,https://icon-staking-details.s3.us-west-2.amazonaws.com/sudoblock/details.json,info@sudoblock.io,0,14000.0,20429496,63611715,sudoblock,hx671f20ea01826591ed09988bd0229e3008f4fa47,139.180.142.57:7100,0,8400000.0,0,33089639,32923725,https://github.com/sudoblockio,8390824.469006842,420000.0,main,13
