address,bonded,city,country,delegated,details,email,grade,hasPublicKey,irep,irepUpdateBlockHeight,lastHeight,name,nodeAddress,p2pEndpoint,penalty,power,status,totalBlocks,validatedBlocks,website,delegation,bond,prep_type,rank
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,0x1a784379d99db42000000,Zug,CHE,0x1f609168b4d0049f68b99d,https://cdn.icon.foundation/details/details.json,hello@icon.foundation,0,0x1,14000.0,19566264,72531525,ICON Foundation,hx9c63f73d3c564a54d0eed84f90718b1ebed16f09,18.176.121.232:7100,0,39932729.913183674,0,61944644,61771199,https://icon.foundation,37932729.913183674,2000000.0,main,1
hxfba37e91ccc13ec1dab115811f73e429cde44d48,0x152d0fca8c93636dc0000,San Francisco,USA,0x1a62e836672a6df8fdb47a,https://lydialabs.xyz/details.json,hi@lydialabs.xyz,0,0x1,14000.0,19378303,72505882,Lydia Labs,hx81719dcfe8f58ca07044b7bede49cecd61f9bd3f,18.118.232.28:7100,0,32000300.0,0,62036360,61919641,https://lydialabs.xyz,31899146.790075336,1600015.0,main,2
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,0xed2b525841adfc000000,Singapore,SGP,0x1210def33eafb6916c0ab2,https://icondao.s3-ap-southeast-1.amazonaws.com/icondao.json,icondao@canfoundation.io,0,0x1,14000.0,20252122,72584540,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,18.140.186.29:7100,0,22400000.0,0,58734302,58637812,https://twitter.com/icondao,21840335.321613602,1120000.0,main,3
hxe44c986d1c6013c8cafc35edcbd6937985641fce,0xe8ef1e96ae3897800000,Seoul,KOR,0x12c7e44f2d6a301cf755a8,https://static-data.parametacorp.com/details.json,hello@parametacorp.com,0,0x1,0.0,55909916,72523300,PARAMETA,hx6602c91a04cf9ffef1ac887445c522d6847cf3f7,52.79.77.39:7100,0,22000000.0,0,16565386,16517881,https://parametacorp.com,22704627.246136248,1100000.0,main,4
hxca60d4371ad90d624dc7119f81009d799c168aa1,0xbfde0137875909d3c000,Sydney,AUS,0xee105e7721d7672398189,https://devshack-prep-storage.s3-ap-southeast-2.amazonaws.com/json/devshack.json,icon@devshack.team,0,0x1,11200.0,27228224,72584692,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,104.197.141.179:7100,0,18121345.262,0,19872323,19789646,https://www.devshack.team,17987602.84439561,906067.2631,main,5
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,0xb8e51bb755a014c00000,Sydney,AUS,0x1432faf68ab4b58da1da6b,https://iconosphere.io/details.json,prep@iconosphere.io,0,0x1,13998.0,19955991,72585376,ICONOsphere,hx95248f3757afcb50efa99f529183ba401a82273c,52.36.75.189:7100,0,17462834.688,0,57563089,57459294,https://iconosphere.io,24419264.167664867,873141.7344,main,6
hxf680ae11372c48afebbce77c9d8de455e1acc18a,0xd5abdcbfa37bda63c000,Singapore,SGP,0xd9372d3c5ef82af2ad2dc,https://grow3.io/prep/details.json,support@grow3.io,0,0x1,10000.0,37596324,72502831,GROW,hx4e39d214d1e682f2acba7a08c4f7591fb5baaade,18.142.22.234:7100,0,17421376.077362675,0,33168027,33128950,https://grow3.io,16412341.716662677,1009034.3607,main,7
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,0xd3c21bf253e010c10000,George Town,CYM,0xcf76bdd8f7e7fced1f654,https://binance.com/json,poolvip@binance.com,0,0x1,0.0,44121916,72511192,Binance Node,hx863b7ba01fded0c7139788df152662ae881b8be3,3.215.75.154:7100,0,16675524.13337853,0,27770880,27752857,https://binance.com,15675524.12337853,1000000.01,main,8
hxdc4b3fb5b47d6c14c7f9a0bac8eea9f3f48d3288,0xa52be27d76e24f800000,Singapore,SGP,0xcdc24805f8f6ef46e0bb4,https://techiast.com/json,contact@techiast.com,0,0x1,0.0,67872918,72585376,Techiast,hxdc4b3fb5b47d6c14c7f9a0bac8eea9f3f48d3288,185.194.101.191:7100,0,15600000.0,0,3999821,3929315,https://techiast.com,15546703.794663392,780000.0,main,9
hx3c58970034d5a923aa95058365450feed28979a2,0xb2acb568f61d8636c000,Sydney,AUS,0xb30bde8cd153abbaf59a8,https://gangstabet.io/details.json,hodl@gangstabet.io,0,0x1,10000.0,41610399,72584014,GangstaVerse,hxed7175f73f63ce8dfeede1db8c4b66179eb7a857,44.237.21.74:7100,0,14372127.962556124,0,29026774,28969911,https://gangstabet.io/,13528360.816656124,843767.1459,main,10
hx28c08b299995a88756af64374e13db2240bc3142,0x943b1377290cbd800000,Dunedin,NZL,0xba651d6671276951bb584,https://parrot9.com/PARROT9.json,hello@parrot9.com,0,0x1,14000.0,19769751,72558814,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,155.138.134.222:7100,0,14000000.0,0,49698000,49619763,https://parrot9.com,14083606.487524599,700000.0,main,11
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,0xab20e3faa061a1200000,Kyiv,UKR,0x8643ad8c3c992146c2db8,https://everstake.one/icon.json,inbox@everstake.one,0,0x1,14000.0,20174244,72548835,Everstake,hx3e9deb93255877805d8d81681b41bd2c14d65d0b,95.217.41.106:7100,0,10952860.127909835,0,58089159,57974393,https://everstake.one,10144728.735909835,808131.392,main,12
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,0x81c42f53b7bdcec50000,New York,USA,0x87cdbbebdff4a2c0bde8e,https://icon-staking-details.s3.us-west-2.amazonaws.com/icon-am/details.json,ICON.A.M@protonmail.com,0,0x1,50000.0,15285332,72585820,ICON Asset Management,hxd4382eb39497d2a3c924267d18908fd32e1f8c8f,95.179.159.177:7100,0,10873837.830567343,0,40095138,40031070,https://myicon.finance,10261033.582167344,612804.2484,main,13
hxe4c008b838e8a9a7c065f20f393974de4c86f917,0x7097e2c1148185218000,Wollongong,AUS,0x9c748834b6258c21866f5,https://faucet.reliantnode.com/static/details.json,team@reliantnode.com,0,0x1,14000.0,19688103,72583533,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,185.172.110.74:7100,0,10634136.876,0,55726754,55380690,https://www.reliantnode.com,11821420.932959605,531706.8438,main,14
hx2e7db537ca3ff73336bee1bab4cf733a94ae769b,0x94c30d2e834892cd0000,Melbourne,AUS,0x7a73ce2c6a9c8b458596b,https://www.eyeonicon.xyz/api/details.json,fez@fbdconsulting.com,0,0x1,0.0,56432892,72583130,Eye on ICON,hx2e7db537ca3ff73336bee1bab4cf733a94ae769b,65.21.202.45:7100,0,9954747.389921036,0,9038924,9029470,https://www.eyeonicon.xyz,9252239.085521035,702508.3044,main,15
hx6f89b2c25c15f6294c79810221753131067ed3f8,0x60e525fbf5f5ca938000,Paris,FRA,0x7ce9ca61818008c6b0e88,https://sharpn.tech/cdn/prepsdetailsv5.json,hello@staky.io,0,0x1,14000.0,20132195,72585376,Staky.io | Craft contributor,hx6f89b2c25c15f6294c79810221753131067ed3f8,167.71.4.34:7100,0,9151484.476,0,47675286,47393898,https://staky.io,9438177.89319145,457574.2238,main,16
hx31c429608c74501de13df5fea30bf1674460be50,0x622ae949920f65d7c000,Banglore,IND,0x722bc9af2c8a41a734d7e,https://icon-staking-details.s3.us-west-2.amazonaws.com/hugobyte/details.json,contact@hugobyte.com,0,0x1,10000.0,36747915,72553185,Hugobyte,hx56db2dfd4922817ac9a6543d0eabcced433b44ce,139.84.141.221:7100,0,9090103.839512862,0,16412485,16318737,https://hugobyte.com,8626520.350812864,463583.4887,main,17
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,0x5a58af77abaea795c000,Paris,FRA,0x712c7e78d6867706a936f,https://iconation.team/prep_mainnet.json,iconation.team@gmail.com,0,0x1,14000.0,19794346,72513598,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,52.47.90.20:7100,0,8532978.814,0,62195374,62138406,https://iconation.team,8551170.921171714,426648.9407,main,18
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,0x58f03ee118a13e800000,San Francisco,USA,0x8ec111122ec8958fc5c21,https://icon-staking-details.s3.us-west-2.amazonaws.com/sudoblock/details.json,info@sudoblock.io,0,0x1,14000.0,20429496,72584940,sudoblock,hx671f20ea01826591ed09988bd0229e3008f4fa47,139.180.142.57:7100,0,8400000.0,0,42062096,41860638,https://github.com/sudoblockio,10786199.876332846,420000.0,main,19
