rank,name,address,delegation,bond,power
1,ICON Foundation,hx0b047c751658f7ce1b2595da34d57a0e7dad357d,37708900.0319787,2000000.0,39708900.0319787
2,Binance Node,hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,19696062.176543526,1000000.01,20000000.2
3,ICONFi,hxf680ae11372c48afebbce77c9d8de455e1acc18a,18491812.94622642,1009034.3607,19500847.30692642
4,Everstake,hx8e6dcffdf06f850af5d372ac96389135e17d56d3,18274211.89638791,940691.713,18813834.26
5,GangstaBet,hx3c58970034d5a923aa95058365450feed28979a2,16284224.876680072,1134020.1914,17418245.06808007
6,ICONOsphere,hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,15990386.091105295,685406.8057,13708136.114
7,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,12619796.069071537,664061.6271,13281232.542
8,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,13127056.128035463,624383.2596,12487665.192
9,ICON Asset Management,hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,10761257.325466918,615105.513,11376362.838466918
10,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,14244816.466518944,430000.0,8600000.0
11,Protokol7,hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,7144183.761227769,399053.176,7543236.93722777
12,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,6308438.512602202,359086.405,6667524.917602201
13,sudoblock,hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,6240468.381291045,325000.0,6500000.0
14,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,6031443.993283049,421706.8438,6453150.837083049
15,MouseBelt | Multi.io,hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,5804795.1237055855,364082.1361,6168877.259805585
16,VELIC,hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,5551153.244417151,319997.9963,5871151.240717151
17,Metanyx,hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,5551718.289779172,288350.0,5767000.0
18,ICON Pinas,hx0a72c03881451a6270d4895f756085470fc311e4,6139145.652045804,280882.0,5617640.0
19,RHIZOME,hx4a43790d44b07909d20fbcc233548fc80f7a4067,4981489.428032249,287388.3997,5268877.827732249
20,Staky.io (ex Sharpn),hx6f89b2c25c15f6294c79810221753131067ed3f8,4649697.316980648,468444.6114,5118141.928380648
21,Stakin,hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,11493650.35429057,234000.0,4680000.0
24,Trustseers,hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,4292151.804006092,272734.221,4564886.025006092
29,Hugobyte,hx31c429608c74501de13df5fea30bf1674460be50,4232829.624027562,213583.4887,4271669.774
