validator,validator_name,cum_votes_update,,
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,52521580.42,,52141796.16
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37357834.83,,36815550.37
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,22114036.33,,21387788.6
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,20643113.4,,21255576.21
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,18298464.86,,16867410.01
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,16429892.55,,15017703.61
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,16297529.05,,14980383.93
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,14267135.69,,14919325.81
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13570732.51,,12183727.07
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,8512059.41,,8652619.793
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,8426856.177,,8544424.899
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,7661094,,8512119.694
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,6215138.973,,7001375.129
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,5782424.922,,5873572.185
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,5578251.927,,5386911.036
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5172463.341,,5130345.043
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,4938520.151,,5078620.561
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,4732668.317,,4594765.711
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,4220286.542,,4060583.731
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,3917181.865,,3645014.847
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,3807522.752,,3609664.76
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),3748085.238,,3239071.067
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,3667759.695,,3104852.085
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2888741.723,,2982109.206
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Sesameseed,2845569.961,,2552893.599
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,2593515.682,,2493567.783
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2507466.198,,2492911.995
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,2222013.61,,2343591.477
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,2183193.427,,2148470.055
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOWIZ,2182578.669,,2074371.985
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,2169137.523,,2069994.975
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2064292.436,,1966596.529
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1666988.579,,1947020.99
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT (iconviet),1648702.59,,1570576.505
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,1472753.228,,1451579.114
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,1387189.498,,1308493.195
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,1331262.166,,1279401.377
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,1308000.314,,1262522.793
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,1296276.487,,1208150.8
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),1288388.625,,1204847.273
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,1248381.76,,1198766.1
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,1218464.361,,1135702.323
hxa1c5965588ea0615e64313a770c20b069033db7b,OZYS node,1198777.147,,1111968.789
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),1157119.017,,1105599.981
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,1078305.083,,1089778.639
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,1047293.425,,1065149.333
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,1042359.579,,963237.6882
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,1041786.665,,951220.1834
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,989009.5557,,935072.2109
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,901938.6716,,926142.1966
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,893753.8643,,918995.5578
hxca60d4371ad90d624dc7119f81009d799c168aa1,devshack,848075.05,,880989.2872
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,844681.5581,,875002.1728
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,774634.036,,788156.3971
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,772666.8789,,769541.9452
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,736702.2535,,721756.0465
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,718102.5906,,688456.8159
hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,Transform Group,714620.1586,,660418.1315
hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,TEMPO,713394.1296,,642548.5091
hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,ICXburners  (We burn our node rewards!),708760.2735,,623770.5506
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,689280.543,,616464.6369
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,681984.2371,,591347.7434
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos / EPICX,668455.7368,,578969.7662
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,665535.9581,,568921.2106
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,662703.8803,,565802.0221
hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,ICON France,657316.5874,,563951.9435
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,635791.8771,,541320.938
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,633605.5175,,536325.6556
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,633512.5152,,528650.051
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,622160.7168,,518334.2852
hx5f4e22b12f50da1927660eaafb87aa8a1bc91610,ICON WHALE,612122.5819,,508452.3492
hxd2de5d155251ff62bf2f6c2aa616da6472886165,Chainode Tech,602326.4711,,507311.107
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,590479.7469,,494827.4336
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,587966.7406,,491409.137
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,578143.7481,,481838.3586
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,578083.4383,,480383.8643
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,567337.0812,,472776.4632
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,556513.7698,,469788.7568
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,539400.7336,,452190.1864
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},535382.7691,,442915.3889
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,ICON Slovenia,510102.6838,,439356.2951
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,503269.8283,,423682.517
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,494242.2034,,412534.627
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,489388.8983,,403492.1835
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,PiconbelloDAO,459535.7887,,384174.5605
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,447396.5718,,372569.0944
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,437613.8713,,362728.0313
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,435468.3685,,339071.0872
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,425489.2341,,336863.2439
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,398581.0795,,321097.4763
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,395185.0923,,310085.3814
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,368670.5682,,307596.3998
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,356561.7638,,270583.5511
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,333560.2106,,256605.2971
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,306535.8952,,240979.6465
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,270333.7114,,209347.4984
hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,Bara-Node,252780.6654,,206808.7463
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,243076.1055,,172235.6436
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,234480.1935,,153690.6551
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,180061.7248,,151563.5335
hxc1717a36b5288b92586b93d3c20f247b2bab1a26,ICONPool,158107.0581,,132325.571
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,133466.063,,100582.2011
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,99349.85598,,99935.52507
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,99162.49192,,93917.0569
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,93357.7435,,91875.60609
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,90997.03853,,88901.541
hx42805d6c22012d5bd56cdab423da9fde5850622f,Noris,88321.6769,,86144.46833
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),86411.15235,,84280.88408
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,85161.52644,,82727.80295
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,83486.17966,,82441.78996
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,75812.4062,,82422.61994
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,71843.62218,,79297.47387
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,70491.77523,,74828.57916
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,68976.79468,,67708.92487
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,65683.77098,,61804.979
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,62751.67797,,61659.7288
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,62430.64311,,55276.17708
