validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,37091817.54021717,2000000.0,39091817.54021717
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2,23985750.028623786,1156415.4028,23128308.056
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,3,21806656.126335524,1133900.1914,22678003.828
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,4,14537501.90217236,1000000.01,15537501.91217236
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,5,18362910.33987894,909034.3644,18180687.288
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,6,14990141.859102774,883691.713,15873833.572102774
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,7,17717766.104885895,595822.7382,11916454.764
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,8,11913097.298392726,589770.1472,11795402.944
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,9,15566314.762943072,430000.0,8600000.0
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,10,7363615.268985933,421706.8438,7785322.112785933
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,11,7615644.521792609,387148.9949,7742979.898
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,12,6128692.350413264,364082.1361,6492774.486513264
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,13,6636458.492092131,359086.405,6995544.89709213
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,sudoblock,14,6588637.4051520405,325000.0,6500000.0
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,15,10389811.631000388,323396.3701,6467927.402
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,16,5367479.719142523,319997.9963,5687477.715442523
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,17,5757789.819613897,295205.7649,5904115.298
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,18,6704559.721370582,288350.0,5767000.0
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,19,5580768.786686313,280882.0,5617640.0
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,20,5983508.039194144,272734.221,5454684.42
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),21,5492630.156987733,268544.6114,5370892.228
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,22,8276398.86366108,234000.0,4680000.0
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,23,3551648.8265878954,226488.3184,3778137.1449878956
hx15686bf1f501115a2b5de381a20edc1963cb2ec3,ICONbet,24,3794515.0132019985,200000.0,3994515.0132019985
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,25,3067913.3298655846,195649.3107,3263562.6405655844
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,26,3150784.5215413193,162080.0,3241600.0
