block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21521240,hxb48997831c200ce79f8631629a71cf618aee2b5e,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,32.3832,1595015567,2020-07-17 19:52:47,Fri
21518640,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-200,1595010324,2020-07-17 18:25:24,Fri
21514885,hx9d68ac0ab038211c623d19a1a539dd11a5b51c07,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,0.033,1595002745,2020-07-17 16:19:05,Fri
21506343,hx03151dfed5d5d6a4116bcdf28e04d37d3b6e4085,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,5.086730128810873166,1594985498,2020-07-17 11:31:38,Fri
21499392,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-150,1594971452,2020-07-17 07:37:32,Fri
21497977,hx27e6bb7330c32c3d2e57319eb5084936b3854027,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,24.562825195004092224,1594968596,2020-07-17 06:49:56,Fri
21479780,hx9d68ac0ab038211c623d19a1a539dd11a5b51c07,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,0.0315,1594931888,2020-07-16 20:38:08,Thu
21466444,hxf13a4d73ecb78660e9bfd1f75a8ec719f8c3a01e,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,500,1594904916,2020-07-16 13:08:36,Thu
21466224,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,100,1594904471,2020-07-16 13:01:11,Thu
21466160,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-350,1594904342,2020-07-16 12:59:02,Thu
