block_id,delegator,validator,validator_name,votes,created_at,datetime,day
24698598,hxa536dc88845fa9fb1a34d262f7343f8ca694d06b,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,498.6228,1601442793,2020-09-30 05:13:13,Wed
24534896,hx32b81c94e954d34152c8e117b635dc4d8b72fb8d,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,12.4222,1601112463,2020-09-26 09:27:43,Sat
24506211,hxa536dc88845fa9fb1a34d262f7343f8ca694d06b,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,55.7715,1601054489,2020-09-25 17:21:29,Fri
24387593,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,10.661,1600813783,2020-09-22 22:29:43,Tue
24377703,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,181.0186,1600793825,2020-09-22 16:57:05,Tue
24349419,hx6bbfa9feb27746616afecef44b78dcf97566dd24,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,16.4907,1600736736,2020-09-22 01:05:36,Tue
24295796,hx39f3dcd78d888f1a6f22904376c756bcdaff5251,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,1.5928,1600628504,2020-09-20 19:01:44,Sun
24256740,hx7285209e0a8c170e5babb59c3963352ef44baf54,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,91,1600549661,2020-09-19 21:07:41,Sat
24063169,hx28a57363ec852ad8152944004b3691e4d21054d6,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-3832,1600158285,2020-09-15 08:24:45,Tue
24063021,hx340c5c59a101020cbe53705c44264887ce9cfe95,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,10183.4765,1600157987,2020-09-15 08:19:47,Tue
24028114,hx32b81c94e954d34152c8e117b635dc4d8b72fb8d,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,1.9539,1600087485,2020-09-14 12:44:45,Mon
24012663,hx28a57363ec852ad8152944004b3691e4d21054d6,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-668,1600056280,2020-09-14 04:04:40,Mon
24011774,hx28a57363ec852ad8152944004b3691e4d21054d6,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-500,1600054487,2020-09-14 03:34:47,Mon
23968034,hx32b81c94e954d34152c8e117b635dc4d8b72fb8d,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,356.2081,1599966207,2020-09-13 03:03:27,Sun
23944893,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-128,1599919319,2020-09-12 14:01:59,Sat
23944820,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,128,1599919170,2020-09-12 13:59:30,Sat
23937045,hx32b81c94e954d34152c8e117b635dc4d8b72fb8d,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,7.8836,1599903468,2020-09-12 09:37:48,Sat
23901771,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-128,1599832258,2020-09-11 13:50:58,Fri
23901694,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,128,1599832100,2020-09-11 13:48:20,Fri
23858654,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-128,1599745210,2020-09-10 13:40:10,Thu
23858562,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,128,1599745022,2020-09-10 13:37:02,Thu
23833343,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,3.601,1599694008,2020-09-09 23:26:48,Wed
23815581,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-128,1599658145,2020-09-09 13:29:05,Wed
23815375,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,1128,1599657727,2020-09-09 13:22:07,Wed
23773112,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,-100,1599571944,2020-09-08 13:32:24,Tue
23772284,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,600,1599570269,2020-09-08 13:04:29,Tue
23772166,hx28a57363ec852ad8152944004b3691e4d21054d6,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,3500,1599570031,2020-09-08 13:00:31,Tue
23674414,hx39f3dcd78d888f1a6f22904376c756bcdaff5251,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,2.3104,1599371295,2020-09-06 05:48:15,Sun
23636806,hx247e7c6b63c63d5b04c539373a0fbcffbdedd358,hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,108500,1599295232,2020-09-05 08:40:32,Sat
