block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21468659,hxb2c81647a186d6399ffee09debf8a1f8ed96d8cd,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,1224.412731409214472192,1594909384,2020-07-16 14:23:04,Thu
21396696,hx2d3064d58d0a13324a657c6bf5188632ea3bc03f,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,55.1053,1594763906,2020-07-14 21:58:26,Tue
21376589,hx6a5779dc5e8bd32d7fcbd02cbb7467333e2b077f,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,13.6293,1594723323,2020-07-14 10:42:03,Tue
21308670,hxb2c81647a186d6399ffee09debf8a1f8ed96d8cd,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,50.520857252307402752,1594585953,2020-07-12 20:32:33,Sun
21289467,hx12b8ff937c2d2fae7b24ec5407f3cc7920748545,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,466.8916,1594547190,2020-07-12 09:46:30,Sun
21289302,hx95e40f94ef09c2d0a3265fdacdbf9b8fe865d577,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,588.2585,1594546857,2020-07-12 09:40:57,Sun
21271879,hx9653047f2c8046db924170d2cca39d3d56f13676,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,11.1304,1594511633,2020-07-11 23:53:53,Sat
21251501,hx6567617b3596f816480e21eb0f02218d21605a13,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,0.7082,1594470538,2020-07-11 12:28:58,Sat
21251476,hx52c7d06f8c244b8df4ec1b26571b17e988e83fce,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,0.0007,1594470488,2020-07-11 12:28:08,Sat
21251448,hx52c7d06f8c244b8df4ec1b26571b17e988e83fce,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,0.0521,1594470431,2020-07-11 12:27:11,Sat
21251390,hxbe7f43d5a49c341b5d6cbb5673a4344eb1674388,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,0.051,1594470315,2020-07-11 12:25:15,Sat
21251013,hx43a81a4580b04ad52a688f34c3ff388e5d850c2f,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,0.1001,1594469555,2020-07-11 12:12:35,Sat
