block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21499282,hx1019b1f3e6878528f1a7ae712460afb85f47a72f,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,4.9416,1594971230,2020-07-17 07:33:50,Fri
21489075,hx32b211e61c8d31eafe9232874faf54fc479a2d0c,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,90.9328,1594950641,2020-07-17 01:50:41,Fri
21468659,hxb2c81647a186d6399ffee09debf8a1f8ed96d8cd,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,114.766108913584570368,1594909384,2020-07-16 14:23:04,Thu
21414047,hx1019b1f3e6878528f1a7ae712460afb85f47a72f,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,2.4611,1594799038,2020-07-15 07:43:58,Wed
21395762,hx45ba1f9fd5ac8b6d50a4ed31e3239833cd62b5b9,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,12.8922,1594762022,2020-07-14 21:27:02,Tue
21385309,hx07bd3f29a7108e8a5d154c516d5f930c8564552d,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,22.8172,1594740927,2020-07-14 15:35:27,Tue
21382903,hx1019b1f3e6878528f1a7ae712460afb85f47a72f,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,17.3038,1594736070,2020-07-14 14:14:30,Tue
21340487,hxcdd5d283dd721b49079863cb695d80ed3ce59d35,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,2404.7492,1594650205,2020-07-13 14:23:25,Mon
21308670,hxb2c81647a186d6399ffee09debf8a1f8ed96d8cd,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,115.331785655842766848,1594585953,2020-07-12 20:32:33,Sun
21251448,hx52c7d06f8c244b8df4ec1b26571b17e988e83fce,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,0.0521,1594470431,2020-07-11 12:27:11,Sat
21197672,hx81cc6c98a625053b0d1e472f6bde7f8b84353c45,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,4.495221857183596544,1594361247,2020-07-10 06:07:27,Fri
21183539,hxe0421ef53f82cd132de864487f6fcf8bb34f06d7,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,1265.944,1594332355,2020-07-09 22:05:55,Thu
21119808,hxe0421ef53f82cd132de864487f6fcf8bb34f06d7,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,663.4223,1594203548,2020-07-08 10:19:08,Wed
21119725,hxfbc0e854c53fc7de2a0b63373053d557e638cd32,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,-123.2856,1594203381,2020-07-08 10:16:21,Wed
21119148,hx3bd417ec8b0307684956e6e45d12966300b7f837,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,30,1594202216,2020-07-08 09:56:56,Wed
21111522,hx07bd3f29a7108e8a5d154c516d5f930c8564552d,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,1.1254,1594186827,2020-07-08 05:40:27,Wed
21110635,hxed492abf1f136cad741f6695c4eca056cb9f3569,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,116.724,1594185038,2020-07-08 05:10:38,Wed
21072204,hx1019b1f3e6878528f1a7ae712460afb85f47a72f,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,34.8295,1594107411,2020-07-07 07:36:51,Tue
21054709,hx095f0645da79b94ca5ca30a56386a0cd2299da5c,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,1875.876049276819734528,1594072104,2020-07-06 21:48:24,Mon
20989670,hxb3a486783b7d0c0c4fec74c98c50c717568edadb,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,-8618.2913,1593940660,2020-07-05 09:17:40,Sun
20957945,hx3bd417ec8b0307684956e6e45d12966300b7f837,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,20,1593876650,2020-07-04 15:30:50,Sat
20866127,hxfb0660c9cf9646c638a37591c4efd6e5999fdce9,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,-50,1593691102,2020-07-02 11:58:22,Thu
20865925,hxfb0660c9cf9646c638a37591c4efd6e5999fdce9,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,-23.9513,1593690695,2020-07-02 11:51:35,Thu
20828132,hx45ba1f9fd5ac8b6d50a4ed31e3239833cd62b5b9,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,-18.2671,1593614207,2020-07-01 14:36:47,Wed
20811132,hx6e0a36493b252832790bcb9517fefc691a9840c3,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,127.9526,1593579888,2020-07-01 05:04:48,Wed
20752683,hxdbe63a2fca42c3caad4589c2f0a82a0fd6f27a44,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,492.1300489506926592,1593461686,2020-06-29 20:14:46,Mon
20689340,hx52c7d06f8c244b8df4ec1b26571b17e988e83fce,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,0.0282,1593333789,2020-06-28 08:43:09,Sun
20684016,hxa27514d636ec57d7f96caaba26c066253bd5effe,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,127.7904,1593323033,2020-06-28 05:43:53,Sun
20671629,hxcdd5d283dd721b49079863cb695d80ed3ce59d35,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,1364.5166,1593298007,2020-06-27 22:46:47,Sat
20557645,hx081ddbcd1afc9f7d6d005d07779c9c5e1cbaa91a,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,770.0782,1593067495,2020-06-25 06:44:55,Thu
20549657,hxfbc0e854c53fc7de2a0b63373053d557e638cd32,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,73.2856,1593051383,2020-06-25 02:16:23,Thu
20508881,hxfbc0e854c53fc7de2a0b63373053d557e638cd32,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,50,1592969103,2020-06-24 03:25:03,Wed
20483717,hxc0bc26c736a11047f7a179531d05562665769acc,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,98.1504,1592918272,2020-06-23 13:17:52,Tue
20473424,hx1019b1f3e6878528f1a7ae712460afb85f47a72f,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,22.5161,1592897437,2020-06-23 07:30:37,Tue
20395910,hx52c7d06f8c244b8df4ec1b26571b17e988e83fce,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,0.0283,1592741008,2020-06-21 12:03:28,Sun
20356903,hxf3b16945dc73853fb16f3a39e6a63f30e197d0ed,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,-777,1592662119,2020-06-20 14:08:39,Sat
