block_id,delegator,validator,validator_name,votes,created_at,datetime,day
26496104,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,22.1396,1605072516,2020-11-11 05:28:36,Wed
26419460,hxb052c4eb0eaa73180c3d6da4f8f05f60d657b416,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,5.283390865975279616,1604917543,2020-11-09 10:25:43,Mon
26393768,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,-20.219,1604865723,2020-11-08 20:02:03,Sun
26350585,hx8f37d7d91eae1d4e1d819161b17ef27077cd9618,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,1444.8889,1604778591,2020-11-07 19:49:51,Sat
26350518,hx8f37d7d91eae1d4e1d819161b17ef27077cd9618,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,-1285.7396,1604778455,2020-11-07 19:47:35,Sat
26326942,hxda5b699526419675b198f83fb6f5ab39ea4b7aad,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,4.5594,1604730892,2020-11-07 06:34:52,Sat
26272080,hx6f14ffadd92861068f841977cbff6264e9d5b065,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,3.6771,1604620185,2020-11-05 23:49:45,Thu
26217922,hx8f37d7d91eae1d4e1d819161b17ef27077cd9618,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,1285.7396,1604510880,2020-11-04 17:28:00,Wed
26142438,hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,10,1604358458,2020-11-02 23:07:38,Mon
26137612,hxe63a21a400b8e60d6d0cc9887898959d7a4a2327,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,333.8134,1604348734,2020-11-02 20:25:34,Mon
26112509,hxda5b699526419675b198f83fb6f5ab39ea4b7aad,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,2.7278,1604298124,2020-11-02 06:22:04,Mon
26102516,hxdbe63a2fca42c3caad4589c2f0a82a0fd6f27a44,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,420.874086736096919552,1604277970,2020-11-02 00:46:10,Mon
25978761,hxda5b699526419675b198f83fb6f5ab39ea4b7aad,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,4.5486,1604028259,2020-10-30 03:24:19,Fri
25945449,hxb2657f295d13eb0c21e884a2c4e9515923c7648b,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,60,1603961064,2020-10-29 08:44:24,Thu
25940262,hxece32238259e951b9931aee279d0d81e43a26990,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,30,1603950597,2020-10-29 05:49:57,Thu
25771776,hxda5b699526419675b198f83fb6f5ab39ea4b7aad,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,2.728,1603610377,2020-10-25 07:19:37,Sun
25736235,hx0a0912873421366e36c2782d0ba68edd824fc5d6,hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,14.928,1603538556,2020-10-24 11:22:36,Sat
