block_id,delegator,validator,validator_name,votes,created_at,datetime,day
25940262,hxece32238259e951b9931aee279d0d81e43a26990,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,50,1603950597,2020-10-29 05:49:57,Thu
25795998,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-450,1603659293,2020-10-25 20:54:53,Sun
25712539,hx1bd96e570e6751b996c6be1712d0713878a49227,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,6.3958,1603490715,2020-10-23 22:05:15,Fri
25696139,hxc264675c1ce824ac3c6368ab0f4aa0ae5eac25d3,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-12.946162277853167616,1603457607,2020-10-23 12:53:27,Fri
25687917,hx81b57aafe08f303078034530e01326beed95f6eb,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,34.5,1603441021,2020-10-23 08:17:01,Fri
25663908,hx0a04cd59ee74e7cef5b3b5617c9a4e3f0ae48a14,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-1923.3677,1603392587,2020-10-22 18:49:47,Thu
25561968,hx94331572967975bde715bff94c79753b7adfe692,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1.9049,1603186782,2020-10-20 09:39:42,Tue
25530625,hxdd755c3ffc1cd0b0f9ac270d508321559d6f469f,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,100,1603123530,2020-10-19 16:05:30,Mon
25473252,hxdd755c3ffc1cd0b0f9ac270d508321559d6f469f,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-80,1603007790,2020-10-18 07:56:30,Sun
25454668,hxa7b7a53c0cc78d39fc8e9d9444890fe7733e9142,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1650.1025,1602970303,2020-10-17 21:31:43,Sat
25280255,hx38c59ac4e581ff1f421f91295dc18987dcc6f7da,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,0.72629992919400448,1602618221,2020-10-13 19:43:41,Tue
25257748,hxb14f49468ed6f61f0d1e4b842baa40fa3134a32c,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-198.1944,1602572647,2020-10-13 07:04:07,Tue
25229800,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-114.1,1602516105,2020-10-12 15:21:45,Mon
25229275,hxb3016bfc411bdd316d626ee9925ff4d85f414d91,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-1500,1602515045,2020-10-12 15:04:05,Mon
25219937,hxb14f49468ed6f61f0d1e4b842baa40fa3134a32c,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,198.1944,1602496190,2020-10-12 09:49:50,Mon
25198422,hxa7b7a53c0cc78d39fc8e9d9444890fe7733e9142,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,4522.0535,1602452499,2020-10-11 21:41:39,Sun
25157063,hx463b1ee3016d7244516413acc69de2f1cdb268fd,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,96.8283,1602369013,2020-10-10 22:30:13,Sat
24899951,hx0a04cd59ee74e7cef5b3b5617c9a4e3f0ae48a14,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1081.8944,1601849248,2020-10-04 22:07:28,Sun
24899859,hx0a04cd59ee74e7cef5b3b5617c9a4e3f0ae48a14,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,841.4733,1601849062,2020-10-04 22:04:22,Sun
24846446,hxbc89a8b1f8d0319d3a8fa16315b73c6d3555a6e9,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,14.1976,1601741247,2020-10-03 16:07:27,Sat
24769520,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2.4,1601585932,2020-10-01 20:58:52,Thu
24654171,hx463b1ee3016d7244516413acc69de2f1cdb268fd,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,128.7943,1601353126,2020-09-29 04:18:46,Tue
24638359,hxb6bbf2d62bd2420fd8a49eda016c7c495c1966d9,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,107.110719622775570432,1601321235,2020-09-28 19:27:15,Mon
24637525,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2.5,1601319553,2020-09-28 18:59:13,Mon
24601556,hxc1fbb9a9fceb198e6b7779cb2266ab389a30590e,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-439.283077978555154432,1601246962,2020-09-27 22:49:22,Sun
24481088,hxa7b7a53c0cc78d39fc8e9d9444890fe7733e9142,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,43046.997,1601003659,2020-09-25 03:14:19,Fri
24469497,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1.8,1600980193,2020-09-24 20:43:13,Thu
24468183,hxa7b7a53c0cc78d39fc8e9d9444890fe7733e9142,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2823.8738,1600977542,2020-09-24 19:59:02,Thu
24458190,hxfcc3d51d88836da45c45837c6fc083986f3ebe11,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,8.4205,1600957368,2020-09-24 14:22:48,Thu
24423798,hxc901e9ea94b5ebe3a1d6b547ff918896dc18d499,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,3.6542,1600886939,2020-09-23 18:48:59,Wed
24389212,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2.8,1600817047,2020-09-22 23:24:07,Tue
24387593,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,10.6321,1600813783,2020-09-22 22:29:43,Tue
24377703,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,60.3395,1600793825,2020-09-22 16:57:05,Tue
24349419,hx6bbfa9feb27746616afecef44b78dcf97566dd24,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,16.4908,1600736736,2020-09-22 01:05:36,Tue
24335653,hx63ee9c5079a466af7bfe6ec0b6fcc627244ca55b,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,5.2441,1600708957,2020-09-21 17:22:37,Mon
24310812,hx3c117f6c88806a9a37f5602ab884568d71138239,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,346.8427,1600658820,2020-09-21 03:27:00,Mon
24310552,hx3c117f6c88806a9a37f5602ab884568d71138239,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,4,1600658295,2020-09-21 03:18:15,Mon
24286831,hx39fbc863e6901524ee8d9d4ad52a71689ae14bd3,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-292.325,1600610413,2020-09-20 14:00:13,Sun
24248349,hx3bd417ec8b0307684956e6e45d12966300b7f837,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,150,1600532730,2020-09-19 16:25:30,Sat
24231322,hxb0d886f01ca2697ce9961232a754bb3923142128,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,157.7947,1600498354,2020-09-19 06:52:34,Sat
24218435,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1.2,1600472331,2020-09-18 23:38:51,Fri
24213382,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,57.1701,1600462130,2020-09-18 20:48:50,Fri
24168068,hx21a3b7ff574c3a0fd3319b1eec5e4952c5143067,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,24.5998,1600370220,2020-09-17 19:17:00,Thu
24161367,hxea8f7ac03a1f42f32abb76252fa4bc18e72e2890,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2355.6939,1600356682,2020-09-17 15:31:22,Thu
24134513,hx136bdd0a8b9175e020ecb3a39c82f4434be680eb,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,87.8943,1600302362,2020-09-17 00:26:02,Thu
24133330,hxc91416ff8389d0ccce040309238559769770bd71,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,3.4,1600299971,2020-09-16 23:46:11,Wed
24120113,hx94331572967975bde715bff94c79753b7adfe692,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1.5755,1600273278,2020-09-16 16:21:18,Wed
24001602,hx2e46042c71bafe46a60b76bdd32185a6796131f3,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-1071.4738,1600033958,2020-09-13 21:52:38,Sun
23993740,hxa7b7a53c0cc78d39fc8e9d9444890fe7733e9142,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2804.056,1600018100,2020-09-13 17:28:20,Sun
23907954,hxb3016bfc411bdd316d626ee9925ff4d85f414d91,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,2000,1599844738,2020-09-11 17:18:58,Fri
23869121,hx2e46042c71bafe46a60b76bdd32185a6796131f3,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,1071.4738,1599766333,2020-09-10 19:32:13,Thu
23833343,hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,-10.5827,1599694008,2020-09-09 23:26:48,Wed
