block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21562928,hx32b211e61c8d31eafe9232874faf54fc479a2d0c,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,20.1726,1595099741,2020-07-18 19:15:41,Sat
21545291,hxa84bf4ac16b715ac3b00f814204a6a6f40219334,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,50,1595064082,2020-07-18 09:21:22,Sat
21543943,hxb05e33547e38a1dc4782d48a8282d95777ad87df,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,41.5488,1595061364,2020-07-18 08:36:04,Sat
21539003,hx6ffe345e88bf27fd1b3c048ebba5039aaa6cbffe,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,1953,1595051402,2020-07-18 05:50:02,Sat
21530668,hx7e898f99e24446738945998c8f5299049e8d699e,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,6.7235,1595034590,2020-07-18 01:09:50,Sat
21517633,hxa91c24c52f434deac94ac359148d371fa66f299e,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,943.0523,1595008293,2020-07-17 17:51:33,Fri
21512005,hx6a2cf16316c31297496a32534ea4a9162160ca39,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,226.2,1594996931,2020-07-17 14:42:11,Fri
21489075,hx32b211e61c8d31eafe9232874faf54fc479a2d0c,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,20.2355,1594950641,2020-07-17 01:50:41,Fri
21487577,hx7e898f99e24446738945998c8f5299049e8d699e,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,6.7353,1594947619,2020-07-17 01:00:19,Fri
21478748,hx2fd0b7c84ca74de6dffbe9f5968f79d961517253,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,245.9208,1594929806,2020-07-16 20:03:26,Thu
