block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21472474,hx6d2240f9c5fd0db5df6977ee586c3d74e1b1e4aa,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,183999.54,1594917082,2020-07-16 16:31:22,Thu
21434305,hxe4e48d13ad63c67b8f24c72d6325300425c6a3ca,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,300.0461,1594839940,2020-07-15 19:05:40,Wed
21338670,hxbdf3b05089943b5cbab870ac5048eaf5d1d325c0,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,-5000,1594646540,2020-07-13 13:22:20,Mon
21261135,hx405078a3795b3a1c1a589f92f4263eb367631513,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,200,1594489966,2020-07-11 17:52:46,Sat
21159815,hxc1481b2459afdbbde302ab528665b8603f7014dc,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,2000000,1594284392,2020-07-09 08:46:32,Thu
21123312,hxbdf3b05089943b5cbab870ac5048eaf5d1d325c0,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,-5000,1594210620,2020-07-08 12:17:00,Wed
20699345,hx8edec0f308588fd6afbe9874bd4643c0461b2185,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,15.9992,1593353990,2020-06-28 14:19:50,Sun
20533860,hxe9181860e17d3913c5195aea8d276e14816c625a,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,4.9157,1593019511,2020-06-24 17:25:11,Wed
20427288,hxe9181860e17d3913c5195aea8d276e14816c625a,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,7.0001,1592804335,2020-06-22 05:38:55,Mon
20402406,hx120c1887fd10989ddb97c3ed13e3ae4471e26d35,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,149.7012,1592754117,2020-06-21 15:41:57,Sun
20273966,hxbdf3b05089943b5cbab870ac5048eaf5d1d325c0,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,50000,1592494728,2020-06-18 15:38:48,Thu
