block_id,delegator,validator,validator_name,votes,created_at,datetime,day
24768293,hxb0b02a5a3bb8399162e508beb25e48e66c926dc9,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,3.784,1601583458,2020-10-01 20:17:38,Thu
24767933,hx31353603fb6a7943652efa55ea833aa3b549e35f,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,23.0384,1601582732,2020-10-01 20:05:32,Thu
24764726,hxdb580db3b61a6c057402496bd597fc0e1291eb55,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,450.045,1601576264,2020-10-01 18:17:44,Thu
24757157,hx6f5ca4335069fa68dc7fc65539f5e361624b973b,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,-3671.1551,1601560987,2020-10-01 14:03:07,Thu
24756693,hx6f5ca4335069fa68dc7fc65539f5e361624b973b,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,3671.1551,1601560051,2020-10-01 13:47:31,Thu
24754833,hx92e900b2c47e15f85cb98c66eede136f8a4a6c13,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,1815.7487,1601556293,2020-10-01 12:44:53,Thu
24728733,hxde7d946b7bd37ffef13c6f77fe13e49f62b87d5d,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,-2880,1601503590,2020-09-30 22:06:30,Wed
24727455,hx8d31ff7d6f5c206bd9a04e0d7048d636d9710a78,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,7.133,1601501014,2020-09-30 21:23:34,Wed
24727205,hxb0b02a5a3bb8399162e508beb25e48e66c926dc9,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,7.5976,1601500510,2020-09-30 21:15:10,Wed
24719057,hxde7d946b7bd37ffef13c6f77fe13e49f62b87d5d,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,3600,1601484066,2020-09-30 16:41:06,Wed
24707621,hx2d3064d58d0a13324a657c6bf5188632ea3bc03f,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,199.0708,1601460994,2020-09-30 10:16:34,Wed
24688805,hx9d68ac0ab038211c623d19a1a539dd11a5b51c07,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,0.03,1601423043,2020-09-29 23:44:03,Tue
24687092,hxfa3837b156c6b3243a2578663167716a9c97d6ee,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,0.362,1601419588,2020-09-29 22:46:28,Tue
24679779,hxc71b0673d7917aed4a690e5b5b8aac23859bb154,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,70.9814,1601404839,2020-09-29 18:40:39,Tue
24677979,hxb92fb2e05f0b66b5c9fb6a81ec73c868ba15f5ee,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,1.5177,1601401209,2020-09-29 17:40:09,Tue
24662020,hx070a4cbb8a46623f01c081656265303109643068,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,-2630.3946,1601368994,2020-09-29 08:43:14,Tue
24645572,hx9d68ac0ab038211c623d19a1a539dd11a5b51c07,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,0.03,1601335783,2020-09-28 23:29:43,Mon
24642282,hxd3a1053f1ecf14c372778b69459b3ee8064b3e61,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,0.3177,1601329151,2020-09-28 21:39:11,Mon
24636593,hxb0b02a5a3bb8399162e508beb25e48e66c926dc9,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,7.5978,1601317673,2020-09-28 18:27:53,Mon
24631020,hx86197051316ac7b272a6dcc13aac5707d83f1054,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,3.4322,1601306425,2020-09-28 15:20:25,Mon
24630951,hxdba97c5de449e55fe523ff9e9ec828ed4dab7c67,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,176.0844,1601306286,2020-09-28 15:18:06,Mon
24613534,hxeb7b3228d275b8a09ce81d437deb86e4393fee03,hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,-2.8593,1601271136,2020-09-28 05:32:16,Mon
