block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21510706,hxc5caa77993d91e02a6c1b2d6fbb4df591d723029,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,6.5512,1594994310,2020-07-17 13:58:30,Fri
21510427,hxc5caa77993d91e02a6c1b2d6fbb4df591d723029,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,13.468,1594993747,2020-07-17 13:49:07,Fri
21448254,hx33730c7834a51afa8f395d47ea87087bacfda9de,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,5.9985,1594868146,2020-07-16 02:55:46,Thu
21312860,hxcfcc908c5172e704b2c7bdb7f12b6fc672a17cdb,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,5.297,1594594400,2020-07-12 22:53:20,Sun
21300648,hx871a91aca9bd09d3480c39103db46e941ff65fc1,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-10,1594569768,2020-07-12 16:02:48,Sun
21300522,hx871a91aca9bd09d3480c39103db46e941ff65fc1,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,10,1594569513,2020-07-12 15:58:33,Sun
21272858,hx33730c7834a51afa8f395d47ea87087bacfda9de,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,4.4326,1594513608,2020-07-12 00:26:48,Sun
21249735,hxc5caa77993d91e02a6c1b2d6fbb4df591d723029,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,9.5523,1594466977,2020-07-11 11:29:37,Sat
21239649,hx9c9d5309ef3381e7e5d9a79c11835c0b5636abcc,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,0.2106,1594446629,2020-07-11 05:50:29,Sat
21239628,hx9c9d5309ef3381e7e5d9a79c11835c0b5636abcc,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,226.3141,1594446587,2020-07-11 05:49:47,Sat
21238530,hx9c9d5309ef3381e7e5d9a79c11835c0b5636abcc,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,486.398,1594444372,2020-07-11 05:12:52,Sat
21150758,hx33730c7834a51afa8f395d47ea87087bacfda9de,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,5.2973,1594266121,2020-07-09 03:42:01,Thu
21115869,hxf1cfb8f77e6ce55a785902b905176d071642038f,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,6276.0253,1594195599,2020-07-08 08:06:39,Wed
21010975,hx1250f94aff967a1cdbf045048ffe13344002eac2,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,9.6931,1593983670,2020-07-05 21:14:30,Sun
20993730,hx4f0c0203229fe1f4f238f7ecac686d06f08331a6,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-58.2791,1593948853,2020-07-05 11:34:13,Sun
20992227,hx33730c7834a51afa8f395d47ea87087bacfda9de,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,5.3265,1593945821,2020-07-05 10:43:41,Sun
20817953,hx9e090a02b509f6972beb36c7bbfbd09b594d18ea,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-500.7281,1593593658,2020-07-01 08:54:18,Wed
20802757,hx33730c7834a51afa8f395d47ea87087bacfda9de,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,4.7118,1593562981,2020-07-01 00:23:01,Wed
20739891,hx9e090a02b509f6972beb36c7bbfbd09b594d18ea,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,500.7281,1593435852,2020-06-29 13:04:12,Mon
20643852,hx33730c7834a51afa8f395d47ea87087bacfda9de,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,2.9013,1593241878,2020-06-27 07:11:18,Sat
20579338,hx0ac00a366546c628cfd7d70dbafeddfa8c9eb72b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-751.9749,1593111512,2020-06-25 18:58:32,Thu
20409930,hxdb2042984dbb43245e55c98b9ab2ca81fee9ee39,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-16.68,1592769294,2020-06-21 19:54:54,Sun
20402406,hx120c1887fd10989ddb97c3ed13e3ae4471e26d35,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,99.8008,1592754117,2020-06-21 15:41:57,Sun
20312558,hxaf351e4ed171c2b3c0e92b0f2703ee0bad4659e3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-5.1286,1592572615,2020-06-19 13:16:55,Fri
20112002,hxfe3173e5a841a285cd94e5652ec2658b08c9668b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-200,1592167725,2020-06-14 20:48:45,Sun
20095478,hx91494cb3cfc97c9e6cd30821a430a928e9117bb0,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-21746.4521,1592134352,2020-06-14 11:32:32,Sun
20054126,hx0d5d725b8634d53ca66e9d8b3459685cde18f855,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,565.6967,1592050899,2020-06-13 12:21:39,Sat
19986328,hx4deee363573600b618532c6ab0fd032b664b7a98,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,10,1591913735,2020-06-11 22:15:35,Thu
19977784,hx91494cb3cfc97c9e6cd30821a430a928e9117bb0,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,24162.7245,1591896491,2020-06-11 17:28:11,Thu
19973404,hx97c76476a353b7ab176562278bfc1bb38a745531,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-484.107264332285345792,1591887649,2020-06-11 15:00:49,Thu
19898459,hxaf351e4ed171c2b3c0e92b0f2703ee0bad4659e3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,4.9333,1591736072,2020-06-09 20:54:32,Tue
19879997,hxc5caa77993d91e02a6c1b2d6fbb4df591d723029,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-29.7624,1591698494,2020-06-09 10:28:14,Tue
19879516,hx2e98fe82e2b5348c808c382b1da2726b638e6b9b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-1183.2967,1591697524,2020-06-09 10:12:04,Tue
19878821,hx2e98fe82e2b5348c808c382b1da2726b638e6b9b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,1183.2967,1591696122,2020-06-09 09:48:42,Tue
19853761,hxaf351e4ed171c2b3c0e92b0f2703ee0bad4659e3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,11.1594,1591645511,2020-06-08 19:45:11,Mon
19848793,hxc5caa77993d91e02a6c1b2d6fbb4df591d723029,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-37.2031,1591635452,2020-06-08 16:57:32,Mon
19848745,hxc5caa77993d91e02a6c1b2d6fbb4df591d723029,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,74.4061,1591635355,2020-06-08 16:55:55,Mon
19801763,hx9d75612e60eb2ea8be7abcac05f9d35019d81f63,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-253.256,1591540467,2020-06-07 14:34:27,Sun
19801739,hx62cd0e911ce93159a2c30a12774fb377ebedd2c0,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-1483.4405,1591540418,2020-06-07 14:33:38,Sun
19801710,hxc014fee28a14185ce570b507c0022490cf2732c4,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-7066.4721,1591540360,2020-06-07 14:32:40,Sun
19801690,hxba89cdf47343af45f1ecbb7299dd780efbe981d4,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-18798.15,1591540319,2020-06-07 14:31:59,Sun
19801606,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-133705.7716,1591540150,2020-06-07 14:29:10,Sun
19801564,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,-4998.6625,1591540065,2020-06-07 14:27:45,Sun
19720224,hx0ac00a366546c628cfd7d70dbafeddfa8c9eb72b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,751.9749,1591375180,2020-06-05 16:39:40,Fri
19666117,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,91.3743,1591265745,2020-06-04 10:15:45,Thu
19624854,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,143.3813,1591182233,2020-06-03 11:03:53,Wed
19583209,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,70.9957,1591098105,2020-06-02 11:41:45,Tue
19507532,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,21092.1881,1590944856,2020-05-31 17:07:36,Sun
19408466,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,22437.1271,1590744319,2020-05-29 09:25:19,Fri
19397912,hx97c76476a353b7ab176562278bfc1bb38a745531,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,484.107264332285345792,1590723017,2020-05-29 03:30:17,Fri
19385781,hx60472f12f3b949c99fd9df9d3a7748d5afafe7c7,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,146.5407,1590698533,2020-05-28 20:42:13,Thu
19286721,hx7904a34b10b1bcdaa0936c98c566271fe86b8296,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,146.3337,1590498378,2020-05-26 13:06:18,Tue
19274259,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,19191.1136,1590473219,2020-05-26 06:06:59,Tue
19254153,hx4f0c0203229fe1f4f238f7ecac686d06f08331a6,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,58.2791,1590432624,2020-05-25 18:50:24,Mon
19217293,hxfe3173e5a841a285cd94e5652ec2658b08c9668b,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,200,1590358145,2020-05-24 22:09:05,Sun
19193677,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,38995.4683,1590310459,2020-05-24 08:54:19,Sun
19070855,hxf987ab8079a049a6f6b9afdb33482637492a6bd3,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,3114.9101,1590062245,2020-05-21 11:57:25,Thu
