block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21519283,hx63a9937d48a46a08fc84fd76750b01c061927635,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,24.12440495314312054,1595011620,2020-07-17 18:47:00,Fri
21518294,hx83a129a59a2eb4d952f36d02bc66de6f14e41fba,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,5.2404,1595009626,2020-07-17 18:13:46,Fri
21434834,hxe4e48d13ad63c67b8f24c72d6325300425c6a3ca,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,1694.0869,1594841008,2020-07-15 19:23:28,Wed
21434305,hxe4e48d13ad63c67b8f24c72d6325300425c6a3ca,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,47.3757,1594839940,2020-07-15 19:05:40,Wed
21429575,hxb6ff17cbb9b0a880f05668b7c0357a3b95f4afdf,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,0.109725725822873062,1594830392,2020-07-15 16:26:32,Wed
21427213,hxb120d0d4634d8a07f67aaa1a4f553bbc558e2705,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,5.556607390012476416,1594825618,2020-07-15 15:06:58,Wed
21427112,hxb120d0d4634d8a07f67aaa1a4f553bbc558e2705,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,31.890090116480237568,1594825415,2020-07-15 15:03:35,Wed
21409027,hx07801d7d287971a31f2be170f29518661ef7e01f,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,-1.5943,1594788905,2020-07-15 04:55:05,Wed
21408942,hx6a2662de38a544e7b91e18b5dc9dbbffdc1fc0fb,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,243.6371,1594788734,2020-07-15 04:52:14,Wed
21395762,hx45ba1f9fd5ac8b6d50a4ed31e3239833cd62b5b9,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,23.051,1594762022,2020-07-14 21:27:02,Tue
21391879,hxd251f8ee8cdc081bf89775fd07b5b1af70e6117c,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,0.159,1594754185,2020-07-14 19:16:25,Tue
21389775,hx4ffbd6cad3d8e6c3fb5f8c75721fd061d03d341b,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,5.2078,1594749940,2020-07-14 18:05:40,Tue
21330559,hx1908cdf1546dec5b5f5aa331d55305a20ddec63e,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,-6.219387522514944,1594630090,2020-07-13 08:48:10,Mon
21330487,hx359d4107437d8a759930012427468fab48d7ee0d,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,2.9001,1594629945,2020-07-13 08:45:45,Mon
21321822,hx6a2662de38a544e7b91e18b5dc9dbbffdc1fc0fb,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,1.2966,1594612467,2020-07-13 03:54:27,Mon
