block_id,delegator,validator,validator_name,votes,created_at,datetime,day
24872226,hx816975ca7954845513f88dbb8104bcdb5e3adaed,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,95.7878,1601793282,2020-10-04 06:34:42,Sun
24846611,hx9b2eb185bc904657b60bd92af7b749f0fdbcdc23,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,181.6738,1601741580,2020-10-03 16:13:00,Sat
24791597,hx49b87192035751e791fe14a0f13b161f8d87aba0,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,2.5645,1601630536,2020-10-02 09:22:16,Fri
24593792,hxf0fa3e948b05eca500400a88c13808d0797e4850,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,-5,1601231300,2020-09-27 18:28:20,Sun
24486144,hxa1ea584a586f274dd50c3b656ad098aa80025a0e,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,-246.8651,1601013859,2020-09-25 06:04:19,Fri
24379817,hxa3e81623753914f6730f6c733031dc071c31eab7,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,31.6367,1600798090,2020-09-22 18:08:10,Tue
24349419,hx6bbfa9feb27746616afecef44b78dcf97566dd24,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,16.4906,1600736736,2020-09-22 01:05:36,Tue
24292771,hx816975ca7954845513f88dbb8104bcdb5e3adaed,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,1031.8293,1600622402,2020-09-20 17:20:02,Sun
24292657,hxa3e81623753914f6730f6c733031dc071c31eab7,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,169.4674,1600622173,2020-09-20 17:16:13,Sun
24233026,hxf0fa3e948b05eca500400a88c13808d0797e4850,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,5,1600501799,2020-09-19 07:49:59,Sat
24231322,hxb0d886f01ca2697ce9961232a754bb3923142128,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,157.7947,1600498354,2020-09-19 06:52:34,Sat
24150995,hx76865dcf4e6bfe2a7b46da849e9978f61d9c302c,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,9791.4542,1600335638,2020-09-17 09:40:38,Thu
24059426,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,-5093.9754,1600150732,2020-09-15 06:18:52,Tue
24049714,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,17.1977,1600131123,2020-09-15 00:52:03,Tue
24033363,hx89a5f6d34d5075864a09d6c185bd5461cde90315,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,49.6538,1600098092,2020-09-14 15:41:32,Mon
24005643,hx04cdf480446aaf269c34de501f2954b825bd42fa,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,5076.7777,1600042109,2020-09-14 00:08:29,Mon
23786902,hx73e651654c4f9af5c51c6de2a8d2a4b21c831eb1,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,270.9779,1599599858,2020-09-08 21:17:38,Tue
23715721,hx486c697d8e55e4b767f95e1e18bc1c90cf26b45f,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,10,1599454883,2020-09-07 05:01:23,Mon
23616672,hxdeb951d67aaea825e802f3e808e3e4a205b378a1,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,1,1599254601,2020-09-04 21:23:21,Fri
23497874,hx2a7c720e3ee6dcc6ee394162fc11e4a6f819fcbc,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,293.763318923133329584,1599014567,2020-09-02 02:42:47,Wed
