block_id,delegator,validator,validator_name,votes,created_at,datetime,day
21558478,hxa15b236d2753213402817313cf7377174d8c8897,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-345.6798,1595090763,2020-07-18 16:46:03,Sat
21546704,hxc5dce10b7301d511623c1b8221179ef68d26d5a0,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-72.8728,1595066933,2020-07-18 10:08:53,Sat
21530170,hx7be0dd343bb25c48e13ec3a3c4c4ee8aca5ce69a,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,500,1595033585,2020-07-18 00:53:05,Sat
21509684,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,12,1594992247,2020-07-17 13:24:07,Fri
21389416,hxf44582607c4694393a3bbb8e2549e2a5d6f80216,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,2.8244,1594749214,2020-07-14 17:53:34,Tue
21331442,hxf44582607c4694393a3bbb8e2549e2a5d6f80216,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,5.6514,1594631873,2020-07-13 09:17:53,Mon
21306030,hx89ba6942cd9a028828d5ea9716ccfbadf474fbf7,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-962.7873,1594580630,2020-07-12 19:03:50,Sun
21287425,hx71bf0c15031920f82195a21b6a8b99b9bf8039e1,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,11.846,1594543065,2020-07-12 08:37:45,Sun
21254919,hxf44582607c4694393a3bbb8e2549e2a5d6f80216,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,4.4618,1594477430,2020-07-11 14:23:50,Sat
21230806,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,14,1594428755,2020-07-11 00:52:35,Sat
21223445,hx89ba6942cd9a028828d5ea9716ccfbadf474fbf7,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,57.2391,1594413905,2020-07-10 20:45:05,Fri
21215418,hx672491fae36e563e67f26bf486b225fe873939ed,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-10.8889,1594397697,2020-07-10 16:14:57,Fri
21173666,hx033e40619f57b7a13dab9fa7fcac1a5c38a5251a,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,202.3506,1594312342,2020-07-09 16:32:22,Thu
21153991,hxf44582607c4694393a3bbb8e2549e2a5d6f80216,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,1.869,1594272643,2020-07-09 05:30:43,Thu
21153911,hxf44582607c4694393a3bbb8e2549e2a5d6f80216,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,142.7729,1594272481,2020-07-09 05:28:01,Thu
21126646,hx0dc0c7c45a4b918fdd62cfa6bf981be83ebea347,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,145.5148,1594217445,2020-07-08 14:10:45,Wed
21123815,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,0.9861,1594211636,2020-07-08 12:33:56,Wed
21120328,hx02afb19a82d8394a7d4bd8dc30bc31c763cb4d5e,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-19,1594204598,2020-07-08 10:36:38,Wed
20984013,hxf44582607c4694393a3bbb8e2549e2a5d6f80216,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,1240,1593929244,2020-07-05 06:07:24,Sun
20951575,hx89ba6942cd9a028828d5ea9716ccfbadf474fbf7,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,905.5482,1593863796,2020-07-04 11:56:36,Sat
20931977,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,16,1593824263,2020-07-04 00:57:43,Sat
20900388,hxdcf9eff3af1dc34a250cd29796d2dd6fa57bacfe,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-391.9887,1593760495,2020-07-03 07:14:55,Fri
20895559,hx665552641a72154f339b72b70259bc4bda10b91a,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-88.98,1593750748,2020-07-03 04:32:28,Fri
20824312,hx665552641a72154f339b72b70259bc4bda10b91a,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,88.98,1593606493,2020-07-01 12:28:13,Wed
20783799,hxdcf9eff3af1dc34a250cd29796d2dd6fa57bacfe,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,391.9887,1593524711,2020-06-30 13:45:11,Tue
20699345,hx8edec0f308588fd6afbe9874bd4643c0461b2185,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,63.9968,1593353990,2020-06-28 14:19:50,Sun
20669248,hxfc56c9a6c8e45cee1dcaaff5f7cf1c9154ba5d8f,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,3.8864,1593293197,2020-06-27 21:26:37,Sat
20666470,hx204eb5e08afe8abee0e5d7cded40fd4ddac2e523,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-20000,1593287588,2020-06-27 19:53:08,Sat
20664960,hxa5895380274eaa826d1a4ae57bf863c181ced4e1,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,30,1593284540,2020-06-27 19:02:20,Sat
20633731,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,14,1593221445,2020-06-27 01:30:45,Sat
20623619,hx0f76c145c5fe2dda55f33fdd75670a2d267a8d75,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,196.8603,1593201030,2020-06-26 19:50:30,Fri
20575659,hxa15b236d2753213402817313cf7377174d8c8897,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,345.6798,1593104032,2020-06-25 16:53:52,Thu
20527788,hx25c0797aff66f8771be917898086ae02d9dd1fbc,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,0.04384,1593007258,2020-06-24 14:00:58,Wed
20443770,hxf707fbfb6d5315bf5aaba0138a203aaadda28316,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,331.0484,1592837610,2020-06-22 14:53:30,Mon
20354930,hx204eb5e08afe8abee0e5d7cded40fd4ddac2e523,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,20000,1592658137,2020-06-20 13:02:17,Sat
20332938,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,16,1592613740,2020-06-20 00:42:20,Sat
20259324,hxbdaa3db04d19710a06c4f534d0f5680ff14b221f,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-0.101708,1592465171,2020-06-18 07:26:11,Thu
20257865,hxbdaa3db04d19710a06c4f534d0f5680ff14b221f,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,0.101708,1592462227,2020-06-18 06:37:07,Thu
20229133,hx73f70b42de3768da393be314a421e6ff7718ada0,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-0.003488,1592404247,2020-06-17 14:30:47,Wed
20228827,hx73f70b42de3768da393be314a421e6ff7718ada0,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,0.003488,1592403628,2020-06-17 14:20:28,Wed
20226940,hx73f70b42de3768da393be314a421e6ff7718ada0,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-0.003622,1592399817,2020-06-17 13:16:57,Wed
20222958,hx73f70b42de3768da393be314a421e6ff7718ada0,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,0.003622,1592391776,2020-06-17 11:02:56,Wed
20190170,hx229e5fc216553bce757b696ec02af7fc870b33d4,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,0.7983,1592325472,2020-06-16 16:37:52,Tue
20078549,hxd81e3866a381ba9dca8e29622c6c59e6a5f6c39d,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,57,1592100197,2020-06-14 02:03:17,Sun
20060731,hxe62bdd2247c99f254814b5e2727e218d41ce37fb,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-501.2459,1592064231,2020-06-13 16:03:51,Sat
20034126,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,29,1592010551,2020-06-13 01:09:11,Sat
20032697,hxf472876068b7e779896c116f4bd3d736f29256b6,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,41.099133317801836544,1592007668,2020-06-13 00:21:08,Sat
19930654,hxe9703e752f3f1d50a0f41eac6ccfbf02f0c6e846,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,56.004,1591801331,2020-06-10 15:02:11,Wed
19917005,hxa70fd5c67599099169ab2a686b1fba3fb59b3134,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,30,1591773794,2020-06-10 07:23:14,Wed
19689752,hx3bb7f79c6703fc2d3869f96b3d6ec3cab7538b5b,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,184.8028,1591313528,2020-06-04 23:32:08,Thu
19598482,hxbed4d4c23ce16a4ecd3f5a44fddba1bf7712bdff,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-1049.7657,1591128941,2020-06-02 20:15:41,Tue
19591436,hx373234d0df6ff31028c9b9d870b4fffcf6f3e7dd,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,406.0798,1591114715,2020-06-02 16:18:35,Tue
19582371,hx1bd8187b2006a84787d299243c4bdad3eb6e329f,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,55.1936,1591096413,2020-06-02 11:13:33,Tue
19546433,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,1.9431,1591023680,2020-06-01 15:01:20,Mon
19546353,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,1.9431,1591023518,2020-06-01 14:58:38,Mon
19546292,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,7.7683,1591023395,2020-06-01 14:56:35,Mon
19525228,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,1.0799,1590980879,2020-06-01 03:07:59,Mon
19524897,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-1.1094,1590980211,2020-06-01 02:56:51,Mon
19524823,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,3.9877,1590980062,2020-06-01 02:54:22,Mon
19516457,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,3.0004,1590962873,2020-05-31 22:07:53,Sun
19498476,hx6091f74457ac1805dab5e9daf5798392aca33298,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-776.3069,1590926350,2020-05-31 11:59:10,Sun
19454310,hx373234d0df6ff31028c9b9d870b4fffcf6f3e7dd,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,1021.3063,1590837100,2020-05-30 11:11:40,Sat
19434827,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,16,1590797540,2020-05-30 00:12:20,Sat
19379838,hx6091f74457ac1805dab5e9daf5798392aca33298,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,776.3069,1590686490,2020-05-28 17:21:30,Thu
19334343,hx02afb19a82d8394a7d4bd8dc30bc31c763cb4d5e,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,19,1590594547,2020-05-27 15:49:07,Wed
19196464,hxc5dce10b7301d511623c1b8221179ef68d26d5a0,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,8.6405,1590316087,2020-05-24 10:28:07,Sun
19172095,hx672491fae36e563e67f26bf486b225fe873939ed,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,10.8889,1590266874,2020-05-23 20:47:54,Sat
19133922,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,16,1590189806,2020-05-22 23:23:26,Fri
19110881,hxb918feb2670134f1fa390b3170beda2642de5079,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,203.286,1590143276,2020-05-22 10:27:56,Fri
19110366,hxf178617a0ddcd04df90856617decd2ff0b7895f8,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,-8.3908,1590142238,2020-05-22 10:10:38,Fri
19110217,hxf178617a0ddcd04df90856617decd2ff0b7895f8,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,31.3907,1590141937,2020-05-22 10:05:37,Fri
18835762,hxee735de80ccdd60baa2d06d3a373a7f1e005b4f5,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,16,1589587685,2020-05-16 00:08:05,Sat
18563969,hx0ac940d4ec04289681b3d874cfc23ac7b630394c,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,97.3553,1589039274,2020-05-09 15:47:54,Sat
