selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 1/7, 124473, 372716, 13.63, 19.41, 8.61
 1/8, 124970, 374110, 13.58, 19.36, 8.61
 1/9, 125498, 375635, 13.54, 19.32, 8.61
 1/10, 125949, 376958, 13.49, 19.27, 8.64
 1/11, 126428, 378301, 13.48, 19.26, 8.81
 1/12, 126860, 379664, 13.45, 19.23, 8.76
 1/13, 127038, 380227, 13.42, 19.2, 4.11
 1/15, 128145, 383167, 13.42, 19.2, 10.04
 1/16, 128519, 384349, 13.38, 19.16, 10.03
 1/17, 128917, 385563, 13.34, 19.12, 8.53
 1/18, 129368, 386959, 13.3, 19.08, 8.8
 1/19, 129777, 388325, 13.28, 19.06, 8.72
 1/20, 130097, 389415, 13.27, 19.05, 8.77
 1/21, 130513, 390664, 13.24, 19.02, 8.79
 1/22, 130887, 391665, 13.12, 18.9, 8.81
 1/23, 131336, 392480, 13.09, 18.87, 8.79
 1/24, 131823, 392947, 13.06, 18.84, 8.8
 1/25, 132277, 393381, 13.0, 18.78, 8.8
 1/26, 132869, 393955, 12.97, 18.75, 8.81
 1/27, 133451, 394555, 12.93, 18.71, 8.82
 1/28, 133691, 394810, 12.77, 18.55, 8.84
 1/29, 134497, 399490, 12.72, 18.5, 8.83
 1/30, 135020, 400969, 12.71, 18.49, 8.79
 1/31, 135644, 402292, 12.65, 18.43, 8.67
 2/1, 136379, 403718, 12.65, 18.43, 8.83
 2/2, 137037, 405274, 12.62, 18.4, 8.55
 2/3, 137713, 406715, 12.61, 18.39, 8.5
 2/4, 138488, 408578, 12.53, 18.31, 8.75
 2/5, 139270, 410150, 12.78, 18.56, 8.73
 2/6, 139660, 411483, 12.84, 18.62, 8.62
 2/7, 140686, 413172, 12.82, 18.6, 8.63
 2/8, 141582, 414754, 12.77, 18.55, 8.61
 2/9, 142312, 416153, 12.72, 18.5, 8.62
 2/10, 142899, 417290, 12.69, 18.47, 8.71
 2/11, 143478, 418413, 12.66, 18.44, 8.61
 2/12, 144041, 419504, 12.6, 18.38, 8.55
 2/13, 144556, 420594, 12.57, 18.35, 8.73
 2/14, 145199, 421791, 12.53, 18.31, 8.65
 2/15, 145883, 423093, 12.68, 18.46, 8.69
 2/16, 146477, 424293, 12.69, 18.47, 8.68
 2/17, 147013, 425370, 12.65, 18.43, 8.59
 2/18, 147498, 426428, 12.61, 18.39, 8.55
 2/19, 148041, 427503, 12.58, 18.36, 8.58
 2/20, 148644, 428648, 12.55, 18.33, 8.41
 2/21, 149188, 429735, 12.52, 18.3, 8.56
 2/22, 149784, 430869, 12.47, 18.25, 8.37
 2/23, 150378, 432045, 12.44, 18.22, 8.17
 2/24, 150882, 433849, 12.4, 18.18, 8.43
 2/25, 151378, 434811, 12.34, 18.12, 8.13
 2/26, 151925, 435929, 12.28, 18.06, 8.37
 2/27, 152431, 436962, 12.23, 18.01, 8.31
 2/28, 152952, 437935, 12.17, 17.95, 8.31
 2/29, 153720, 439309, 12.16, 17.94, 8.16
 3/1, 154441, 440595, 12.15, 17.93, 8.25
 3/2, 155077, 441725, 12.09, 17.87, 8.27
 3/3, 155664, 442855, 12.14, 17.92, 8.15
 3/4, 156289, 443926, 12.12, 17.9, 8.25
 3/5, 156961, 445141, 12.08, 17.86, 8.23
 3/6, 157663, 446368, 12.08, 17.86, 8.22
 3/7, 158301, 447539, 11.99, 17.77, 8.24
 3/8, 158887, 448664, 11.94, 17.72, 8.25
 3/9, 159445, 449765, 11.89, 17.67, 8.26
 3/10, 160077, 450985, 11.91, 17.69, 8.16
 3/11, 160730, 452165, 11.87, 17.65, 8.24
 3/12, 161352, 453352, 11.86, 17.64, 8.25
 3/13, 161958, 454555, 11.8, 17.58, 8.18
 3/14, 162631, 455896, 11.68, 17.46, 8.35
 3/15, 163298, 457140, 11.65, 17.43, 8.45
 3/16, 163986, 458394, 11.64, 17.42, 8.49
 3/17, 164794, 459741, 11.49, 17.27, 8.37
 3/18, 165528, 461140, 11.51, 17.29, 8.5
 3/19, 166285, 462475, 11.54, 17.32, 8.47
 3/20, 167066, 463860, 11.53, 17.31, 8.49
 3/21, 167851, 465266, 11.49, 17.27, 8.4
 3/22, 168677, 466723, 11.47, 17.25, 8.5
 3/23, 169469, 468068, 11.44, 17.22, 8.49
 3/24, 170251, 469589, 11.37, 17.15, 8.51
 3/25, 171092, 471120, 11.32, 17.1, 8.43
 3/26, 171844, 472606, 11.28, 17.06, 8.51
 3/27, 172624, 474016, 11.22, 17.0, 8.52
 3/28, 173290, 475139, 11.19, 16.97, 8.35
 3/29, 173761, 475903, 11.17, 16.95, 8.46
 3/30, 176000, 479395, 11.13, 16.91, 8.44
