address,name,country,city,logo
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/a_block.jpg
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,RUS,Moscow,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Alice.png
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Azabu Research.png
hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,Bara-Node,ARE,Dubai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/BaraNode.jpg
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,CHN,Beijing,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/BitCat.png
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,AUT,Vienna,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/block42.png
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,USA,Berkeley,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/blockchain_at_berkeley.png
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,USA,Fresno,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Blockheads Development.png
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,CZE,Brno,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Blockmove.png
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,USA,Virginia,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Cardinals_logo.png
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,USA,Puerto Rico,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Catalyst.png
hxd2de5d155251ff62bf2f6c2aa616da6472886165,Chainode Tech,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Chainode Tech.png
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,CHN,Beijing,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Cobo ICON.png
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,SGP,SGP,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Common Computer Online.png
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Deblock with STAYGE.png
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DELIGHT.png
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DEMOS.png
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,CHN,SHANGHAI,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DFG_crypto.png
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DRAICON BALL.png
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DSNC.png
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,VEN,Caracas,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Espanicon.png
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,UKR,Kyiv,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Everstake.png
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,USA,BOSTON,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/FOCUS.png
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/FOMO MASTERNODE.png
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,USA,Albuquerque,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Foundry Box Media.png
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,USA,San Juan,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Frontlines Media.png
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,RUS,Moscow,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/GagarinCrypto.png
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),CAN,Toronto,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Gilga-Capital.png
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,CAN,Toronto,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HASHRATE PLUS.png
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,GRC,Thessaloniki,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HermesGreece.jpg
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,ESP,Malaga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HOLA ICON.png
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Hourglass.png
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,USA,New York,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HypoICON.png
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iBriz - ICONOsphere.png
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,CHN,Shanghai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iccc_node.png
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON BOOM.png
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,USA,Chicago,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Chicago.jpg
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON DAO.png
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Econ.png
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,EST,Tallinn,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Forge.png
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Foundation.png
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Guide Star.png
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Hyperconnect.png
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,USA,Houston,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Labs.png
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON London.png
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,USA,San Diego,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Oasis.jpg
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,USA,San Jose,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon Panda.png
hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,PHL,Manila,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon Pilipinas.png
