block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19431131,hx95dea5921dc266187500fed150eecccdd98bdd8b,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,77.923,1590790076,2020-05-29 22:07:56,Fri
19426192,hxaed75123d7887fc13a4822ab39c38ba3ec377595,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,30.0194,1590780110,2020-05-29 19:21:50,Fri
19419076,hxc35919c430476b095652bc91056ba1baf0420f9e,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,6,1590765744,2020-05-29 15:22:24,Fri
19416364,hxce8aad5098a9e6794bab9f8670fd1de7bf0e5d5a,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,104.8466,1590760259,2020-05-29 13:50:59,Fri
19414840,hx7acf1fe8ce8307fbeea13d2950d4fe42da4c7d49,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,5,1590757184,2020-05-29 12:59:44,Fri
19404433,hxe45b3eab5ce500cff157470e0357b679168029ae,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,555.7973,1590736179,2020-05-29 07:09:39,Fri
19401663,hx7d4d9db641bff986095ec05b3ad9e9b926e9c86e,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,335.4776,1590730590,2020-05-29 05:36:30,Fri
19400989,hxaed75123d7887fc13a4822ab39c38ba3ec377595,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,100.006,1590729229,2020-05-29 05:13:49,Fri
19377814,hx3724647fb1b59c7231fa99a4809fec7d8a2f5c19,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,-96453.7363,1590682406,2020-05-28 16:13:26,Thu
19377374,hx3724647fb1b59c7231fa99a4809fec7d8a2f5c19,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,2960.9368,1590681518,2020-05-28 15:58:38,Thu
19376232,hxf19b3fb9f7dd5452f1082386dea77e946b1597c8,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,11.8423,1590679214,2020-05-28 15:20:14,Thu
19376115,hx3724647fb1b59c7231fa99a4809fec7d8a2f5c19,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,143492.7995,1590678978,2020-05-28 15:16:18,Thu
19375987,hxc159eddada107caa66b8961f179a9daf80758590,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,43.407,1590678719,2020-05-28 15:11:59,Thu
19366785,hx1c8691c6753d8b98d873522230485050efda8a0d,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,-29,1590660107,2020-05-28 10:01:47,Thu
19366720,hx0087216859c82534c551a2dd9d76d899af86f675,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,10,1590659976,2020-05-28 09:59:36,Thu
19360092,hx55d7e195322cbcb19cc09b3cb78d3001b45a1bda,hx0a72c03881451a6270d4895f756085470fc311e4,Icon Pilipinas,101,1590646598,2020-05-28 06:16:38,Thu
