block_id,delegator,validator,validator_name,votes,created_at,datetime,day
19151356,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,5.0285,1590224989,2020-05-23 09:09:49,Sat
19132500,hxc5ea88b09f49c5eac1d0bb6e28fcdc75f4961f0f,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,394.257,1590186937,2020-05-22 22:35:37,Fri
19108084,hxf8a106160207e09c240c30682ed8e3b2f64804b4,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,199.996,1590137630,2020-05-22 08:53:50,Fri
19106778,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,5.0159,1590134994,2020-05-22 08:09:54,Fri
19079629,hx516f2f3d89fbd29498fe68adf7241050cbe6b2d4,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,45.3053,1590080148,2020-05-21 16:55:48,Thu
19065060,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,5.0139,1590050549,2020-05-21 08:42:29,Thu
19055769,hxabd4db5e06aa010f9e5228b8341caa204e012afa,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-1,1590031790,2020-05-21 03:29:50,Thu
19055705,hxabd4db5e06aa010f9e5228b8341caa204e012afa,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,1,1590031661,2020-05-21 03:27:41,Thu
19021679,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,4.9787,1589962979,2020-05-20 08:22:59,Wed
18998708,hxe53ea833183755135526df4662baddf4d8d384f3,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,0.3266,1589916626,2020-05-19 19:30:26,Tue
18998677,hxe53ea833183755135526df4662baddf4d8d384f3,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-0.3266,1589916564,2020-05-19 19:29:24,Tue
18998672,hxe53ea833183755135526df4662baddf4d8d384f3,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,0.3266,1589916554,2020-05-19 19:29:14,Tue
18998586,hxe53ea833183755135526df4662baddf4d8d384f3,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,0.3,1589916380,2020-05-19 19:26:20,Tue
18992395,hx734a12c017add3832bc34048d3c1557b31968150,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,2.3342,1589903886,2020-05-19 15:58:06,Tue
18978764,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,4.9714,1589876291,2020-05-19 08:18:11,Tue
18921883,hxf8a106160207e09c240c30682ed8e3b2f64804b4,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,89.9,1589761470,2020-05-18 00:24:30,Mon
18916778,hx516f2f3d89fbd29498fe68adf7241050cbe6b2d4,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,22.5161,1589751168,2020-05-17 21:32:48,Sun
18910903,hxb74da2f6e94d494f723b3c80c8bb55fb5bc35299,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-6521.5399,1589739309,2020-05-17 18:15:09,Sun
18908152,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,506.3456,1589733756,2020-05-17 16:42:36,Sun
18908075,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,508.3968,1589733601,2020-05-17 16:40:01,Sun
18908038,hx0e227cd42365f306290912936869090632a080bd,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,10.5844,1589733527,2020-05-17 16:38:47,Sun
18905110,hx59b00f3ab09622dc8a2515b1ed08f01ef9dd6e83,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,24.81,1589727615,2020-05-17 15:00:15,Sun
18861548,hx516f2f3d89fbd29498fe68adf7241050cbe6b2d4,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,50.5166,1589639716,2020-05-16 14:35:16,Sat
18814623,hx59b00f3ab09622dc8a2515b1ed08f01ef9dd6e83,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,26.2204,1589544830,2020-05-15 12:13:50,Fri
18802093,hxc1481b2459afdbbde302ab528665b8603f7014dc,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,500000,1589519538,2020-05-15 05:12:18,Fri
18792400,hx516f2f3d89fbd29498fe68adf7241050cbe6b2d4,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,25.2404,1589499975,2020-05-14 23:46:15,Thu
18770857,hx502d1ba22f1da5745830bb71b7dcb68e77a9c3a7,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,59.447837551914828157,1589456525,2020-05-14 11:42:05,Thu
18751415,hx5c39289e0a86ce9722bc09f82a0d6db8bf215fac,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,-20016.3445,1589417302,2020-05-14 00:48:22,Thu
